t,y,u
0,22.796631,-0.023193
18,22.827148,59.741211
119,22.017822,59.730225
218,22.43042,59.737549
316,22.399902,59.744873
414,22.841797,59.744873
508,23.146973,59.730225
612,22.857666,59.737549
712,22.902832,59.733887
829,22.811279,59.741211
927,22.780762,59.733887
1026,23.132324,59.737549
1125,22.719727,59.744873
1222,22.705078,59.737549
1316,22.628174,59.737549
1412,22.93335,59.741211
1513,23.238525,59.733887
1612,22.918701,59.737549
1712,22.506104,59.744873
1812,23.05542,59.730225
1912,23.116455,59.733887
2032,23.376465,59.737549
2112,23.360596,59.730225
2212,23.085937,59.730225
2312,23.17749,59.744873
2414,23.208008,59.744873
2512,23.651123,59.737549
2614,23.590088,59.737549
2713,24.001465,59.733887
2814,23.010254,59.726562
2913,23.040771,59.737549
3012,24.0625,59.733887
3132,23.773193,59.730225
3215,23.269043,59.741211
3312,23.864746,59.737549
3415,23.94043,59.737549
3512,23.498535,59.733887
3612,23.665771,59.737549
3714,24.44458,59.733887
3812,23.986816,59.737549
3905,23.726807,59.741211
4012,24.353027,59.730225
4112,24.047852,59.733887
4211,23.665771,59.741211
4335,24.475098,59.737549
4411,24.825439,59.730225
4512,24.093018,59.737549
4612,24.719238,59.737549
4713,24.764404,59.730225
4812,24.719238,59.730225
4905,24.794922,59.737549
5012,24.841309,59.733887
5112,24.261475,59.733887
5212,25.06958,59.741211
5311,25.085449,59.737549
5412,24.505615,59.733887
5512,24.978027,59.737549
5612,24.993896,59.737549
5713,24.611816,59.741211
5812,24.963379,59.737549
5908,25.283203,59.737549
6013,25.008545,59.733887
6112,25.817871,59.737549
6212,25.146484,59.733887
6312,24.841309,59.733887
6412,25.57373,59.737549
6525,25.557861,59.733887
6624,25.177002,59.726562
6712,26.184082,59.733887
6812,25.543213,59.737549
6916,25.421143,59.741211
7015,26.245117,59.733887
7112,25.588379,59.726562
7234,25.95459,59.730225
7330,25.344238,59.737549
7429,25.817871,59.733887
7528,25.726318,59.730225
7632,26.290283,59.726562
7734,25.878906,59.730225
7831,26.534424,59.733887
7906,26.45874,59.730225
8012,26.320801,59.737549
8112,26.046143,59.737549
8215,26.625977,59.733887
8312,26.320801,59.726562
8412,26.107178,59.733887
8512,26.672363,59.733887
8614,26.168213,59.7229
8712,26.519775,59.737549
8812,26.015625,59.737549
8912,26.916504,59.730225
9012,26.229248,59.748535
9112,27.114258,59.733887
9220,26.550293,59.730225
9312,26.259766,59.730225
9412,27.053223,59.733887
9512,27.130127,59.733887
9612,26.550293,59.741211
9714,27.069092,59.737549
9811,26.855469,59.733887
9906,26.947021,59.741211
10013,26.870117,59.737549
10112,27.419434,59.730225
10214,27.252197,59.737549
10312,26.916504,59.737549
10411,27.496338,59.733887
10512,27.34375,59.741211
10612,26.8396,59.737549
10716,27.46582,59.733887
10812,27.648926,59.741211
10912,27.038574,59.741211
11012,27.572021,59.737549
11112,27.755127,59.726562
11212,27.191162,59.737549
11312,27.618408,59.741211
11412,27.84668,59.744873
11512,27.374268,59.741211
11611,27.374268,59.737549
11712,28.015137,59.730225
11815,27.709961,59.730225
11912,27.327881,59.730225
12014,28.09082,59.726562
12111,28.137207,59.737549
12212,27.526855,59.7229
12312,28.015137,59.737549
12431,27.374268,59.733887
12530,28.029785,59.748535
12628,27.663574,59.744873
12725,28.35083,59.737549
12812,28.381348,59.741211
12912,27.709961,59.733887
13018,28.151855,59.737549
13112,28.533936,59.733887
13212,28.395996,59.737549
13312,27.999268,59.737549
13414,28.304443,59.730225
13512,28.686523,59.733887
13612,28.411865,59.737549
13712,28.137207,59.741211
13814,28.137207,59.741211
13912,28.381348,59.733887
14012,28.656006,59.733887
14125,28.411865,59.741211
14211,28.167725,59.730225
14312,28.731689,59.730225
14413,28.747559,59.733887
14512,28.670654,59.733887
14612,29.067383,59.737549
14711,28.381348,59.730225
14812,29.0979,59.744873
14911,28.914795,59.733887
15012,28.778076,59.730225
15111,28.625488,59.737549
15212,29.342041,59.730225
15330,29.311523,59.741211
15413,29.342041,59.733887
15512,28.808594,59.730225
15611,28.85376,59.733887
15712,29.525146,59.730225
15812,29.876709,59.741211
15912,29.067383,59.726562
16014,28.625488,59.741211
16111,29.342041,59.733887
16213,29.541016,59.733887
16311,28.930664,59.733887
16412,28.884277,59.733887
16511,29.174805,59.737549
16612,29.586182,59.726562
16711,29.785156,59.741211
16812,29.266357,59.733887
16911,29.23584,59.737549
17012,29.830322,59.726562
17111,29.98291,59.737549
17212,29.403076,59.737549
17311,29.006348,59.733887
17412,29.525146,59.733887
17512,29.921875,59.733887
17621,29.724121,59.719238
17711,29.494629,59.730225
17812,29.677734,59.730225
17911,30.029297,59.741211
18012,30.074463,59.741211
18112,30.043945,59.737549
18211,29.968262,59.737549
18330,30.10498,59.733887
18430,30.288086,59.733887
18529,30.12085,59.733887
18627,30.303955,59.730225
18724,30.623779,59.741211
18824,29.891357,59.733887
18912,29.632568,59.726562
19012,30.273437,59.730225
19133,30.883789,59.748535
19233,30.609131,59.733887
19333,30.288086,59.730225
19429,30.731201,59.741211
19531,30.471191,59.733887
19635,30.440674,59.741211
19731,30.257568,59.744873
19814,30.792236,59.733887
19912,30.196533,59.733887
20014,30.36499,4.208984
20114,30.074463,-0.167236
20213,30.36499,-0.042725
20313,30.440674,-0.042725
20411,30.410156,-0.026855
20506,30.761719,-0.026855
20614,30.166016,-0.030518
20712,30.151367,-0.030518
20812,30.517578,-0.015869
20912,29.693604,-0.030518
21014,30.379639,-0.030518
21112,30.212402,-0.019531
21213,30.883789,-0.026855
21312,30.349121,-0.023193
21441,31.142578,-0.026855
21511,31.311035,-0.030518
21612,30.670166,-0.023193
21712,30.487061,-0.023193
21811,30.36499,-0.030518
21911,30.074463,-0.019531
22014,30.532227,-0.026855
22112,30.792236,-0.023193
22212,30.822754,-0.030518
22312,31.142578,-0.026855
22411,30.731201,-0.026855
22512,30.318604,-0.026855
22612,30.318604,-0.015869
22712,30.349121,-0.015869
22811,30.532227,-0.026855
22912,31.081543,-0.030518
23012,30.654297,-0.026855
23112,30.24292,-0.015869
23213,30.181885,-0.023193
23311,29.998779,-0.023193
23413,30.227051,-0.023193
23512,30.761719,-0.026855
23615,30.548096,-0.023193
23713,30.166016,-0.023193
23813,29.98291,-0.023193
23912,29.86084,-0.026855
24013,30.196533,-0.030518
24113,30.395508,-0.026855
24224,30.426025,-0.023193
24321,30.349121,-0.026855
24419,29.616699,-0.019531
24518,29.632568,-0.026855
24617,30.24292,-0.026855
24713,30.303955,-0.030518
24813,29.663086,-0.030518
24912,29.525146,-0.023193
25013,30.135498,-0.026855
25112,29.754639,-0.023193
25227,29.555664,-0.023193
25324,30.166016,-0.019531
25426,29.98291,-0.019531
25526,29.98291,-0.019531
25624,30.090332,-0.03418
25724,30.303955,-0.023193
25814,29.952393,-0.026855
25912,29.281006,-0.023193
26014,29.189453,-0.023193
26112,29.785156,-0.023193
26213,29.98291,-0.023193
26312,29.144287,-0.030518
26429,29.830322,-0.030518
26511,29.677734,-0.019531
