File_Record_0001.rec ( 60606 Echant/voies ) Période acquisition :10ms
Date :6/16/2023 2:21:29 PM Fmax 1 Hz
t	y	u	
0.000000	2.3053e+001	-5.7692e-003	
10.000000	2.3810e+001	-9.6154e-003	
20.000000	2.3505e+001	-1.1538e-002	
30.000000	2.3123e+001	-7.6923e-003	
40.000000	2.3505e+001	-1.5385e-002	
50.000000	2.3224e+001	-7.6923e-003	
60.000000	2.2964e+001	-1.1538e-002	
70.000000	2.3907e+001	-9.6154e-003	
80.000000	2.3877e+001	-7.6923e-003	
90.000000	2.2849e+001	-1.3462e-002	
100.000000	2.3141e+001	-5.7692e-003	
110.000000	2.3489e+001	-9.6154e-003	
120.000000	2.3318e+001	-9.6154e-003	
130.000000	2.3712e+001	-1.1538e-002	
140.000000	2.3682e+001	-9.6154e-003	
150.000000	2.2977e+001	-9.6154e-003	
160.000000	2.3065e+001	-1.1538e-002	
170.000000	2.3273e+001	-1.3462e-002	
180.000000	2.3505e+001	-9.6154e-003	
190.000000	2.3611e+001	-1.1538e-002	
200.000000	2.3523e+001	-5.7692e-003	
210.000000	2.3035e+001	-1.1538e-002	
220.000000	2.3077e+001	-1.1538e-002	
230.000000	2.3355e+001	-1.1538e-002	
240.000000	2.3370e+001	-1.1538e-002	
250.000000	2.3685e+001	-1.3462e-002	
260.000000	2.3703e+001	-1.5385e-002	
270.000000	2.2879e+001	-1.1538e-002	
280.000000	2.2806e+001	-1.1538e-002	
290.000000	2.3746e+001	-1.1538e-002	
300.000000	2.3578e+001	-1.5385e-002	
310.000000	2.3380e+001	-1.1538e-002	
320.000000	2.3605e+001	-1.1538e-002	
330.000000	2.3016e+001	-7.6923e-003	
340.000000	2.2769e+001	-1.3462e-002	
350.000000	2.3654e+001	-5.7692e-003	
360.000000	2.3779e+001	-1.3462e-002	
370.000000	2.3416e+001	-9.6154e-003	
380.000000	2.3309e+001	-7.6923e-003	
390.000000	2.3090e+001	-9.6154e-003	
400.000000	2.3203e+001	-1.1538e-002	
410.000000	2.3575e+001	-1.3462e-002	
420.000000	2.3648e+001	-7.6923e-003	
430.000000	2.3428e+001	-1.3462e-002	
440.000000	2.3444e+001	-7.6923e-003	
450.000000	2.2989e+001	-1.1538e-002	
460.000000	2.2876e+001	-9.6154e-003	
470.000000	2.3877e+001	-7.6923e-003	
480.000000	2.3904e+001	-1.3462e-002	
490.000000	2.2992e+001	-9.6154e-003	
500.000000	2.3196e+001	-9.6154e-003	
510.000000	2.3462e+001	-1.1538e-002	
520.000000	2.3114e+001	-7.6923e-003	
530.000000	2.3587e+001	-1.5385e-002	
540.000000	2.3978e+001	-9.6154e-003	
550.000000	2.3096e+001	-5.7692e-003	
560.000000	2.2910e+001	-7.6923e-003	
570.000000	2.3489e+001	-1.3462e-002	
