File_Record_0005.rec ( 40391 Echant/voies ) Période acquisition :10ms
Date :6/16/2023 4:08:55 PM Fmax 0.7 Hz
t	y	u	
0.000000	2.5803e+001	-1.5130e-002	
10.000000	2.5620e+001	-1.5130e-002	
20.000000	2.5726e+001	-1.8913e-002	
30.000000	2.5406e+001	-1.8913e-002	
40.000000	2.5909e+001	-1.8913e-002	
50.000000	2.5635e+001	-2.6478e-002	
60.000000	2.5604e+001	-1.5130e-002	
70.000000	2.5864e+001	-1.5130e-002	
80.000000	2.5742e+001	-2.2695e-002	
90.000000	2.5513e+001	-1.8913e-002	
100.000000	2.5497e+001	-7.5652e-003	
110.000000	2.5864e+001	-1.1348e-002	
120.000000	2.5528e+001	-2.2695e-002	
130.000000	2.5696e+001	-1.5130e-002	
140.000000	2.5223e+001	-2.2695e-002	
150.000000	2.5864e+001	-1.5130e-002	
160.000000	2.5375e+001	-1.5130e-002	
170.000000	2.5558e+001	-2.2695e-002	
180.000000	2.5391e+001	-2.2695e-002	
190.000000	2.5635e+001	-1.8913e-002	
200.000000	2.4902e+001	-1.8913e-002	
210.000000	2.5604e+001	-1.8913e-002	
220.000000	2.5436e+001	-1.5130e-002	
230.000000	2.5314e+001	-1.5130e-002	
240.000000	2.4765e+001	-1.8913e-002	
250.000000	2.5620e+001	-2.6478e-002	
260.000000	2.5070e+001	-2.2695e-002	
270.000000	2.5131e+001	-1.8913e-002	
280.000000	2.4994e+001	-1.1348e-002	
290.000000	2.5269e+001	-1.5130e-002	
300.000000	2.5162e+001	-2.6478e-002	
310.000000	2.5131e+001	-1.1348e-002	
320.000000	2.4963e+001	-2.6478e-002	
330.000000	2.5024e+001	-2.2695e-002	
340.000000	2.5192e+001	-1.8913e-002	
350.000000	2.4963e+001	-1.1348e-002	
360.000000	2.5421e+001	-7.5652e-003	
370.000000	2.5269e+001	-1.1348e-002	
380.000000	2.5208e+001	-2.6478e-002	
390.000000	2.5055e+001	-1.8913e-002	
400.000000	2.5742e+001	-1.5130e-002	
410.000000	2.4979e+001	-7.5652e-003	
420.000000	2.5406e+001	-2.2695e-002	
430.000000	2.5436e+001	-7.5652e-003	
440.000000	2.5726e+001	-1.1348e-002	
450.000000	2.5085e+001	-2.2695e-002	
460.000000	2.5711e+001	-1.1348e-002	
470.000000	2.5513e+001	-2.2695e-002	
480.000000	2.5940e+001	-2.2695e-002	
490.000000	2.5467e+001	-1.5130e-002	
500.000000	2.5620e+001	-1.1348e-002	
510.000000	2.5513e+001	-7.5652e-003	
520.000000	2.5864e+001	-1.1348e-002	
530.000000	2.5467e+001	-1.5130e-002	
540.000000	2.5833e+001	-7.5652e-003	
550.000000	2.5787e+001	-1.5130e-002	
560.000000	2.5513e+001	-1.8913e-002	
570.000000	2.5696e+001	-7.5652e-003	
580.000000	2.5848e+001	-1.1348e-002	
590.000000	2.5589e+001	-1.8913e-002	
600.000000	2.5299e+001	-1.1348e-002	
610.000000	2.5955e+001	-1.8913e-002	
620.000000	2.5421e+001	-1.5130e-002	
630.000000	2.5528e+001	-2.2695e-002	
640.000000	2.5269e+001	-1.5130e-002	
650.000000	2.5742e+001	-1.8913e-002	
660.000000	2.5284e+001	-1.8913e-002	
670.000000	2.5681e+001	-1.5130e-002	
680.000000	2.5040e+001	-1.5130e-002	
690.000000	2.5604e+001	-1.5130e-002	
700.000000	2.5146e+001	-1.8913e-002	
710.000000	2.5269e+001	-1.1348e-002	
720.000000	2.5116e+001	-1.5130e-002	
730.000000	2.5284e+001	-1.5130e-002	
740.000000	2.4719e+001	-1.8913e-002	
750.000000	2.5253e+001	-1.5130e-002	
760.000000	2.5208e+001	-1.1348e-002	
770.000000	2.5131e+001	-1.8913e-002	
780.000000	2.4887e+001	-1.5130e-002	
790.000000	2.5314e+001	-1.5130e-002	
800.000000	2.5421e+001	-1.8913e-002	
810.000000	2.4826e+001	-2.2695e-002	
820.000000	2.5177e+001	-1.1348e-002	
830.000000	2.5299e+001	-7.5652e-003	
840.000000	2.5330e+001	-1.5130e-002	
850.000000	2.4902e+001	-1.8913e-002	
860.000000	2.5314e+001	-1.5130e-002	
870.000000	2.5238e+001	-1.5130e-002	
880.000000	2.5620e+001	-1.5130e-002	
890.000000	2.5009e+001	-1.5130e-002	
900.000000	2.5665e+001	-1.8913e-002	
910.000000	2.5375e+001	-1.8913e-002	
920.000000	2.5589e+001	-1.8913e-002	
930.000000	2.5314e+001	-1.8913e-002	
940.000000	2.5986e+001	-1.1348e-002	
950.000000	2.5284e+001	-1.1348e-002	
960.000000	2.5513e+001	-1.8913e-002	
970.000000	2.5681e+001	-1.1348e-002	
980.000000	2.5925e+001	-2.2695e-002	
990.000000	2.5360e+001	-1.5130e-002	
1000.000000	2.5726e+001	-1.5130e-002	
1010.000000	2.5848e+001	-1.5130e-002	
1020.000000	2.5696e+001	-2.2695e-002	
1030.000000	2.5696e+001	-1.8913e-002	
1040.000000	2.5452e+001	-1.8913e-002	
1050.000000	2.5803e+001	-1.8913e-002	
1060.000000	2.5604e+001	-1.8913e-002	
1070.000000	2.5696e+001	-1.5130e-002	
1080.000000	2.5314e+001	-1.8913e-002	
1090.000000	2.5894e+001	-7.5652e-003	
1100.000000	2.5146e+001	-1.5130e-002	
1110.000000	2.5513e+001	3.7826e-003	
1120.000000	2.5391e+001	-2.2695e-002	
1130.000000	2.5574e+001	-2.2695e-002	
1140.000000	2.4841e+001	-2.2695e-002	
1150.000000	2.5558e+001	-2.2695e-002	
1160.000000	2.5162e+001	-1.5130e-002	
1170.000000	2.5177e+001	-1.8913e-002	
1180.000000	2.4948e+001	-1.1348e-002	
1190.000000	2.5558e+001	-1.8913e-002	
1200.000000	2.5040e+001	-1.8913e-002	
1210.000000	2.5116e+001	-1.8913e-002	
1220.000000	2.4994e+001	-2.2695e-002	
1230.000000	2.5101e+001	-1.1348e-002	
1240.000000	2.5238e+001	-1.1348e-002	
1250.000000	2.5055e+001	-1.5130e-002	
1260.000000	2.5101e+001	-1.5130e-002	
1270.000000	2.5162e+001	-1.8913e-002	
1280.000000	2.5406e+001	-1.5130e-002	
1290.000000	2.4918e+001	-1.5130e-002	
1300.000000	2.5589e+001	-1.1348e-002	
1310.000000	2.5162e+001	-1.8913e-002	
1320.000000	2.5299e+001	-2.2695e-002	
1330.000000	2.5253e+001	-1.8913e-002	
1340.000000	2.5909e+001	-3.7826e-003	
1350.000000	2.4963e+001	-1.5130e-002	
1360.000000	2.5650e+001	-1.8913e-002	
1370.000000	2.5604e+001	-2.2695e-002	
1380.000000	2.5833e+001	-7.5652e-003	
1390.000000	2.5299e+001	-2.2695e-002	
1400.000000	2.5711e+001	-1.8913e-002	
1410.000000	2.5635e+001	-1.1348e-002	
1420.000000	2.5803e+001	-2.6478e-002	
1430.000000	2.5604e+001	-7.5652e-003	
1440.000000	2.5528e+001	-1.5130e-002	
1450.000000	2.5818e+001	-2.6478e-002	
1460.000000	2.5650e+001	-1.8913e-002	
1470.000000	2.5604e+001	-1.5130e-002	
1480.000000	2.5452e+001	-1.8913e-002	
1490.000000	2.5757e+001	-1.8913e-002	
1500.000000	2.5116e+001	-1.8913e-002	
1510.000000	2.5742e+001	-1.8913e-002	
1520.000000	2.5482e+001	-1.5130e-002	
1530.000000	2.5436e+001	-1.1348e-002	
1540.000000	2.4948e+001	-1.8913e-002	
1550.000000	2.5787e+001	-1.8913e-002	
1560.000000	2.5116e+001	-1.5130e-002	
1570.000000	2.5284e+001	-1.8913e-002	
1580.000000	2.4979e+001	-1.5130e-002	
1590.000000	2.5452e+001	-1.8913e-002	
1600.000000	2.5101e+001	-2.2695e-002	
1610.000000	2.5162e+001	-1.8913e-002	
1620.000000	2.4857e+001	-3.0261e-002	
1630.000000	2.5284e+001	-1.1348e-002	
1640.000000	2.5269e+001	-1.8913e-002	
1650.000000	2.5070e+001	-1.1348e-002	
1660.000000	2.5208e+001	-1.5130e-002	
1670.000000	2.5146e+001	-1.5130e-002	
1680.000000	2.5192e+001	-2.2695e-002	
1690.000000	2.5085e+001	-1.1348e-002	
1700.000000	2.5665e+001	-7.5652e-003	
1710.000000	2.4979e+001	-1.5130e-002	
1720.000000	2.5299e+001	-1.1348e-002	
1730.000000	2.5299e+001	-1.8913e-002	
1740.000000	2.5757e+001	-1.8913e-002	
1750.000000	2.5009e+001	-1.5130e-002	
1760.000000	2.5558e+001	-1.5130e-002	
1770.000000	2.5620e+001	-1.1348e-002	
1780.000000	2.5864e+001	-7.5652e-003	
1790.000000	2.5223e+001	-2.2695e-002	
1800.000000	2.5650e+001	-1.5130e-002	
1810.000000	2.5497e+001	-2.2695e-002	
1820.000000	2.5833e+001	-1.1348e-002	
1830.000000	2.5513e+001	-7.5652e-003	
1840.000000	2.5543e+001	-1.8913e-002	
1850.000000	2.5803e+001	-1.5130e-002	
1860.000000	2.5589e+001	-1.8913e-002	
1870.000000	2.5650e+001	-1.8913e-002	
1880.000000	2.5696e+001	-1.8913e-002	
1890.000000	2.5787e+001	-1.5130e-002	
1900.000000	2.5284e+001	-2.2695e-002	
1910.000000	2.5742e+001	-7.5652e-003	
1920.000000	2.5482e+001	-2.2695e-002	
1930.000000	2.5421e+001	-1.5130e-002	
1940.000000	2.5024e+001	-2.2695e-002	
1950.000000	2.5787e+001	-1.8913e-002	
1960.000000	2.5131e+001	-1.8913e-002	
1970.000000	2.5345e+001	-2.2695e-002	
1980.000000	2.5116e+001	-2.2695e-002	
1990.000000	2.5452e+001	-2.2695e-002	
2000.000000	2.5024e+001	-2.2695e-002	
2010.000000	2.5208e+001	-1.8913e-002	
2020.000000	2.4994e+001	-1.1348e-002	
2030.000000	2.5208e+001	-1.5130e-002	
2040.000000	2.5116e+001	-1.5130e-002	
2050.000000	2.5070e+001	-2.2695e-002	
2060.000000	2.5192e+001	-1.5130e-002	
2070.000000	2.5192e+001	-2.6478e-002	
2080.000000	2.5040e+001	-2.2695e-002	
2090.000000	2.5070e+001	-2.6478e-002	
2100.000000	2.5543e+001	-1.1348e-002	
2110.000000	2.4933e+001	-1.8913e-002	
2120.000000	2.5253e+001	-1.5130e-002	
2130.000000	2.5299e+001	-1.8913e-002	
2140.000000	2.5558e+001	-1.1348e-002	
2150.000000	2.4979e+001	-2.6478e-002	
2160.000000	2.5574e+001	-1.5130e-002	
2170.000000	2.5375e+001	-1.1348e-002	
2180.000000	2.5742e+001	-1.8913e-002	
2190.000000	2.5360e+001	-1.1348e-002	
