NEW_DATA____0003.rec ( 92120 Echant/voies ) Période acquisition :10ms
Date :6/19/2023 2:33:10 PM Fmax 0.1 Hz
t	y	u
0.000000	2.4277e+001	-2.6478e-002	
10.000000	2.3987e+001	-2.6478e-002	
20.000000	2.4719e+001	-3.0261e-002	
30.000000	2.4567e+001	-3.0261e-002	
40.000000	2.4124e+001	-1.8913e-002	
50.000000	2.3911e+001	-3.0261e-002	
60.000000	2.4750e+001	-2.6478e-002	
70.000000	2.4704e+001	-3.4043e-002	
80.000000	2.4017e+001	-3.4043e-002	
90.000000	2.3956e+001	-3.4043e-002	
100.000000	2.4826e+001	-2.6478e-002	
110.000000	2.4612e+001	-3.4043e-002	
120.000000	2.4063e+001	-2.2695e-002	
130.000000	2.3788e+001	-2.6478e-002	
140.000000	2.4872e+001	-2.2695e-002	
150.000000	2.4780e+001	-2.6478e-002	
160.000000	2.3941e+001	-2.6478e-002	
170.000000	2.3849e+001	-3.4043e-002	
180.000000	2.4780e+001	-3.0261e-002	
190.000000	2.4689e+001	-2.2695e-002	
200.000000	2.3926e+001	-3.0261e-002	
210.000000	2.3834e+001	-3.4043e-002	
220.000000	2.4750e+001	-3.4043e-002	
230.000000	2.4719e+001	-2.6478e-002	
240.000000	2.3941e+001	-2.2695e-002	
250.000000	2.4017e+001	-2.6478e-002	
260.000000	2.4734e+001	-2.6478e-002	
270.000000	2.4536e+001	-3.4043e-002	
280.000000	2.3865e+001	-3.4043e-002	
290.000000	2.3926e+001	-3.4043e-002	
300.000000	2.4521e+001	-2.2695e-002	
310.000000	2.4612e+001	-2.6478e-002	
320.000000	2.4002e+001	-3.7826e-002	
330.000000	2.4109e+001	-3.7826e-002	
340.000000	2.4475e+001	-3.0261e-002	
350.000000	2.4536e+001	-2.6478e-002	
360.000000	2.4002e+001	-2.6478e-002	
370.000000	2.4033e+001	-2.2695e-002	
380.000000	2.4399e+001	-3.4043e-002	
390.000000	2.4506e+001	-3.4043e-002	
400.000000	2.4033e+001	-3.4043e-002	
410.000000	2.4261e+001	-3.0261e-002	
420.000000	2.4246e+001	-2.2695e-002	
430.000000	2.4490e+001	-3.0261e-002	
440.000000	2.4170e+001	-2.2695e-002	
