NEW_DATA____0007.rec ( 90767 Echant/voies ) Période acquisition :10ms
Date :6/20/2023 9:44:00 AM Fmax 0.1 Hz
t	y	u
0.000000	2.2858e+001	-3.4043e-002	
10.000000	2.3376e+001	-3.0261e-002	
20.000000	2.2934e+001	-3.4043e-002	
30.000000	2.3331e+001	-3.4043e-002	
40.000000	2.3346e+001	-2.6478e-002	
50.000000	2.3361e+001	-3.4043e-002	
60.000000	2.3315e+001	-2.2695e-002	
70.000000	2.2919e+001	-3.0261e-002	
80.000000	2.3361e+001	-3.4043e-002	
90.000000	2.2934e+001	-2.6478e-002	
100.000000	2.3010e+001	-2.2695e-002	
110.000000	2.2568e+001	-2.6478e-002	
120.000000	2.2842e+001	-2.6478e-002	
130.000000	2.2873e+001	-2.2695e-002	
140.000000	2.2537e+001	-2.2695e-002	
150.000000	2.2797e+001	-3.0261e-002	
160.000000	2.2736e+001	-3.0261e-002	
170.000000	2.3117e+001	-3.0261e-002	
180.000000	2.2980e+001	-2.6478e-002	
190.000000	2.3224e+001	-3.7826e-002	
200.000000	2.3117e+001	-4.1608e-002	
210.000000	2.3300e+001	-3.4043e-002	
220.000000	2.3407e+001	-2.2695e-002	
230.000000	2.3071e+001	-1.8913e-002	
240.000000	2.3361e+001	-3.0261e-002	
250.000000	2.2873e+001	-3.0261e-002	
260.000000	2.3270e+001	-2.2695e-002	
270.000000	2.2736e+001	-3.0261e-002	
280.000000	2.2842e+001	-3.0261e-002	
290.000000	2.2598e+001	-2.2695e-002	
300.000000	2.2842e+001	-2.6478e-002	
310.000000	2.2903e+001	-2.6478e-002	
320.000000	2.2537e+001	-3.0261e-002	
330.000000	2.2873e+001	-2.6478e-002	
340.000000	2.2934e+001	-1.8913e-002	
350.000000	2.3300e+001	-3.0261e-002	
360.000000	2.2995e+001	-2.6478e-002	
370.000000	2.3254e+001	-3.0261e-002	
380.000000	2.3346e+001	-2.6478e-002	
390.000000	2.3392e+001	-2.6478e-002	
400.000000	2.3392e+001	-2.6478e-002	
410.000000	2.3041e+001	-3.4043e-002	
420.000000	2.3331e+001	-2.6478e-002	
430.000000	2.2919e+001	-3.0261e-002	
440.000000	2.3102e+001	-2.6478e-002	
450.000000	2.2522e+001	-3.4043e-002	
460.000000	2.2949e+001	-3.0261e-002	
470.000000	2.2797e+001	-2.6478e-002	
480.000000	2.2522e+001	-3.0261e-002	
490.000000	2.2842e+001	-2.2695e-002	
500.000000	2.2690e+001	-3.4043e-002	
510.000000	2.3315e+001	-1.8913e-002	
520.000000	2.2827e+001	-2.2695e-002	
530.000000	2.3239e+001	-2.6478e-002	
540.000000	2.3224e+001	-2.2695e-002	
550.000000	2.3285e+001	-2.6478e-002	
560.000000	2.3209e+001	-1.8913e-002	
570.000000	2.3041e+001	-1.8913e-002	
580.000000	2.3453e+001	-2.6478e-002	
590.000000	2.3087e+001	-3.0261e-002	
600.000000	2.3132e+001	-2.6478e-002	
610.000000	2.2675e+001	-3.4043e-002	
620.000000	2.3102e+001	-1.5130e-002	
630.000000	2.2720e+001	-2.6478e-002	
640.000000	2.2629e+001	-3.0261e-002	
650.000000	2.2522e+001	-2.6478e-002	
660.000000	2.2751e+001	-2.6478e-002	
670.000000	2.3026e+001	-3.0261e-002	
680.000000	2.2598e+001	-3.0261e-002	
690.000000	2.2949e+001	-2.2695e-002	
700.000000	2.3117e+001	-3.0261e-002	
710.000000	2.3529e+001	-2.6478e-002	
720.000000	2.2964e+001	-1.8913e-002	
730.000000	2.3239e+001	-3.0261e-002	
