sys1_isoPla_0003.rec ( 4832 Echant/voies ) Période acquisition :100ms
Date :03/07/2023 08:56:55
Temps	y[°C]	u[V]	
0,000000	2,2079e+001	5,9765e+001	
100,000000	2,1942e+001	5,9757e+001	
200,000000	2,1896e+001	5,9746e+001	
300,000000	2,1698e+001	5,9761e+001	
400,000000	2,1774e+001	5,9757e+001	
500,000000	2,1362e+001	5,9757e+001	
600,000000	2,1591e+001	5,9750e+001	
700,000000	2,1515e+001	5,9750e+001	
800,000000	2,1393e+001	5,9753e+001	
900,000000	2,1439e+001	5,9753e+001	
1000,000000	2,1027e+001	5,9753e+001	
1100,000000	2,1545e+001	5,9757e+001	
1200,000000	2,1210e+001	5,9750e+001	
1300,000000	2,1500e+001	5,9761e+001	
1400,000000	2,1362e+001	5,9757e+001	
1500,000000	2,1545e+001	5,9753e+001	
1600,000000	2,2064e+001	5,9750e+001	
1700,000000	2,1484e+001	5,9753e+001	
1800,000000	2,2263e+001	5,9746e+001	
1900,000000	2,2064e+001	5,9753e+001	
2000,000000	2,2537e+001	5,9761e+001	
2100,000000	2,2232e+001	5,9757e+001	
2200,000000	2,2552e+001	5,9761e+001	
2300,000000	2,2690e+001	5,9757e+001	
2400,000000	2,2568e+001	5,9757e+001	
2500,000000	2,3010e+001	5,9757e+001	
2600,000000	2,2873e+001	5,9757e+001	
2700,000000	2,3026e+001	5,9742e+001	
2800,000000	2,3102e+001	5,9761e+001	
2900,000000	2,3270e+001	5,9757e+001	
3000,000000	2,3102e+001	5,9750e+001	
3100,000000	2,3392e+001	5,9757e+001	
3200,000000	2,3270e+001	5,9757e+001	
3300,000000	2,3438e+001	5,9753e+001	
3400,000000	2,3376e+001	5,9753e+001	
3500,000000	2,3376e+001	5,9753e+001	
3600,000000	2,3590e+001	5,9746e+001	
3700,000000	2,3300e+001	5,9746e+001	
3800,000000	2,3804e+001	5,9753e+001	
3900,000000	2,3376e+001	5,9761e+001	
4000,000000	2,3987e+001	5,9757e+001	
4100,000000	2,3544e+001	5,9753e+001	
4200,000000	2,4139e+001	5,9761e+001	
4300,000000	2,3727e+001	5,9746e+001	
4400,000000	2,4124e+001	5,9757e+001	
4500,000000	2,3834e+001	5,9761e+001	
4600,000000	2,4277e+001	5,9753e+001	
4700,000000	2,4155e+001	5,9750e+001	
4800,000000	2,4261e+001	5,9757e+001	
4900,000000	2,4246e+001	5,9757e+001	
5000,000000	2,4368e+001	5,9753e+001	
5100,000000	2,4353e+001	5,9746e+001	
5200,000000	2,4445e+001	5,9757e+001	
5300,000000	2,4399e+001	5,9753e+001	
5400,000000	2,4429e+001	5,9757e+001	
5500,000000	2,4429e+001	5,9750e+001	
5600,000000	2,4490e+001	5,9750e+001	
5700,000000	2,4551e+001	5,9750e+001	
5800,000000	2,4567e+001	5,9757e+001	
