t,   y,   u
0.000000,   22.399597,   -0.034180
390.000000,   22.185974,   -0.030518
408.000000,   22.536926,   -0.030518
570.000000,   22.948914,   -0.026855
606.000000,   22.521667,   -0.026855
931.000000,   22.918396,   -0.030518
1190.000000,   22.567444,   -0.026855
1500.000000,   22.216492,   -0.030518
1770.000000,   22.140198,   -0.023193
2103.000000,   22.735291,   -0.026855
2363.000000,   22.216492,   -0.026855
2674.000000,   21.819763,   -0.023193
2924.000000,   22.338562,   -0.030518
3236.000000,   22.735291,   -0.034180
3491.000000,   21.987610,   -0.030518
3802.000000,   22.094421,   -0.034180
4129.000000,   22.002869,   -0.030518
4381.000000,   22.323303,   -0.026855
4712.000000,   22.155457,   -0.037842
5025.000000,   22.109680,   -0.030518
5258.000000,   22.491150,   -0.034180
5575.000000,   22.170715,   -0.037842
5861.000000,   22.613220,   -0.030518
6144.000000,   22.247009,   -0.037842
6456.000000,   22.460632,   -0.026855
6770.000000,   22.262268,   -0.034180
7050.000000,   22.704773,   -0.037842
7370.000000,   22.643738,   -0.037842
7644.000000,   21.865540,   -0.023193
7956.000000,   22.643738,   -0.030518
8272.000000,   22.353821,   -0.037842
8555.000000,   22.674255,   -0.023193
8874.000000,   22.903137,   -0.034180
9131.000000,   22.750549,   -0.023193
9465.000000,   22.689514,   -0.026855
9699.000000,   22.430115,   -0.037842
9940.000000,   22.887878,   59.752197
10272.000000,   22.628479,   59.768066
10584.000000,   21.712952,   59.760742
10876.000000,   22.613220,   59.768066
11155.000000,   22.720032,   59.757080
11414.000000,   22.796326,   59.752197
11726.000000,   22.994690,   59.764404
11958.000000,   22.811584,   59.760742
12273.000000,   23.086243,   59.768066
12606.000000,   22.903137,   59.764404
12838.000000,   23.391418,   59.752197
13154.000000,   23.254089,   59.757080
13486.000000,   23.330383,   59.760742
13755.000000,   24.123840,   59.752197
14088.000000,   23.849182,   59.760742
14321.000000,   23.742371,   59.760742
14634.000000,   24.108582,   59.757080
14892.000000,   24.764709,   59.764404
15206.000000,   24.688416,   59.768066
15518.000000,   24.154358,   59.768066
15802.000000,   25.375061,   59.760742
16118.000000,   25.497131,   59.760742
16435.000000,   25.420837,   59.757080
16692.000000,   25.741272,   59.760742
17026.000000,   25.466614,   59.752197
17340.000000,   26.076965,   59.764404
17626.000000,   25.558167,   59.760742
17942.000000,   25.863342,   59.757080
18272.000000,   26.092224,   59.760742
18584.000000,   26.153259,   59.760742
18820.000000,   26.138000,   59.757080
19153.000000,   26.961975,   59.760742
19414.000000,   26.122742,   59.757080
19704.000000,   27.114563,   55.471191
20020.000000,   27.206116,   -0.034180
20304.000000,   27.465515,   -0.042725
20542.000000,   26.946716,   -0.037842
20828.000000,   27.343445,   -0.034180
21078.000000,   27.145081,   -0.030518
21386.000000,   27.785950,   -0.030518
21711.000000,   27.129822,   -0.037842
21958.000000,   27.785950,   -0.030518
22500.000000,   26.565247,   -0.037842
22800.000000,   26.687317,   -0.026855
23266.000000,   26.992493,   -0.026855
23339.000000,   27.175598,   -0.037842
23648.000000,   27.190857,   -0.030518
23952.000000,   26.778870,   -0.037842
24200.000000,   26.580505,   -0.030518
24479.000000,   26.641541,   -0.037842
24766.000000,   26.076965,   -0.030518
25002.000000,   26.443176,   -0.034180
25250.000000,   26.534729,   -0.030518
25555.000000,   26.885681,   -0.034180
25799.000000,   26.412659,   -0.030518
26110.000000,   26.900940,   -0.034180
26372.000000,   26.000671,   -0.023193
26704.000000,   26.519470,   -0.037842
26988.000000,   25.664978,   -0.026855
27270.000000,   26.214294,   -0.026855
27584.000000,   25.985413,   -0.030518
27818.000000,   26.076965,   -0.026855
28060.000000,   25.451355,   -0.026855
28298.000000,   26.397400,   -0.026855
28583.000000,   26.199036,   -0.034180
28840.000000,   25.390320,   -0.030518
29156.000000,   25.268250,   -0.037842
29485.000000,   26.519470,   -0.034180
29782.000000,   25.664978,   59.760742
30094.000000,   25.848083,   59.757080
30350.000000,   26.000671,   59.757080
30691.000000,   25.939636,   59.760742
30940.000000,   26.397400,   59.757080
31256.000000,   25.939636,   59.748535
31588.000000,   26.504211,   59.764404
31844.000000,   26.504211,   59.760742
32156.000000,   25.573425,   59.757080
32489.000000,   26.321106,   59.760742
32744.000000,   26.900940,   59.760742
33056.000000,   26.870422,   59.757080
33397.000000,   27.160339,   59.760742
33644.000000,   27.145081,   59.757080
33956.000000,   27.206116,   59.752197
34272.000000,   27.908020,   59.757080
34555.000000,   27.785950,   59.764404
34872.000000,   27.160339,   59.760742
35126.000000,   28.320007,   59.760742
35458.000000,   28.182678,   59.752197
35775.000000,   27.908020,   59.760742
36059.000000,   28.243713,   59.757080
36375.000000,   28.167419,   59.760742
36658.000000,   28.411560,   59.752197
37146.000000,   28.945618,   59.752197
37495.000000,   28.228455,   59.760742
37754.000000,   29.266052,   59.760742
38086.000000,   29.189758,   59.764404
38318.000000,   29.235535,   59.764404
