t,   y,   u
0.000000,   24.291687,   59.744873
112.000000,   23.574829,   59.737244
239.000000,   23.925018,   59.749451
313.000000,   23.695679,   59.744873
412.000000,   23.208160,   59.749451
512.000000,   23.055725,   59.737244
612.000000,   23.300171,   59.734192
712.000000,   23.665466,   59.729614
812.000000,   23.955231,   59.741821
927.000000,   24.092560,   59.741821
1013.000000,   24.244995,   59.741821
1112.000000,   23.940125,   59.729614
1212.000000,   23.925018,   59.744873
1320.000000,   24.596558,   59.734192
1433.000000,   23.482819,   59.741821
1507.000000,   23.177948,   59.749451
1612.000000,   23.589935,   59.744873
1711.000000,   23.757477,   59.729614
1812.000000,   24.352112,   59.726562
1922.000000,   24.398804,   59.734192
2012.000000,   24.489441,   59.737244
2112.000000,   24.856110,   59.737244
2247.000000,   24.291687,   59.744873
2306.000000,   24.825897,   59.729614
2413.000000,   24.519653,   59.744873
2522.000000,   25.008545,   59.741821
2634.000000,   24.581451,   59.737244
2712.000000,   24.261475,   59.744873
2812.000000,   24.352112,   59.741821
2912.000000,   24.382324,   59.741821
3012.000000,   24.459229,   59.734192
3111.000000,   24.841003,   59.749451
3213.000000,   24.931641,   59.734192
3311.000000,   25.008545,   59.741821
3412.000000,   25.542755,   59.734192
3509.000000,   25.634766,   59.737244
3612.000000,   25.755615,   59.741821
3712.000000,   24.871216,   59.726562
3835.000000,   25.420532,   59.734192
3913.000000,   25.375214,   59.737244
4013.000000,   25.115662,   59.741821
4111.000000,   25.465851,   59.737244
4226.000000,   25.100555,   59.737244
4311.000000,   25.053864,   59.741821
4413.000000,   25.252991,   59.749451
4512.000000,   25.802307,   59.749451
4612.000000,   25.817413,   59.741821
4712.000000,   25.984955,   59.744873
4812.000000,   25.939636,   59.737244
4911.000000,   25.740509,   59.734192
5013.000000,   25.892944,   59.729614
5112.000000,   25.572968,   59.741821
5213.000000,   25.877838,   59.737244
5311.000000,   25.924530,   59.741821
5423.000000,   26.686707,   59.744873
5511.000000,   26.716919,   59.726562
5612.000000,   26.015167,   59.726562
5711.000000,   25.847626,   59.729614
5813.000000,   26.214294,   59.737244
5933.000000,   26.321411,   59.744873
6012.000000,   26.671600,   59.741821
6112.000000,   26.549377,   59.726562
6212.000000,   26.686707,   59.734192
6311.000000,   27.113800,   59.737244
6417.000000,   26.336517,   59.744873
6512.000000,   26.229401,   59.741821
6612.000000,   26.626282,   59.737244
6712.000000,   27.403564,   59.744873
6812.000000,   27.343140,   59.737244
6911.000000,   27.358246,   59.729614
7014.000000,   26.854248,   59.741821
7132.000000,   26.671600,   59.741821
7212.000000,   26.289825,   59.741821
7312.000000,   26.519165,   59.741821
7413.000000,   27.128906,   59.741821
7511.000000,   27.632904,   59.729614
7612.000000,   27.755127,   59.726562
7713.000000,   27.420044,   59.729614
7812.000000,   27.128906,   59.744873
7911.000000,   27.251129,   59.734192
8012.000000,   26.991577,   59.741821
8112.000000,   27.800446,   59.741821
8212.000000,   27.922668,   59.734192
8312.000000,   27.435150,   59.737244
8412.000000,   27.312927,   59.741821
