ti,   y,   u
0.000000,   23.300171,   -0.026855
36.000000,   22.673950,   49.774780
111.000000,   23.085937,   49.793091
206.000000,   22.628632,   49.790039
314.000000,   23.467712,   49.790039
436.000000,   23.497925,   49.785461
512.000000,   23.909912,   49.793091
610.000000,   22.948608,   49.790039
712.000000,   23.330383,   49.790039
822.000000,   22.933502,   49.785461
911.000000,   23.452606,   49.793091
1022.000000,   23.025513,   49.790039
1112.000000,   23.116150,   49.782410
1212.000000,   23.695679,   49.790039
1312.000000,   23.482819,   49.785461
1412.000000,   23.727264,   49.790039
1511.000000,   23.238373,   49.782410
1612.000000,   23.009033,   49.793091
1711.000000,   23.040619,   49.777832
1812.000000,   22.781067,   49.785461
1905.000000,   23.589935,   49.785461
2026.000000,   23.330383,   49.785461
2112.000000,   23.864594,   49.790039
2212.000000,   23.817902,   49.777832
2311.000000,   23.849487,   49.782410
2414.000000,   23.330383,   49.777832
2534.000000,   23.712158,   49.777832
2613.000000,   23.390808,   49.777832
2712.000000,   23.635254,   49.793091
2838.000000,   23.375702,   49.777832
2912.000000,   23.390808,   49.782410
3012.000000,   23.817902,   49.782410
3131.000000,   23.925018,   49.785461
3212.000000,   24.124146,   49.790039
3305.000000,   24.077454,   49.777832
3412.000000,   24.673462,   49.774780
3506.000000,   23.986816,   49.777832
3617.000000,   23.360596,   49.774780
3736.000000,   24.321899,   49.790039
3812.000000,   24.017029,   49.782410
3911.000000,   24.229889,   49.777832
4013.000000,   24.551239,   49.790039
4115.000000,   23.955231,   49.785461
4212.000000,   23.940125,   49.782410
4306.000000,   23.772583,   49.782410
4412.000000,   23.757477,   49.782410
4505.000000,   24.199677,   49.785461
4612.000000,   23.909912,   49.782410
4706.000000,   24.154358,   49.785461
4812.000000,   24.229889,   49.800720
4911.000000,   24.536133,   49.777832
5012.000000,   24.551239,   49.790039
5106.000000,   24.748993,   49.782410
5212.000000,   24.641876,   49.785461
5328.000000,   25.268097,   49.782410
5412.000000,   24.703674,   49.782410
5506.000000,   25.390320,   49.793091
5611.000000,   24.978333,   49.785461
5705.000000,   25.435638,   49.774780
5812.000000,   24.825897,   49.782410
5927.000000,   25.649872,   49.782410
6012.000000,   25.038757,   49.777832
6105.000000,   25.649872,   49.790039
6212.000000,   25.390320,   49.774780
6306.000000,   25.557861,   49.777832
6412.000000,   24.641876,   49.785461
6531.000000,   25.787201,   49.785461
6613.000000,   25.115662,   49.782410
6712.000000,   25.664978,   49.785461
6812.000000,   24.536133,   49.774780
6921.000000,   24.993439,   49.782410
7037.000000,   25.298309,   49.790039
7111.000000,   25.268097,   49.785461
7223.000000,   25.160980,   49.777832
7312.000000,   25.450745,   49.785461
7412.000000,   25.176086,   49.793091
7521.000000,   25.038757,   49.785461
7637.000000,   25.283203,   49.785461
7712.000000,   25.572968,   49.782410
7812.000000,   25.557861,   49.790039
7906.000000,   25.588074,   49.774780
8012.000000,   25.145874,   49.777832
8126.000000,   25.924530,   49.790039
8213.000000,   25.832520,   49.785461
8312.000000,   26.000061,   49.790039
8412.000000,   25.603180,   49.777832
8517.000000,   26.458740,   49.785461
8612.000000,   26.061859,   49.774780
8710.000000,   26.289825,   49.777832
8812.000000,   26.046753,   49.777832
8912.000000,   26.396942,   49.793091
9012.000000,   26.167603,   49.777832
9106.000000,   25.557861,   49.782410
9214.000000,   26.229401,   49.785461
9312.000000,   25.877838,   49.782410
9412.000000,   26.199188,   49.782410
9506.000000,   25.817413,   49.774780
9612.000000,   26.473846,   49.785461
9719.000000,   26.199188,   49.782410
9835.000000,   25.924530,   49.785461
9914.000000,   25.802307,   49.790039
10012.000000,   25.725403,   49.785461
10144.000000,   26.030273,   49.777832
10210.000000,   26.107178,   49.782410
10317.000000,   26.304932,   49.777832
10433.000000,   25.924530,   49.790039
10512.000000,   26.015167,   49.782410
10612.000000,   25.588074,   49.790039
10706.000000,   26.199188,   49.790039
10812.000000,   26.304932,   49.777832
10922.000000,   26.184082,   49.777832
11013.000000,   26.366730,   49.777832
11112.000000,   26.564484,   49.785461
11212.000000,   25.984955,   49.774780
11321.000000,   26.229401,   49.782410
11437.000000,   27.128906,   49.774780
11514.000000,   26.122284,   49.782410
11619.000000,   27.098694,   49.777832
11710.000000,   26.473846,   49.785461
11812.000000,   26.412048,   49.777832
