sys1_isoFlu_0003.rec ( 5992 Echant/voies ) Période acquisition :100ms
Date :06/07/2023 16:37:46
Temps	y[V]	u[V]	phi[V]	
0,000000	-1,2053e-005	-1,5130e-002	-7,2087e-005	
100,000000	6,3710e-005	-3,0261e-002	-1,0244e-004	
200,000000	1,6071e-005	-2,2695e-002	-9,1057e-005	
300,000000	2,4298e-005	-3,0261e-002	-9,1057e-005	
400,000000	5,6440e-005	-2,2695e-002	-8,7263e-005	
500,000000	-8,0355e-006	-2,2695e-002	-7,5881e-005	
600,000000	7,8825e-005	-1,8913e-002	-1,2520e-004	
700,000000	-7,2702e-006	-2,2695e-002	-7,9675e-005	
800,000000	4,2091e-005	-2,2695e-002	-9,4851e-005	
900,000000	3,6925e-005	-1,8913e-002	-1,1003e-004	
1000,000000	4,2091e-006	-2,2695e-002	-8,7263e-005	
1100,000000	6,1988e-005	-1,1348e-002	-1,3279e-004	
1200,000000	5,1657e-006	-2,2695e-002	-7,5881e-005	
1300,000000	2,7742e-005	-1,8913e-002	-8,7263e-005	
1400,000000	6,1988e-005	-2,2695e-002	-9,1057e-005	
1500,000000	-9,9487e-006	-1,8913e-002	-6,8293e-005	
1600,000000	6,7345e-005	-3,4043e-002	-1,1382e-004	
1700,000000	8,9921e-006	-1,8913e-002	-7,5881e-005	
1800,000000	3,1568e-005	-3,0261e-002	-8,3469e-005	
1900,000000	5,3761e-005	-1,5130e-002	-9,8646e-005	
2000,000000	-1,4349e-005	-1,8913e-002	-7,5881e-005	
2100,000000	7,4041e-005	-7,5652e-003	-9,4851e-005	
2200,000000	-2,8698e-006	-2,6478e-002	-8,7263e-005	
2300,000000	3,7116e-005	-1,1348e-002	-1,0244e-004	
2400,000000	3,6734e-005	-1,5130e-002	-9,1057e-005	
2500,000000	-7,6529e-007	-1,8913e-002	-6,4499e-005	
2600,000000	6,1032e-005	-2,2695e-002	-1,1762e-004	
2700,000000	-7,6529e-006	-2,2695e-002	-5,6911e-005	
2800,000000	4,8213e-005	-1,5130e-002	-9,4851e-005	
2900,000000	1,0523e-005	-2,6478e-002	-8,7263e-005	
3000,000000	2,6402e-005	-2,2695e-002	-1,0623e-004	
3100,000000	3,7690e-005	-1,5130e-002	-9,8646e-005	
3200,000000	5,3570e-006	-1,8913e-002	-6,8293e-005	
3300,000000	5,4335e-005	-1,1348e-002	-9,4851e-005	
3400,000000	-7,2702e-006	-2,6478e-002	-5,3117e-005	
3500,000000	6,0649e-005	-2,2695e-002	-1,1003e-004	
3600,000000	-2,8698e-006	-2,6478e-002	-6,4499e-005	
3700,000000	4,8213e-005	-7,5652e-003	-1,1003e-004	
3800,000000	1,5306e-005	-2,2695e-002	-7,9675e-005	
3900,000000	3,5203e-005	-2,2695e-002	-1,0623e-004	
4000,000000	2,2002e-005	-2,6478e-002	-7,5881e-005	
4100,000000	2,2576e-005	-1,8913e-002	-8,3469e-005	
4200,000000	4,1899e-005	-7,5652e-003	-9,4851e-005	
4300,000000	5,7396e-007	-1,8913e-002	-5,3117e-005	
4400,000000	5,7588e-005	-1,8913e-002	-1,0623e-004	
4500,000000	-4,7830e-006	-2,2695e-002	-6,0705e-005	
4600,000000	6,0840e-005	-1,5130e-002	-1,2900e-004	
4700,000000	-9,7574e-006	-3,0261e-002	-5,3117e-005	
4800,000000	7,3659e-005	-1,5130e-002	-1,1762e-004	
4900,000000	-1,6836e-005	-1,1348e-002	-7,9675e-005	
5000,000000	6,8111e-005	-1,1348e-002	-1,2520e-004	
5100,000000	-5,1657e-006	-1,5130e-002	-9,1057e-005	
5200,000000	5,6440e-005	-1,5130e-002	-9,8646e-005	
5300,000000	-6,5049e-006	-1,5130e-002	-9,1057e-005	
5400,000000	5,4718e-005	-1,8913e-002	-9,8646e-005	
5500,000000	2,8698e-006	-1,5130e-002	-8,3469e-005	
5600,000000	5,1083e-005	-1,8913e-002	-1,1003e-004	
5700,000000	8,8008e-006	-1,8913e-002	-7,9675e-005	
5800,000000	5,1466e-005	-2,2695e-002	-1,0244e-004	
5900,000000	-3,8264e-006	-1,8913e-002	-7,2087e-005	
6000,000000	5,3187e-005	-2,2695e-002	-1,1762e-004	
6100,000000	-5,1657e-006	-1,8913e-002	-3,7941e-005	
6200,000000	5,6631e-005	-1,8913e-002	-1,1003e-004	
6300,000000	-1,0905e-005	-1,8913e-002	-6,0705e-005	
6400,000000	5,8544e-005	-1,5130e-002	-1,0623e-004	
6500,000000	-1,6262e-005	-2,6478e-002	-6,0705e-005	
6600,000000	5,1657e-005	-1,8913e-002	-1,0244e-004	
6700,000000	1,2436e-005	-1,8913e-002	-1,0244e-004	
6800,000000	1,1288e-005	-1,5130e-002	-7,2087e-005	
6900,000000	4,9552e-005	-2,2695e-002	-1,0244e-004	
7000,000000	-6,1223e-006	-3,0261e-002	-5,3117e-005	
7100,000000	4,9361e-005	-7,5652e-003	-1,1382e-004	
7200,000000	7,6529e-006	-1,8913e-002	-7,9675e-005	
7300,000000	2,4680e-005	-2,6478e-002	-7,9675e-005	
7400,000000	3,5777e-005	-1,8913e-002	-9,4851e-005	
7500,000000	-3,4438e-006	-1,8913e-002	-5,6911e-005	
7600,000000	5,6249e-005	-1,5130e-002	-1,2520e-004	
7700,000000	7,6529e-007	-1,8913e-002	-7,5881e-005	
7800,000000	2,3724e-005	-2,6478e-002	-8,3469e-005	
7900,000000	4,4387e-005	-1,8913e-002	-9,1057e-005	
8000,000000	-4,9744e-006	-1,1348e-002	-8,3469e-005	
8100,000000	5,1466e-005	-1,8913e-002	-9,4851e-005	
8200,000000	-7,6529e-007	-2,2695e-002	-6,8293e-005	
8300,000000	3,6925e-005	-1,5130e-002	-9,8646e-005	
8400,000000	3,0994e-005	-1,8913e-002	-7,5881e-005	
8500,000000	0,0000e+000	-7,5652e-003	-7,2087e-005	
8600,000000	5,8162e-005	-1,8913e-002	-9,8646e-005	
8700,000000	-7,0789e-006	-1,1348e-002	-7,5881e-005	
8800,000000	4,5726e-005	-3,4043e-002	-8,7263e-005	
8900,000000	8,2268e-006	-2,2695e-002	-7,9675e-005	
9000,000000	3,0611e-005	-1,5130e-002	-1,0623e-004	
9100,000000	2,9464e-005	-1,8913e-002	-7,2087e-005	
9200,000000	1,9132e-006	-2,2695e-002	-7,9675e-005	
9300,000000	4,6109e-005	-1,8913e-002	-1,1003e-004	
9400,000000	-1,1288e-005	-2,2695e-002	-7,2087e-005	
9500,000000	4,4578e-005	4,8470e+001	-1,8970e-004	
9600,000000	2,4872e-005	5,9939e+001	3,2249e-004	
9700,000000	-1,0140e-005	5,9935e+001	2,1474e-003	
9800,000000	-1,2053e-005	5,9939e+001	4,3821e-003	
9900,000000	2,3915e-005	5,9935e+001	6,5030e-003	
10000,000000	5,8162e-005	5,9935e+001	8,4873e-003	
10100,000000	3,5777e-005	5,9943e+001	1,0255e-002	
10200,000000	3,0611e-006	5,9939e+001	1,1837e-002	
