t,   y,   u
10014.000000,   0.000022,   59.937744,   0.001479
10194.000000,   -0.000001,   59.930420,   0.007845
10491.000000,   0.000002,   59.934082,   0.013328
10832.000000,   0.000061,   59.941406,   0.016727
11157.000000,   0.000060,   59.941406,   0.018788
11454.000000,   0.000038,   59.946289,   0.020248
11748.000000,   0.000077,   59.937744,   0.021162
12020.000000,   0.000003,   59.937744,   0.022085
12366.000000,   0.000068,   59.937744,   0.022715
12691.000000,   0.000055,   59.934082,   0.023199
12962.000000,   0.000065,   59.937744,   0.023640
13250.000000,   0.000088,   59.934082,   0.023982
13529.000000,   0.000072,   59.946289,   0.024327
13833.000000,   0.000108,   59.946289,   0.024661
14159.000000,   0.000107,   59.941406,   0.024918
14457.000000,   0.000091,   59.937744,   0.025143
14747.000000,   0.000119,   59.937744,   0.025325
15021.000000,   0.000110,   59.930420,   0.025510
15349.000000,   0.000145,   59.941406,   0.025708
15694.000000,   0.000116,   59.946289,   0.025837
15942.000000,   0.000095,   59.941406,   0.025969
16233.000000,   0.000154,   59.937744,   0.026057
16483.000000,   0.000149,   59.926758,   0.025719
16781.000000,   0.000159,   59.941406,   0.025571
17081.000000,   0.000156,   59.937744,   0.025591
17409.000000,   0.000177,   59.937744,   0.025625
17681.000000,   0.000143,   59.941406,   0.025715
18012.000000,   0.000182,   59.937744,   0.025784
18346.000000,   0.000107,   59.941406,   0.025829
18838.000000,   0.000137,   59.937744,   0.025985
19178.000000,   0.000144,   59.937744,   0.026012
19481.000000,   0.000144,   59.926758,   0.026064
19812.000000,   0.000205,   15.046387,   0.026182
20063.000000,   0.000220,   0.007324,   0.021835
20359.000000,   0.000175,   -0.023193,   0.015809
20692.000000,   0.000234,   -0.026855,   0.012391
20943.000000,   0.000206,   -0.019531,   0.009473
21236.000000,   0.000156,   -0.023193,   0.007485
21503.000000,   0.000215,   -0.023193,   0.005751
21832.000000,   0.000192,   -0.019531,   0.004537
22171.000000,   0.000227,   -0.019531,   0.003832
22423.000000,   0.000182,   -0.026855,   0.003281
22712.000000,   0.000225,   -0.015869,   0.002806
23002.000000,   0.000182,   -0.012207,   0.002496
