sys1_isoPla_0001.rec ( 5584 Echant/voies ) Période acquisition :100ms
Date :6/30/2023 3:40:52 PM
Temps	y[°C]	u[V]	
0.000000	2.3315e+001	6.4743e+001	
100.000000	2.4200e+001	6.4731e+001	
200.000000	2.3315e+001	6.4727e+001	
300.000000	2.4033e+001	6.4731e+001	
400.000000	2.4048e+001	6.4731e+001	
500.000000	2.3407e+001	6.4724e+001	
600.000000	2.4124e+001	6.4735e+001	
700.000000	2.3651e+001	6.4731e+001	
800.000000	2.3880e+001	6.4731e+001	
900.000000	2.4353e+001	6.4731e+001	
1000.000000	2.3285e+001	6.4735e+001	
1100.000000	2.4261e+001	6.4731e+001	
1200.000000	2.3743e+001	6.4743e+001	
1300.000000	2.3849e+001	6.4727e+001	
1400.000000	2.4643e+001	6.4743e+001	
1500.000000	2.3773e+001	6.4731e+001	
1600.000000	2.4612e+001	6.4727e+001	
1700.000000	2.4033e+001	6.4731e+001	
1800.000000	2.4048e+001	6.4739e+001	
1900.000000	2.4521e+001	6.4735e+001	
2000.000000	2.4643e+001	6.4727e+001	
2100.000000	2.4261e+001	6.4731e+001	
2200.000000	2.4673e+001	6.4731e+001	
2300.000000	2.4414e+001	6.4739e+001	
2400.000000	2.4536e+001	6.4731e+001	
2500.000000	2.5192e+001	6.4739e+001	
2600.000000	2.4628e+001	6.4731e+001	
2700.000000	2.4857e+001	6.4727e+001	
2800.000000	2.5101e+001	6.4731e+001	
2900.000000	2.4857e+001	6.4735e+001	
3000.000000	2.5085e+001	6.4739e+001	
3100.000000	2.5345e+001	6.4735e+001	
3200.000000	2.4994e+001	6.4731e+001	
3300.000000	2.4994e+001	6.4727e+001	
3400.000000	2.6108e+001	6.4735e+001	
3500.000000	2.4780e+001	6.4731e+001	
3600.000000	2.5497e+001	6.4724e+001	
3700.000000	2.5742e+001	6.4720e+001	
3800.000000	2.5070e+001	6.4735e+001	
3900.000000	2.5955e+001	6.4724e+001	
4000.000000	2.5909e+001	6.4727e+001	
4100.000000	2.5299e+001	6.4735e+001	
4200.000000	2.5726e+001	6.4735e+001	
4300.000000	2.6398e+001	6.4731e+001	
4400.000000	2.5726e+001	6.4731e+001	
4500.000000	2.5818e+001	6.4727e+001	
4600.000000	2.6505e+001	6.4731e+001	
4700.000000	2.5818e+001	6.4727e+001	
4800.000000	2.6306e+001	6.4735e+001	
4900.000000	2.6596e+001	6.4724e+001	
5000.000000	2.6077e+001	6.4743e+001	
5100.000000	2.6138e+001	6.4735e+001	
5200.000000	2.6718e+001	6.4735e+001	
5300.000000	2.6520e+001	6.4731e+001	
5400.000000	2.6382e+001	6.4727e+001	
5500.000000	2.7084e+001	6.4731e+001	
5600.000000	2.6443e+001	6.4735e+001	
5700.000000	2.6657e+001	6.4731e+001	
5800.000000	2.7176e+001	6.4724e+001	
5900.000000	2.6718e+001	6.4735e+001	
6000.000000	2.6672e+001	6.4735e+001	
6100.000000	2.7100e+001	6.4739e+001	
6200.000000	2.7634e+001	6.4731e+001	
6300.000000	2.6871e+001	6.4735e+001	
6400.000000	2.6749e+001	6.4731e+001	
6500.000000	2.7573e+001	6.4727e+001	
6600.000000	2.7740e+001	6.4727e+001	
6700.000000	2.7283e+001	6.4720e+001	
6800.000000	2.6917e+001	6.4735e+001	
6900.000000	2.7969e+001	6.4720e+001	
7000.000000	2.8046e+001	6.4727e+001	
7100.000000	2.7191e+001	6.4735e+001	
7200.000000	2.7420e+001	6.4731e+001	
7300.000000	2.7786e+001	6.4735e+001	
7400.000000	2.8030e+001	6.4720e+001	
7500.000000	2.7451e+001	6.4731e+001	
7600.000000	2.7832e+001	6.4731e+001	
7700.000000	2.8259e+001	6.4731e+001	
7800.000000	2.7618e+001	6.4727e+001	
7900.000000	2.7908e+001	6.4739e+001	
8000.000000	2.8351e+001	6.4731e+001	
8100.000000	2.8244e+001	6.4731e+001	
8200.000000	2.7878e+001	6.4739e+001	
8300.000000	2.7878e+001	6.4735e+001	
8400.000000	2.9114e+001	6.4727e+001	
8500.000000	2.8320e+001	6.4731e+001	
8600.000000	2.7725e+001	6.4731e+001	
8700.000000	2.8671e+001	6.4739e+001	
8800.000000	2.8488e+001	6.4727e+001	
8900.000000	2.8458e+001	6.4724e+001	
9000.000000	2.8717e+001	6.4731e+001	
9100.000000	2.8671e+001	6.4731e+001	
9200.000000	2.8397e+001	6.4739e+001	
9300.000000	2.8549e+001	6.4731e+001	
9400.000000	2.9419e+001	6.4731e+001	
9500.000000	2.8824e+001	6.4727e+001	
9600.000000	2.8763e+001	6.4735e+001	
9700.000000	2.9388e+001	6.4731e+001	
9800.000000	2.8336e+001	6.4735e+001	
9900.000000	2.8671e+001	6.4739e+001	
10000.000000	2.9617e+001	6.4727e+001	
10100.000000	2.9114e+001	6.4731e+001	
10200.000000	2.8992e+001	6.4735e+001	
10300.000000	2.9282e+001	6.4735e+001	
10400.000000	2.9251e+001	6.4731e+001	
10500.000000	2.9037e+001	6.4727e+001	
10600.000000	2.9434e+001	6.4731e+001	
10700.000000	2.9739e+001	6.4724e+001	
10800.000000	2.9099e+001	6.4724e+001	
10900.000000	2.9312e+001	6.4724e+001	
11000.000000	3.0014e+001	6.4735e+001	
11100.000000	2.9251e+001	6.4735e+001	
11200.000000	2.9587e+001	6.4735e+001	
11300.000000	3.0579e+001	6.4720e+001	
11400.000000	2.9419e+001	6.4727e+001	
11500.000000	2.9449e+001	6.4724e+001	
11600.000000	3.0289e+001	6.4735e+001	
11700.000000	2.9495e+001	6.4731e+001	
11800.000000	2.9343e+001	6.4724e+001	
11900.000000	3.0579e+001	6.4720e+001	
12000.000000	2.9984e+001	6.4735e+001	
12100.000000	2.9770e+001	6.4735e+001	
12200.000000	3.0258e+001	6.4724e+001	
12300.000000	3.1082e+001	6.4739e+001	
12400.000000	3.0045e+001	6.4735e+001	
12500.000000	3.0289e+001	6.4731e+001	
12600.000000	3.0869e+001	6.4735e+001	
12700.000000	3.0472e+001	6.4731e+001	
12800.000000	2.9877e+001	6.4731e+001	
12900.000000	3.0396e+001	6.4735e+001	
13000.000000	3.0441e+001	6.4743e+001	
13100.000000	2.9694e+001	6.4739e+001	
13200.000000	3.0640e+001	6.4739e+001	
13300.000000	3.1036e+001	6.4724e+001	
13400.000000	3.0273e+001	6.4727e+001	
13500.000000	3.0457e+001	6.4731e+001	
13600.000000	3.1143e+001	6.4739e+001	
13700.000000	3.0548e+001	6.4731e+001	
13800.000000	3.0457e+001	6.4727e+001	
13900.000000	3.1128e+001	6.4731e+001	
14000.000000	3.1250e+001	6.4735e+001	
14100.000000	3.0746e+001	6.4724e+001	
14200.000000	3.0548e+001	6.4731e+001	
14300.000000	3.1235e+001	6.4720e+001	
14400.000000	3.1738e+001	6.4739e+001	
14500.000000	3.0869e+001	6.4739e+001	
14600.000000	3.0472e+001	6.4727e+001	
14700.000000	3.1326e+001	6.4731e+001	
14800.000000	3.1250e+001	6.4735e+001	
14900.000000	3.0991e+001	6.4727e+001	
15000.000000	3.0975e+001	6.4727e+001	
15100.000000	3.1235e+001	6.4727e+001	
15200.000000	3.1403e+001	6.4735e+001	
15300.000000	3.1097e+001	6.4731e+001	
15400.000000	3.1143e+001	6.4735e+001	
15500.000000	3.1769e+001	6.4731e+001	
15600.000000	3.1647e+001	6.4720e+001	
15700.000000	3.0792e+001	6.4735e+001	
15800.000000	3.1525e+001	6.4731e+001	
15900.000000	3.2242e+001	6.4727e+001	
16000.000000	3.1631e+001	6.4727e+001	
16100.000000	3.1143e+001	6.4731e+001	
16200.000000	3.1693e+001	6.4727e+001	
16300.000000	3.1876e+001	6.4731e+001	
16400.000000	3.1860e+001	6.4743e+001	
16500.000000	3.1525e+001	6.4724e+001	
16600.000000	3.1540e+001	6.4731e+001	
16700.000000	3.2150e+001	6.4739e+001	
16800.000000	3.2089e+001	6.4735e+001	
16900.000000	3.1433e+001	6.4731e+001	
17000.000000	3.2104e+001	6.4731e+001	
17100.000000	3.2486e+001	6.4731e+001	
17200.000000	3.1891e+001	6.4731e+001	
17300.000000	3.1784e+001	6.4727e+001	
17400.000000	3.2486e+001	6.4727e+001	
17500.000000	3.2623e+001	6.4739e+001	
17600.000000	3.2166e+001	6.4739e+001	
17700.000000	3.2303e+001	6.4720e+001	
17800.000000	3.2593e+001	6.4731e+001	
17900.000000	3.2654e+001	6.4735e+001	
18000.000000	3.2440e+001	6.4731e+001	
18100.000000	3.2181e+001	6.4731e+001	
18200.000000	3.2562e+001	6.4739e+001	
18300.000000	3.3096e+001	6.4731e+001	
18400.000000	3.2562e+001	6.4731e+001	
18500.000000	3.2043e+001	6.4724e+001	
18600.000000	3.2990e+001	6.4735e+001	
18700.000000	3.3142e+001	6.4727e+001	
18800.000000	3.2211e+001	6.4735e+001	
18900.000000	3.2211e+001	6.4724e+001	
19000.000000	3.3173e+001	6.4727e+001	
19100.000000	3.2928e+001	6.4727e+001	
19200.000000	3.2318e+001	6.4739e+001	
19300.000000	3.2806e+001	6.4727e+001	
19400.000000	3.3508e+001	6.4720e+001	
19500.000000	3.2944e+001	6.4716e+001	
19600.000000	3.2852e+001	6.4735e+001	
19700.000000	3.3432e+001	6.4724e+001	
19800.000000	3.3340e+001	6.3245e+000	
19900.000000	3.3386e+001	2.6478e-002	
20000.000000	3.3386e+001	7.5652e-003	
20100.000000	3.3615e+001	-3.4043e-002	
20200.000000	3.3569e+001	-1.5130e-002	
20300.000000	3.3905e+001	-1.8913e-002	
20400.000000	3.3890e+001	-1.1348e-002	
20500.000000	3.3508e+001	-1.5130e-002	
20600.000000	3.3493e+001	-1.5130e-002	
20700.000000	3.3279e+001	-2.2695e-002	
20800.000000	3.3707e+001	-1.5130e-002	
20900.000000	3.3569e+001	-1.1348e-002	
21000.000000	3.3691e+001	-2.2695e-002	
21100.000000	3.3127e+001	-2.6478e-002	
21200.000000	3.3463e+001	-1.8913e-002	
21300.000000	3.3035e+001	-7.5652e-003	
21400.000000	3.3264e+001	-2.2695e-002	
21500.000000	3.3218e+001	-1.5130e-002	
21600.000000	3.3295e+001	-1.8913e-002	
21700.000000	3.2806e+001	-2.6478e-002	
21800.000000	3.2913e+001	-2.2695e-002	
21900.000000	3.2410e+001	-2.6478e-002	
22000.000000	3.3005e+001	-2.6478e-002	
22100.000000	3.2959e+001	-2.2695e-002	
22200.000000	3.3432e+001	-1.8913e-002	
22300.000000	3.3173e+001	-1.8913e-002	
22400.000000	3.3524e+001	-1.1348e-002	
22500.000000	3.3264e+001	-1.8913e-002	
22600.000000	3.3493e+001	-1.5130e-002	
22700.000000	3.3295e+001	-2.2695e-002	
22800.000000	3.3401e+001	-1.5130e-002	
22900.000000	3.2593e+001	-1.5130e-002	
23000.000000	3.2547e+001	-2.6478e-002	
23100.000000	3.2410e+001	-2.2695e-002	
23200.000000	3.2791e+001	-1.1348e-002	
23300.000000	3.2806e+001	-1.8913e-002	
23400.000000	3.3249e+001	-1.8913e-002	
23500.000000	3.3051e+001	-2.2695e-002	
23600.000000	3.3127e+001	-1.8913e-002	
23700.000000	3.2745e+001	-1.8913e-002	
23800.000000	3.2654e+001	-2.6478e-002	
23900.000000	3.2654e+001	-2.2695e-002	
24000.000000	3.2257e+001	-1.8913e-002	
24100.000000	3.2379e+001	-2.2695e-002	
24200.000000	3.2211e+001	-1.8913e-002	
24300.000000	3.3005e+001	-2.2695e-002	
24400.000000	3.3081e+001	-1.5130e-002	
24500.000000	3.3157e+001	-1.5130e-002	
24600.000000	3.2394e+001	-1.8913e-002	
24700.000000	3.2074e+001	-1.8913e-002	
24800.000000	3.1876e+001	-2.2695e-002	
24900.000000	3.2272e+001	-1.8913e-002	
25000.000000	3.2715e+001	-2.2695e-002	
25100.000000	3.2684e+001	-2.6478e-002	
25200.000000	3.2715e+001	-2.2695e-002	
25300.000000	3.2181e+001	-2.6478e-002	
25400.000000	3.1952e+001	-1.8913e-002	
25500.000000	3.2028e+001	-1.8913e-002	
25600.000000	3.2196e+001	-2.2695e-002	
25700.000000	3.2455e+001	-1.5130e-002	
25800.000000	3.2394e+001	-2.2695e-002	
25900.000000	3.2578e+001	-1.5130e-002	
26000.000000	3.2120e+001	-2.6478e-002	
26100.000000	3.1738e+001	-1.8913e-002	
26200.000000	3.1784e+001	-1.1348e-002	
26300.000000	3.1784e+001	-1.5130e-002	
26400.000000	3.2669e+001	-1.8913e-002	
26500.000000	3.2593e+001	-1.8913e-002	
26600.000000	3.2089e+001	-1.1348e-002	
26700.000000	3.1464e+001	-1.5130e-002	
26800.000000	3.1326e+001	-1.5130e-002	
26900.000000	3.2028e+001	-2.2695e-002	
27000.000000	3.2486e+001	-1.5130e-002	
27100.000000	3.2272e+001	-2.2695e-002	
27200.000000	3.1784e+001	-7.5652e-003	
27300.000000	3.1357e+001	-1.8913e-002	
27400.000000	3.1586e+001	-1.5130e-002	
27500.000000	3.2135e+001	-2.2695e-002	
27600.000000	3.2043e+001	-1.8913e-002	
27700.000000	3.2089e+001	-3.0261e-002	
27800.000000	3.1708e+001	-1.8913e-002	
27900.000000	3.1357e+001	-1.5130e-002	
28000.000000	3.1601e+001	-2.2695e-002	
28100.000000	3.1586e+001	-1.8913e-002	
28200.000000	3.1830e+001	-1.5130e-002	
