sys1_isoPla_0005.rec ( 5993 Echant/voies ) Période acquisition :100ms
Date :03/07/2023 17:17:47
Temps	y[°C]	u[V]	
0,000000	2,2507e+001	-3,4043e-002	
100,000000	2,3117e+001	-2,6478e-002	
200,000000	2,3178e+001	-3,0261e-002	
300,000000	2,2522e+001	-3,4043e-002	
400,000000	2,2614e+001	-3,0261e-002	
500,000000	2,3132e+001	-3,0261e-002	
600,000000	2,3178e+001	-3,0261e-002	
700,000000	2,2675e+001	-2,2695e-002	
800,000000	2,2522e+001	-3,4043e-002	
900,000000	2,3132e+001	-3,4043e-002	
1000,000000	2,3483e+001	-3,0261e-002	
1100,000000	2,3010e+001	-3,0261e-002	
1200,000000	2,2659e+001	-2,6478e-002	
1300,000000	2,3148e+001	-3,4043e-002	
1400,000000	2,3438e+001	-3,0261e-002	
1500,000000	2,2995e+001	-3,0261e-002	
1600,000000	2,2522e+001	-3,0261e-002	
1700,000000	2,2812e+001	-3,4043e-002	
1800,000000	2,3605e+001	-1,8913e-002	
1900,000000	2,3407e+001	-2,6478e-002	
2000,000000	2,2583e+001	-3,4043e-002	
2100,000000	2,2797e+001	-3,7826e-002	
2200,000000	2,3438e+001	-3,0261e-002	
2300,000000	2,3178e+001	-2,6478e-002	
2400,000000	2,2476e+001	-2,6478e-002	
2500,000000	2,3010e+001	-1,8913e-002	
2600,000000	2,3499e+001	-1,8913e-002	
2700,000000	2,2949e+001	-3,4043e-002	
2800,000000	2,2583e+001	-3,4043e-002	
2900,000000	2,3438e+001	-2,2695e-002	
3000,000000	2,3376e+001	-2,6478e-002	
3100,000000	2,2339e+001	-3,0261e-002	
3200,000000	2,3117e+001	-3,0261e-002	
3300,000000	2,3407e+001	-3,7826e-002	
3400,000000	2,2552e+001	-3,4043e-002	
3500,000000	2,2934e+001	-3,0261e-002	
3600,000000	2,3071e+001	-3,4043e-002	
3700,000000	2,3315e+001	-3,4043e-002	
3800,000000	2,2507e+001	-2,6478e-002	
3900,000000	2,2934e+001	-3,0261e-002	
4000,000000	2,3331e+001	-3,7826e-002	
4100,000000	2,3163e+001	-3,7826e-002	
4200,000000	2,2385e+001	-3,0261e-002	
4300,000000	2,2980e+001	-2,6478e-002	
4400,000000	2,3315e+001	-3,4043e-002	
4500,000000	2,3361e+001	-3,4043e-002	
4600,000000	2,2583e+001	-3,4043e-002	
4700,000000	2,2873e+001	-3,0261e-002	
4800,000000	2,3193e+001	-2,6478e-002	
4900,000000	2,3422e+001	-3,4043e-002	
5000,000000	2,2888e+001	-2,2695e-002	
5100,000000	2,2446e+001	-3,4043e-002	
5200,000000	2,3331e+001	-3,4043e-002	
5300,000000	2,3514e+001	-3,4043e-002	
5400,000000	2,2583e+001	-2,6478e-002	
5500,000000	2,2827e+001	-3,0261e-002	
5600,000000	2,3315e+001	-3,4043e-002	
5700,000000	2,3270e+001	-3,4043e-002	
5800,000000	2,2720e+001	-2,6478e-002	
5900,000000	2,2964e+001	-3,0261e-002	
6000,000000	2,3407e+001	-2,2695e-002	
6100,000000	2,2919e+001	-3,0261e-002	
6200,000000	2,2705e+001	-2,2695e-002	
6300,000000	2,3239e+001	-2,6478e-002	
6400,000000	2,3407e+001	-2,6478e-002	
6500,000000	2,2629e+001	-3,4043e-002	
6600,000000	2,2629e+001	-2,2695e-002	
6700,000000	2,3590e+001	-2,6478e-002	
6800,000000	2,3270e+001	-3,0261e-002	
6900,000000	2,2720e+001	-2,6478e-002	
7000,000000	2,3193e+001	-3,4043e-002	
7100,000000	2,3132e+001	-3,4043e-002	
7200,000000	2,2537e+001	-3,4043e-002	
7300,000000	2,3132e+001	-3,0261e-002	
7400,000000	2,3163e+001	-3,0261e-002	
7500,000000	2,2629e+001	-4,1608e-002	
7600,000000	2,3422e+001	-3,0261e-002	
7700,000000	2,3148e+001	-3,0261e-002	
7800,000000	2,2903e+001	-2,2695e-002	
7900,000000	2,3712e+001	-3,0261e-002	
8000,000000	2,2720e+001	-3,0261e-002	
8100,000000	2,3361e+001	-3,0261e-002	
8200,000000	2,3285e+001	-3,0261e-002	
8300,000000	2,2858e+001	-2,2695e-002	
8400,000000	2,3560e+001	-2,6478e-002	
8500,000000	2,2507e+001	-3,0261e-002	
8600,000000	2,3315e+001	-3,4043e-002	
8700,000000	2,2842e+001	-3,7826e-002	
8800,000000	2,2781e+001	-3,0261e-002	
8900,000000	2,3163e+001	-3,4043e-002	
9000,000000	2,2720e+001	-2,6478e-002	
9100,000000	2,3590e+001	-2,2695e-002	
9200,000000	2,2797e+001	-3,4043e-002	
9300,000000	2,3575e+001	-3,0261e-002	
9400,000000	2,2491e+001	-2,6478e-002	
9500,000000	2,3361e+001	-2,6478e-002	
9600,000000	2,2568e+001	-2,2695e-002	
9700,000000	2,3636e+001	-3,0261e-002	
9800,000000	2,2598e+001	-3,4043e-002	
9900,000000	2,3468e+001	-1,8913e-002	
10000,000000	2,2751e+001	-2,6478e-002	
10100,000000	2,3621e+001	-3,0261e-002	
10200,000000	2,2568e+001	-3,4043e-002	
10300,000000	2,3209e+001	-3,4043e-002	
10400,000000	2,2812e+001	-3,4043e-002	
10500,000000	2,3529e+001	-3,4043e-002	
10600,000000	2,2552e+001	-3,7826e-002	
10700,000000	2,3575e+001	-3,0261e-002	
10800,000000	2,2537e+001	-3,0261e-002	
10900,000000	2,3438e+001	-2,6478e-002	
11000,000000	2,2629e+001	-3,4043e-002	
11100,000000	2,3422e+001	-3,0261e-002	
11200,000000	2,2537e+001	-3,0261e-002	
11300,000000	2,3438e+001	-3,7826e-002	
11400,000000	2,2491e+001	-2,6478e-002	
11500,000000	2,3483e+001	-3,4043e-002	
11600,000000	2,2903e+001	-3,0261e-002	
11700,000000	2,3026e+001	-2,6478e-002	
11800,000000	2,3087e+001	-1,8913e-002	
11900,000000	2,2751e+001	-3,0261e-002	
12000,000000	2,3239e+001	-2,6478e-002	
12100,000000	2,2675e+001	-3,7826e-002	
12200,000000	2,3300e+001	-3,4043e-002	
12300,000000	2,2842e+001	-3,7826e-002	
12400,000000	2,3315e+001	-1,1348e-002	
12500,000000	2,2827e+001	-3,4043e-002	
12600,000000	2,3193e+001	-3,0261e-002	
12700,000000	2,2903e+001	-3,4043e-002	
12800,000000	2,3148e+001	-2,2695e-002	
12900,000000	2,3102e+001	-3,4043e-002	
13000,000000	2,2720e+001	-3,4043e-002	
13100,000000	2,3361e+001	-2,2695e-002	
13200,000000	2,2736e+001	-1,8913e-002	
13300,000000	2,3239e+001	-2,6478e-002	
13400,000000	2,2919e+001	-2,2695e-002	
13500,000000	2,3300e+001	-3,0261e-002	
13600,000000	2,2614e+001	-3,7826e-002	
13700,000000	2,3331e+001	-3,7826e-002	
13800,000000	2,2751e+001	-3,7826e-002	
13900,000000	2,3270e+001	-3,4043e-002	
14000,000000	2,2736e+001	-3,7826e-002	
14100,000000	2,3270e+001	-3,0261e-002	
14200,000000	2,2888e+001	-2,6478e-002	
14300,000000	2,3407e+001	-3,0261e-002	
14400,000000	2,2736e+001	-2,2695e-002	
14500,000000	2,3209e+001	-3,0261e-002	
14600,000000	2,2430e+001	-3,7826e-002	
14700,000000	2,3529e+001	-3,0261e-002	
14800,000000	2,2659e+001	-2,6478e-002	
14900,000000	2,3529e+001	-1,8913e-002	
15000,000000	2,2659e+001	-2,6478e-002	
15100,000000	2,3529e+001	-2,6478e-002	
15200,000000	2,2400e+001	-3,4043e-002	
15300,000000	2,3254e+001	-2,2695e-002	
15400,000000	2,2461e+001	-2,6478e-002	
15500,000000	2,3224e+001	-3,4043e-002	
15600,000000	2,2614e+001	-3,7826e-002	
15700,000000	2,2964e+001	-2,6478e-002	
15800,000000	2,2949e+001	-2,6478e-002	
15900,000000	2,2842e+001	-3,4043e-002	
16000,000000	2,3056e+001	-2,6478e-002	
16100,000000	2,2339e+001	-3,4043e-002	
16200,000000	2,3239e+001	-3,4043e-002	
16300,000000	2,2522e+001	-2,2695e-002	
16400,000000	2,3422e+001	-3,0261e-002	
16500,000000	2,2736e+001	-3,4043e-002	
16600,000000	2,3422e+001	-3,0261e-002	
16700,000000	2,3178e+001	-2,6478e-002	
16800,000000	2,3026e+001	-2,2695e-002	
16900,000000	2,3285e+001	-2,6478e-002	
17000,000000	2,2430e+001	-3,0261e-002	
17100,000000	2,3453e+001	-3,7826e-002	
17200,000000	2,2690e+001	-3,4043e-002	
17300,000000	2,3254e+001	-2,2695e-002	
17400,000000	2,3209e+001	-2,6478e-002	
17500,000000	2,2614e+001	-3,4043e-002	
17600,000000	2,3346e+001	-2,2695e-002	
17700,000000	2,2598e+001	-3,0261e-002	
17800,000000	2,3499e+001	-3,0261e-002	
17900,000000	2,3132e+001	-3,4043e-002	
18000,000000	2,2446e+001	-3,4043e-002	
18100,000000	2,3575e+001	-3,0261e-002	
18200,000000	2,2781e+001	-2,6478e-002	
18300,000000	2,3178e+001	-3,0261e-002	
18400,000000	2,3056e+001	-3,0261e-002	
18500,000000	2,3087e+001	-3,0261e-002	
18600,000000	2,3392e+001	-3,7826e-002	
18700,000000	2,2644e+001	-3,7826e-002	
18800,000000	2,3300e+001	-2,6478e-002	
18900,000000	2,2888e+001	-3,4043e-002	
19000,000000	2,2812e+001	-2,6478e-002	
19100,000000	2,3376e+001	-2,6478e-002	
19200,000000	2,2842e+001	-2,6478e-002	
19300,000000	2,2995e+001	-2,6478e-002	
19400,000000	2,3544e+001	-2,6478e-002	
19500,000000	2,2720e+001	-3,4043e-002	
19600,000000	2,2934e+001	-3,0261e-002	
19700,000000	2,3666e+001	-3,0261e-002	
19800,000000	2,2491e+001	-3,0261e-002	
19900,000000	2,3148e+001	-2,6478e-002	
20000,000000	2,3544e+001	-3,4043e-002	
20100,000000	2,2766e+001	-2,6478e-002	
20200,000000	2,2903e+001	-2,2695e-002	
20300,000000	2,3346e+001	-4,1608e-002	
20400,000000	2,2980e+001	-3,4043e-002	
20500,000000	2,2583e+001	-3,0261e-002	
20600,000000	2,3392e+001	-2,6478e-002	
20700,000000	2,3315e+001	-2,6478e-002	
20800,000000	2,2522e+001	-3,4043e-002	
20900,000000	2,3148e+001	-3,4043e-002	
21000,000000	2,3422e+001	-2,6478e-002	
21100,000000	2,2797e+001	-3,4043e-002	
21200,000000	2,2781e+001	-3,4043e-002	
21300,000000	2,3361e+001	-3,0261e-002	
21400,000000	2,3239e+001	-3,0261e-002	
21500,000000	2,2659e+001	-3,0261e-002	
21600,000000	2,3193e+001	-3,7826e-002	
21700,000000	2,3453e+001	-3,0261e-002	
21800,000000	2,3911e+001	-3,4043e-002	
21900,000000	2,2705e+001	-3,0261e-002	
22000,000000	2,3193e+001	-3,4043e-002	
