t,   y,   u
0.000000,   23.009949,   -0.023193
357.000000,   22.552185,   -0.030518
505.000000,   23.437195,   -0.026855
622.000000,   23.345642,   -0.034180
859.000000,   22.521667,   -0.034180
1095.000000,   22.857361,   -0.026855
1411.000000,   23.086243,   -0.023193
1672.000000,   23.055725,   -0.030518
2002.000000,   22.628479,   -0.026855
2335.000000,   22.491150,   -0.030518
2617.000000,   23.254089,   -0.023193
2915.000000,   22.720032,   -0.030518
3237.000000,   23.254089,   -0.026855
3539.000000,   22.796326,   -0.026855
3815.000000,   22.628479,   -0.034180
4144.000000,   22.918396,   -0.034180
4413.000000,   23.437195,   -0.034180
4729.000000,   22.704773,   -0.023193
5011.000000,   22.491150,   -0.019531
5347.000000,   23.147278,   -0.034180
5591.000000,   22.979431,   -0.037842
5910.000000,   22.491150,   -0.042725
6237.000000,   23.040466,   -0.023193
6494.000000,   23.345642,   -0.026855
6823.000000,   22.750549,   -0.030518
7134.000000,   22.887878,   -0.030518
7404.000000,   23.437195,   -0.023193
7721.000000,   22.826843,   -0.030518
8035.000000,   23.544006,   -0.026855
8288.000000,   22.628479,   -0.030518
8622.000000,   22.994690,   -0.034180
8938.000000,   23.513489,   -0.026855
9221.000000,   23.025208,   -0.023193
9535.000000,   23.116760,   -0.026855
9812.000000,   23.025208,   -0.042725
10112.000000,   23.330383,   -0.019531
10443.000000,   23.132019,   -0.034180
10741.000000,   22.582703,   -0.030518
11052.000000,   22.750549,   -0.034180
11307.000000,   23.238831,   -0.026855
11644.000000,   23.345642,   -0.026855
11875.000000,   22.704773,   -0.026855
12189.000000,   23.101501,   -0.034180
12453.000000,   23.406677,   -0.030518
12767.000000,   22.414856,   -0.037842
13114.000000,   23.391418,   -0.037842
13411.000000,   22.918396,   -0.030518
13697.000000,   23.467712,   -0.026855
14012.000000,   22.704773,   -0.034180
14267.000000,   23.345642,   -0.023193
14577.000000,   23.650818,   -0.030518
14861.000000,   22.811584,   -0.030518
15175.000000,   23.315125,   -0.026855
15497.000000,   22.430115,   -0.026855
15772.000000,   22.948914,   -0.030518
16094.000000,   23.452454,   -0.026855
16344.000000,   22.689514,   -0.037842
16580.000000,   23.284607,   -0.030518
16897.000000,   23.544006,   -0.030518
17161.000000,   22.994690,   -0.037842
17549.000000,   22.826843,   -0.030518
17800.000000,   23.315125,   -0.034180
18116.000000,   22.842102,   -0.034180
18372.000000,   22.674255,   -0.030518
18706.000000,   23.391418,   -0.030518
19032.000000,   23.040466,   -0.026855
19277.000000,   23.437195,   -0.030518
19609.000000,   23.498230,   -0.019531
19928.000000,   22.872620,   -0.026855
20155.000000,   22.887878,   -0.034180
20477.000000,   23.269348,   -0.030518
20747.000000,   23.605042,   -0.026855
21045.000000,   23.086243,   -0.034180
21362.000000,   22.918396,   -0.030518
21903.000000,   23.574524,   -0.034180
22171.000000,   23.574524,   -0.023193
22411.000000,   22.735291,   -0.037842
22656.000000,   22.613220,   -0.034180
22989.000000,   22.811584,   -0.030518
23216.000000,   22.826843,   -0.034180
23524.000000,   22.948914,   -0.030518
23812.000000,   23.269348,   -0.037842
24056.000000,   22.872620,   -0.030518
24335.000000,   22.796326,   -0.034180
24580.000000,   23.132019,   -0.015869
24857.000000,   23.666077,   -0.026855
25096.000000,   23.589783,   -0.030518
25371.000000,   22.903137,   -0.034180
25627.000000,   22.750549,   -0.037842
25925.000000,   22.872620,   -0.030518
26233.000000,   23.330383,   -0.034180
26475.000000,   23.238831,   -0.026855
26716.000000,   22.597961,   -0.034180
26978.000000,   22.750549,   -0.030518
27264.000000,   22.720032,   -0.023193
27516.000000,   22.704773,   -0.034180
27846.000000,   22.781067,   -0.030518
28410.000000,   23.544006,   -0.023193
28662.000000,   22.628479,   -0.030518
28971.000000,   23.132019,   -0.042725
29261.000000,   23.009949,   -0.030518
29567.000000,   22.964172,   -0.034180
29881.000000,   23.162537,   -0.030518
30158.000000,   22.765808,   -0.026855
30483.000000,   23.223572,   -0.037842
30716.000000,   23.116760,   -0.026855
30956.000000,   22.689514,   -0.034180
31240.000000,   22.552185,   -0.030518
31498.000000,   22.491150,   -0.037842
31825.000000,   23.544006,   -0.034180
32078.000000,   23.009949,   -0.030518
32391.000000,   22.842102,   -0.026855
32692.000000,   22.552185,   -0.030518
33003.000000,   22.628479,   -0.030518
33322.000000,   22.445374,   -0.026855
33619.000000,   22.933655,   -0.034180
33901.000000,   23.498230,   -0.026855
34188.000000,   23.391418,   -0.042725
34436.000000,   23.345642,   -0.037842
34773.000000,   23.177795,   -0.030518
35063.000000,   22.430115,   -0.030518
35611.000000,   22.445374,   -0.034180
35867.000000,   22.735291,   -0.037842
36177.000000,   22.781067,   -0.030518
36460.000000,   23.101501,   -0.034180
36772.000000,   22.720032,   -0.030518
37111.000000,   23.315125,   -0.034180
37370.000000,   22.750549,   -0.034180
37681.000000,   22.369080,   -0.023193
38021.000000,   22.979431,   -0.034180
38344.000000,   23.208313,   -0.026855
38616.000000,   23.452454,   -0.030518
38863.000000,   22.597961,   -0.030518
39095.000000,   23.635559,   -0.026855
39421.000000,   23.406677,   -0.019531
39676.000000,   22.704773,   -0.037842
40017.000000,   23.605042,   59.768066
40312.000000,   23.391418,   59.764404
40603.000000,   23.223572,   59.757080
40918.000000,   23.254089,   59.764404
41177.000000,   23.666077,   59.764404
41507.000000,   23.727112,   59.771729
41831.000000,   23.849182,   59.764404
42076.000000,   23.284607,   59.760742
42624.000000,   23.986511,   59.768066
42875.000000,   24.139099,   59.764404
43157.000000,   23.360901,   59.768066
43418.000000,   24.841003,   59.760742
43730.000000,   24.627380,   59.757080
44020.000000,   24.459534,   59.768066
44330.000000,   25.161438,   59.768066
44604.000000,   25.207214,   59.760742
44910.000000,   25.344543,   59.757080
45225.000000,   24.963074,   59.764404
45479.000000,   25.558167,   59.768066
45797.000000,   25.161438,   59.757080
46078.000000,   26.092224,   59.760742
46410.000000,   25.603943,   59.764404
46726.000000,   26.443176,   59.764404
47041.000000,   26.000671,   59.764404
47322.000000,   25.893860,   59.760742
47638.000000,   26.824646,   59.760742
47898.000000,   26.260071,   59.760742
48227.000000,   27.084045,   59.764404
48480.000000,   26.748352,   59.760742
48807.000000,   27.145081,   59.768066
49114.000000,   26.534729,   59.757080
49402.000000,   26.839905,   59.757080
49712.000000,   26.931458,   59.760742
49971.000000,   27.267151,   59.764404
50311.000000,   27.312927,   59.764404
50621.000000,   28.045349,   59.764404
50901.000000,   27.480774,   59.760742
51225.000000,   28.518372,   59.757080
51474.000000,   27.389221,   59.760742
51822.000000,   28.564148,   59.757080
52159.000000,   28.106384,   59.764404
52396.000000,   28.442078,   59.760742
52708.000000,   28.884583,   59.768066
52959.000000,   28.808289,   59.757080
53276.000000,   28.121643,   59.764404
53597.000000,   28.426819,   59.760742
53893.000000,   29.159241,   59.760742
54075.000000,   28.793030,   59.768066
54332.000000,   29.174500,   59.757080
54657.000000,   29.510193,   59.760742
54972.000000,   29.205017,   59.764404
55272.000000,   28.915100,   59.764404
55552.000000,   29.311829,   59.764404
55868.000000,   30.196838,   59.764404
56117.000000,   29.845886,   59.771729
56356.000000,   30.196838,   59.768066
56667.000000,   30.151062,   59.760742
56922.000000,   30.303650,   59.768066
57401.000000,   30.547791,   59.764404
57635.000000,   29.800110,   59.771729
57943.000000,   30.761414,   59.764404
58217.000000,   30.364685,   59.757080
58511.000000,   30.395203,   59.760742
58799.000000,   31.051331,   59.760742
59339.000000,   31.112366,   59.771729
59593.000000,   31.112366,   59.760742
59871.000000,   31.127625,   2.303467
60127.000000,   30.837708,   -0.019531
60458.000000,   31.081848,   -0.042725
60776.000000,   31.066589,   -0.030518
61051.000000,   31.554871,   -0.034180
61333.000000,   31.112366,   -0.030518
61650.000000,   30.944519,   -0.023193
61887.000000,   31.585388,   -0.030518
62188.000000,   31.142883,   -0.037842
62444.000000,   30.929260,   -0.030518
62679.000000,   30.837708,   -0.034180
62966.000000,   30.517273,   -0.034180
63195.000000,   31.203918,   -0.034180
63506.000000,   30.761414,   -0.023193
63761.000000,   29.983215,   -0.026855
64086.000000,   30.349426,   -0.026855
64339.000000,   30.074768,   -0.034180
64622.000000,   30.517273,   -0.026855
64949.000000,   30.563049,   -0.034180
65211.000000,   29.586487,   -0.037842
65515.000000,   29.693298,   -0.037842
65796.000000,   29.906921,   -0.026855
66112.000000,   29.510193,   -0.030518
66389.000000,   29.845886,   -0.019531
66696.000000,   30.074768,   -0.023193
67006.000000,   30.105286,   -0.037842
67332.000000,   29.647522,   -0.037842
67557.000000,   29.372864,   -0.026855
67818.000000,   29.555969,   -0.034180
68132.000000,   29.647522,   -0.034180
68404.000000,   30.044250,   -0.030518
68731.000000,   30.105286,   -0.034180
69030.000000,   29.037170,   -0.030518
69333.000000,   29.754333,   -0.023193
69621.000000,   29.769592,   -0.030518
69877.000000,   29.967957,   -0.034180
70187.000000,   29.784851,   -0.023193
70478.000000,   29.510193,   -0.023193
70774.000000,   29.205017,   -0.023193
71099.000000,   29.510193,   -0.037842
71368.000000,   29.555969,   -0.034180
71679.000000,   28.930359,   -0.034180
71990.000000,   28.731995,   -0.037842
72255.000000,   29.784851,   -0.042725
72579.000000,   29.449158,   -0.030518
72860.000000,   28.731995,   -0.034180
73162.000000,   29.586487,   -0.034180
73378.000000,   28.945618,   -0.034180
73629.000000,   29.525452,   -0.030518
73930.000000,   29.266052,   -0.034180
74215.000000,   29.418640,   -0.023193
74540.000000,   28.777771,   -0.037842
74800.000000,   29.296570,   -0.037842
75093.000000,   29.281311,   -0.034180
75378.000000,   28.976135,   -0.034180
75690.000000,   29.143982,   -0.026855
76000.000000,   29.464417,   -0.042725
76489.000000,   28.991394,   -0.034180
76596.000000,   29.082947,   -0.034180
76879.000000,   28.487854,   -0.042725
77138.000000,   29.205017,   -0.037842
