t,   y,   u
0.000000,   -0.044830,   39.954834,   0.010880
418.000000,   -0.055893,   39.958496,   0.014240
512.000000,   -0.018051,   39.951172,   0.017072
865.000000,   -0.053070,   39.954834,   0.031025
1210.000000,   -0.009048,   39.951172,   0.035969
1506.000000,   -0.057266,   39.958496,   0.039927
1797.000000,   -0.046356,   39.958496,   0.043183
2089.000000,   -0.005615,   39.951172,   0.045472
2341.000000,   -0.036590,   39.958496,   0.047724
2632.000000,   -0.016907,   39.954834,   0.049393
2882.000000,   0.001709,   39.958496,   0.051035
3170.000000,   -0.051849,   39.951172,   0.052274
3423.000000,   0.008957,   39.947510,   0.053495
3971.000000,   0.011093,   39.958496,   0.054603
4009.000000,   0.022156,   39.958496,   0.055417
4272.000000,   -0.038116,   39.962158,   0.056290
4568.000000,   0.007965,   39.954834,   0.057023
4879.000000,   0.017349,   39.954834,   0.057773
5225.000000,   0.011475,   39.951172,   0.058317
5520.000000,   0.019867,   39.954834,   0.058814
5786.000000,   -0.012634,   39.954834,   0.059321
6130.000000,   0.026581,   39.962158,   0.059760
6450.000000,   -0.004623,   39.947510,   0.060071
6701.000000,   0.053360,   39.947510,   0.060428
7190.000000,   -0.021484,   39.954834,   0.060728
7241.000000,   -0.014389,   39.947510,   0.061008
7534.000000,   0.037262,   39.962158,   0.061234
7824.000000,   0.032684,   39.951172,   0.061497
8122.000000,   0.036118,   39.958496,   0.061686
8386.000000,   0.024292,   39.954834,   0.061948
8710.000000,   0.056412,   39.947510,   0.062153
9051.000000,   0.010864,   39.943848,   0.062351
9318.000000,   0.016434,   39.958496,   0.062528
9645.000000,   0.050079,   39.962158,   0.062678
9916.000000,   0.029633,   -0.136719,   0.059760
10208.000000,   0.008728,   -0.026855,   0.050071
10494.000000,   0.063278,   -0.023193,   0.042219
10784.000000,   0.042450,   -0.026855,   0.036289
11046.000000,   0.049317,   -0.015869,   0.030189
11386.000000,   0.067474,   -0.019531,   0.026429
11646.000000,   0.070755,   -0.030518,   0.022825
11940.000000,   0.028259,   -0.023193,   0.019993
12228.000000,   0.062363,   -0.019531,   0.017750
12490.000000,   0.039932,   -0.015869,   0.015497
12813.000000,   0.037110,   -0.015869,   0.013535
13158.000000,   0.059845,   -0.019531,   0.010938
13743.000000,   0.073425,   -0.019531,   0.009766
14066.000000,   0.069992,   -0.019531,   0.009043
14329.000000,   0.068619,   -0.026855,   0.008124
14651.000000,   0.067703,   -0.015869,   0.007542
14903.000000,   0.049317,   -0.019531,   0.006998
