sys1_isoPla_0004.rec ( 6091 Echant/voies ) Période acquisition :100ms
Date :24/07/2023 12:30:12
Temps	y_back[V]	u[V]	phi[V]	y_front[V]	
0,000000	-8,6286e-005	-2,6478e-002	-1,5949e-004	-4,3621e-005	
100,000000	-9,1452e-005	-2,2695e-002	-1,8764e-004	-8,2460e-005	
200,000000	-3,6351e-005	-4,1608e-002	-1,4073e-004	-6,7728e-005	
300,000000	-8,5712e-005	-1,8913e-002	-1,5011e-004	-6,0840e-005	
400,000000	-8,7817e-005	-1,8913e-002	-1,7826e-004	-6,1988e-005	
500,000000	-3,4821e-005	-2,6478e-002	-1,4073e-004	-6,6389e-005	
600,000000	-7,4233e-005	-3,0261e-002	-1,2196e-004	-8,1694e-005	
700,000000	-5,7205e-005	-2,2695e-002	-2,0640e-004	-3,9221e-005	
800,000000	-4,8787e-005	-3,0261e-002	-1,2196e-004	-8,5712e-005	
900,000000	-5,3187e-005	-2,6478e-002	-1,6887e-004	-8,3034e-005	
1000,000000	-7,0980e-005	-1,5130e-002	-1,7826e-004	-3,2716e-005	
1100,000000	-6,9641e-005	-1,8913e-002	-1,5949e-004	-8,5521e-005	
1200,000000	-4,2473e-005	-2,2695e-002	-1,5011e-004	-7,0406e-005	
1300,000000	-8,2077e-005	-2,2695e-002	-1,5011e-004	-6,1223e-005	
1400,000000	-4,5726e-005	-2,6478e-002	-2,0640e-004	-5,4144e-005	
1500,000000	-4,4004e-005	-3,0261e-002	-1,5011e-004	-7,2128e-005	
1600,000000	-6,4284e-005	-1,8913e-002	-1,6887e-004	-9,1643e-005	
1700,000000	-7,0215e-005	-1,8913e-002	-2,0640e-004	-3,4438e-005	
1800,000000	-5,7396e-005	-1,8913e-002	-1,3135e-004	-8,7051e-005	
1900,000000	-4,6874e-005	-1,8913e-002	-1,5011e-004	-8,0546e-005	
2000,000000	-9,2217e-005	-3,0261e-002	-1,5011e-004	-4,1517e-005	
2100,000000	-3,4247e-005	-1,1348e-002	-1,7826e-004	-6,1606e-005	
2200,000000	-4,4769e-005	-2,2695e-002	-1,2196e-004	-8,0164e-005	
2300,000000	-7,1746e-005	-2,2695e-002	-1,8764e-004	-7,9016e-005	
2400,000000	-5,6249e-005	-1,8913e-002	-1,5011e-004	-4,1899e-005	
2500,000000	-5,2231e-005	-1,8913e-002	-1,3135e-004	-9,1452e-005	
2600,000000	-4,1708e-005	-2,6478e-002	-1,7826e-004	-8,1312e-005	
2700,000000	-7,6720e-005	-2,2695e-002	-1,5011e-004	-5,1657e-005	
2800,000000	-3,3864e-005	-3,4043e-002	-1,8764e-004	-5,7970e-005	
2900,000000	-4,0178e-005	-2,2695e-002	-1,4073e-004	-8,0164e-005	
3000,000000	-7,9781e-005	-1,8913e-002	-1,6887e-004	-7,7677e-005	
3100,000000	-6,0840e-005	-1,8913e-002	-1,8764e-004	-2,9655e-005	
3200,000000	-3,9795e-005	-1,8913e-002	-1,4073e-004	-9,2217e-005	
3300,000000	-4,6874e-005	-2,2695e-002	-1,5949e-004	-7,2128e-005	
3400,000000	-8,0929e-005	-3,0261e-002	-1,4073e-004	-3,9986e-005	
3500,000000	-1,8558e-005	-1,8913e-002	-1,5949e-004	-6,9832e-005	
3600,000000	-4,8404e-005	-1,8913e-002	-1,5949e-004	-6,6963e-005	
3700,000000	-7,1172e-005	-3,0261e-002	-1,7826e-004	-8,2268e-005	
3800,000000	-4,7830e-005	-2,2695e-002	-1,8764e-004	-5,5675e-005	
3900,000000	-6,3136e-005	-2,6478e-002	-1,4073e-004	-9,1452e-005	
4000,000000	-4,9552e-005	-2,2695e-002	-1,7826e-004	-9,5087e-005	
4100,000000	-8,2842e-005	-3,0261e-002	-1,6887e-004	-4,6874e-005	
4200,000000	-3,9604e-005	-2,2695e-002	-1,8764e-004	-6,9067e-005	
4300,000000	-4,3621e-005	-3,0261e-002	-1,5011e-004	-6,8302e-005	
4400,000000	-9,2408e-005	-3,0261e-002	-1,5949e-004	-7,2511e-005	
4500,000000	-5,7970e-005	-1,8913e-002	-2,1578e-004	-4,1325e-005	
4600,000000	-3,6925e-005	-3,0261e-002	-1,3135e-004	-8,7434e-005	
