sys1_isoBas_0005.rec ( 6101 Echant/voies ) Période acquisition :100ms
Date :25/07/2023 15:45:18
Temps	y_back[V]	u[V]	phi[V]	y_front[V]	
0,000000	1,6836e-005	-3,7826e-002	-6,8293e-005	-1,7984e-005	
100,000000	8,6095e-006	-3,7826e-002	-6,4499e-005	-1,0331e-005	
200,000000	1,7984e-005	-3,4043e-002	-1,0623e-004	1,6836e-005	
300,000000	-5,9310e-006	-3,7826e-002	-1,3279e-004	-7,8442e-006	
400,000000	-1,7793e-005	-3,0261e-002	-1,0623e-004	8,9921e-006	
500,000000	-7,8442e-006	-3,7826e-002	-1,2520e-004	2,7933e-005	
600,000000	-2,3341e-005	-3,0261e-002	-1,3279e-004	1,1862e-005	
700,000000	-3,5777e-005	-2,6478e-002	-1,2141e-004	1,6262e-005	
800,000000	-1,2627e-005	-3,7826e-002	-1,1003e-004	4,2091e-006	
900,000000	-2,6594e-005	-3,7826e-002	-9,1057e-005	-7,4615e-006	
1000,000000	5,7396e-007	-3,0261e-002	-9,1057e-005	-2,5254e-005	
1100,000000	1,9706e-005	-3,7826e-002	-9,1057e-005	-2,7359e-005	
1200,000000	8,2268e-006	-3,4043e-002	-9,1057e-005	-3,2333e-005	
1300,000000	1,9515e-005	-3,7826e-002	-9,8646e-005	-1,8941e-005	
1400,000000	-4,7830e-006	-2,2695e-002	-6,8293e-005	-5,1657e-006	
1500,000000	-1,7219e-005	-3,0261e-002	-1,0244e-004	5,7396e-006	
1600,000000	-1,2053e-005	-3,4043e-002	-1,1382e-004	2,4489e-005	
1700,000000	-1,8750e-005	-2,6478e-002	-1,1003e-004	1,8176e-005	
1800,000000	-8,8008e-006	-3,7826e-002	-1,2141e-004	4,9744e-006	
1900,000000	-2,0471e-005	-3,4043e-002	-9,8646e-005	-1,8558e-005	
2000,000000	1,3393e-005	-3,4043e-002	-6,8293e-005	-2,2193e-005	
2100,000000	1,9897e-005	-3,4043e-002	-6,8293e-005	-2,5446e-005	
2200,000000	1,2436e-005	-3,4043e-002	-9,8646e-005	-1,1862e-005	
2300,000000	9,1834e-006	-2,6478e-002	-9,4851e-005	2,3341e-005	
2400,000000	-4,2091e-006	-3,4043e-002	-1,0244e-004	1,6262e-005	
2500,000000	-2,8698e-005	-3,7826e-002	-1,0623e-004	2,9272e-005	
2600,000000	-2,3150e-005	-4,1608e-002	-9,1057e-005	-4,9744e-006	
2700,000000	-9,5661e-006	-4,1608e-002	-8,7263e-005	-2,4872e-006	
2800,000000	9,1834e-006	-3,4043e-002	-6,8293e-005	-2,6402e-005	
2900,000000	1,7219e-005	-3,4043e-002	-7,5881e-005	-2,8124e-005	
3000,000000	1,5880e-005	-3,7826e-002	-1,1003e-004	1,3966e-005	
3100,000000	-6,1223e-006	-3,4043e-002	-1,1382e-004	1,4349e-005	
3200,000000	-3,6925e-005	-3,4043e-002	-1,1762e-004	2,4489e-005	
3300,000000	-3,2907e-005	-3,4043e-002	-1,1762e-004	-1,3393e-005	
3400,000000	-4,9744e-006	-4,1608e-002	-8,7263e-005	-1,4540e-005	
3500,000000	2,7742e-005	-3,0261e-002	-6,8293e-005	-3,5968e-005	
3600,000000	9,3748e-006	-2,6478e-002	-1,0244e-004	-1,2053e-005	
3700,000000	-1,9132e-007	-4,1608e-002	-1,1382e-004	1,7793e-005	
3800,000000	-1,8367e-005	-4,1608e-002	-1,1003e-004	2,1619e-005	
3900,000000	-2,1811e-005	-3,7826e-002	-1,1382e-004	2,2959e-006	
4000,000000	-1,7028e-005	-3,0261e-002	-9,1057e-005	-3,2907e-005	
4100,000000	2,5446e-005	-3,4043e-002	-1,0244e-004	-3,0611e-005	
4200,000000	-1,7219e-006	-3,4043e-002	-8,7263e-005	-1,2053e-005	
4300,000000	-2,3341e-005	-3,4043e-002	-1,4417e-004	1,7793e-005	
4400,000000	-3,1185e-005	-3,4043e-002	-9,8646e-005	-1,0905e-005	
4500,000000	1,1288e-005	-3,7826e-002	-7,2087e-005	-2,3724e-005	
4600,000000	3,4438e-006	-3,0261e-002	-6,4499e-005	-1,8367e-005	
4700,000000	1,9132e-006	-2,6478e-002	-1,1382e-004	8,0355e-006	
4800,000000	-3,2907e-005	-3,7826e-002	-1,1382e-004	2,2767e-005	
4900,000000	1,7602e-005	-3,4043e-002	-1,0244e-004	-2,2767e-005	
5000,000000	2,0280e-005	-3,4043e-002	-6,8293e-005	-1,3201e-005	
5100,000000	7,8442e-006	-3,7826e-002	-1,0623e-004	2,1811e-005	
5200,000000	-3,1185e-005	-3,0261e-002	-1,1382e-004	1,8367e-005	
5300,000000	1,1479e-006	-3,4043e-002	-8,7263e-005	-1,0714e-005	
5400,000000	1,8176e-005	-3,4043e-002	-8,3469e-005	-1,8941e-005	
5500,000000	-9,7574e-006	-3,4043e-002	-1,2520e-004	7,6529e-006	
5600,000000	-7,6529e-006	-3,0261e-002	-1,1003e-004	1,4732e-005	
5700,000000	2,6785e-005	-3,7826e-002	-7,5881e-005	-3,1951e-005	
