steady_state0003.rec ( 3790 Echant/voies ) Période acquisition :5s
Date :7/13/2023 9:31:43 AM
Temps	y[V]	u[V]	phi[V]	
0.000000	1.6262e-005	-3.7826e-002	-1.3135e-004	
5000.000000	-1.3010e-005	-3.7826e-002	-1.3135e-004	
10000.000000	-2.9272e-005	-3.4043e-002	-1.3135e-004	
15000.000000	2.4872e-006	-4.1608e-002	-1.5949e-004	
20000.000000	-2.9655e-005	-3.7826e-002	-1.0320e-004	
25000.000000	-1.3966e-005	-3.0261e-002	-1.3135e-004	
30000.000000	1.7602e-005	-3.4043e-002	-1.4073e-004	
35000.000000	2.3150e-005	-3.7826e-002	-1.1258e-004	
40000.000000	1.0523e-005	1.9964e+001	1.2328e-002	
45000.000000	2.2576e-005	1.9972e+001	1.6887e-002	
50000.000000	1.8941e-005	1.9961e+001	1.8257e-002	
55000.000000	3.3481e-005	1.9961e+001	1.8886e-002	
60000.000000	4.4195e-005	1.9968e+001	1.9289e-002	
65000.000000	1.7410e-005	1.9964e+001	1.9552e-002	
70000.000000	1.6071e-005	1.9968e+001	1.9758e-002	
75000.000000	6.4284e-005	1.9964e+001	1.9918e-002	
80000.000000	2.6976e-005	1.9964e+001	2.0002e-002	
85000.000000	6.6771e-005	1.9961e+001	2.0068e-002	
90000.000000	4.3813e-005	1.9964e+001	2.0162e-002	
95000.000000	7.4233e-005	1.9961e+001	2.0209e-002	
100000.000000	1.0274e-004	1.9972e+001	2.0246e-002	
105000.000000	9.5852e-005	1.9972e+001	2.0274e-002	
110000.000000	6.4667e-005	1.9968e+001	2.0312e-002	
115000.000000	8.8199e-005	1.9968e+001	2.0349e-002	
120000.000000	1.1556e-004	1.9957e+001	2.0359e-002	
125000.000000	1.2092e-004	1.9957e+001	2.0396e-002	
130000.000000	1.3106e-004	1.9961e+001	2.0387e-002	
135000.000000	1.2914e-004	1.9964e+001	2.0378e-002	
140000.000000	1.1058e-004	1.9961e+001	2.0424e-002	
145000.000000	1.1556e-004	1.9972e+001	2.0368e-002	
150000.000000	1.3201e-004	1.9961e+001	2.0434e-002	
155000.000000	1.1938e-004	1.9961e+001	2.0415e-002	
160000.000000	1.1862e-004	1.9964e+001	2.0424e-002	
165000.000000	1.2512e-004	1.9957e+001	2.0415e-002	
170000.000000	1.3699e-004	1.9961e+001	2.0415e-002	
175000.000000	1.5267e-004	1.9972e+001	2.0415e-002	
180000.000000	1.3947e-004	1.9961e+001	2.0406e-002	
185000.000000	2.0223e-004	1.9968e+001	2.0406e-002	
190000.000000	1.6396e-004	1.9972e+001	2.0424e-002	
195000.000000	1.9955e-004	1.9964e+001	2.0406e-002	
200000.000000	1.8290e-004	1.9957e+001	2.0368e-002	
205000.000000	2.1734e-004	1.9961e+001	2.0415e-002	
210000.000000	2.3054e-004	1.9961e+001	2.0396e-002	
215000.000000	1.9572e-004	1.9957e+001	2.0378e-002	
220000.000000	1.9419e-004	1.9957e+001	2.0368e-002	
225000.000000	2.2117e-004	1.9957e+001	2.0387e-002	
230000.000000	2.2308e-004	1.9964e+001	2.0378e-002	
235000.000000	2.1887e-004	1.9957e+001	2.0378e-002	
240000.000000	2.2327e-004	1.9964e+001	2.0321e-002	
245000.000000	2.4432e-004	1.9957e+001	2.0340e-002	
250000.000000	2.3322e-004	1.9961e+001	2.0312e-002	
255000.000000	2.7856e-004	1.9961e+001	2.0359e-002	
260000.000000	2.4508e-004	1.9964e+001	2.0349e-002	
265000.000000	2.7627e-004	1.9957e+001	2.0312e-002	
270000.000000	2.5178e-004	1.9957e+001	2.0293e-002	
275000.000000	3.0765e-004	1.9961e+001	2.0312e-002	
280000.000000	2.9062e-004	1.9953e+001	2.0312e-002	
285000.000000	3.1415e-004	1.9942e+001	2.0340e-002	
290000.000000	2.9310e-004	1.9953e+001	2.0274e-002	
295000.000000	3.1893e-004	1.9961e+001	2.0265e-002	
300000.000000	3.3347e-004	1.9961e+001	2.0284e-002	
305000.000000	3.2926e-004	1.9957e+001	2.0256e-002	
310000.000000	3.3500e-004	1.9953e+001	2.0246e-002	
315000.000000	3.4361e-004	1.9964e+001	2.0246e-002	
320000.000000	3.3634e-004	1.9957e+001	2.0237e-002	
325000.000000	3.2180e-004	1.9961e+001	2.0237e-002	
330000.000000	3.6007e-004	1.9961e+001	2.0293e-002	
335000.000000	3.4017e-004	1.9957e+001	2.0190e-002	
340000.000000	3.3213e-004	1.9964e+001	2.0199e-002	
345000.000000	3.8685e-004	1.9961e+001	2.0209e-002	
350000.000000	3.8437e-004	1.9961e+001	2.0190e-002	
355000.000000	3.8475e-004	1.9953e+001	2.0190e-002	
360000.000000	3.5471e-004	1.9961e+001	2.0162e-002	
365000.000000	3.8857e-004	1.9968e+001	2.0162e-002	
370000.000000	4.0579e-004	1.9961e+001	2.0171e-002	
375000.000000	3.8934e-004	1.9961e+001	2.0143e-002	
380000.000000	3.9718e-004	1.9961e+001	2.0124e-002	
385000.000000	4.0847e-004	1.9961e+001	2.0162e-002	
390000.000000	4.1708e-004	1.9961e+001	2.0143e-002	
395000.000000	4.3908e-004	1.9949e+001	2.0124e-002	
400000.000000	4.4138e-004	1.9961e+001	2.0115e-002	
405000.000000	4.5075e-004	1.9961e+001	2.0105e-002	
410000.000000	4.4214e-004	1.9957e+001	2.0087e-002	
415000.000000	4.1459e-004	1.9964e+001	2.0068e-002	
420000.000000	4.3908e-004	1.9953e+001	2.0087e-002	
425000.000000	4.3851e-004	1.9961e+001	2.0077e-002	
430000.000000	4.3813e-004	1.9961e+001	2.0012e-002	
435000.000000	4.7582e-004	1.9949e+001	2.0059e-002	
440000.000000	4.5095e-004	1.9961e+001	2.0012e-002	
445000.000000	4.6089e-004	1.9961e+001	2.0021e-002	
450000.000000	4.5745e-004	1.9972e+001	2.0021e-002	
455000.000000	4.8768e-004	1.9968e+001	1.9993e-002	
460000.000000	5.0145e-004	1.9964e+001	1.9974e-002	
465000.000000	4.6797e-004	1.9961e+001	1.9974e-002	
470000.000000	4.7677e-004	1.9953e+001	1.9955e-002	
475000.000000	5.1446e-004	1.9961e+001	1.9983e-002	
480000.000000	5.2135e-004	1.9964e+001	1.9965e-002	
485000.000000	5.1906e-004	1.9961e+001	1.9965e-002	
490000.000000	5.0318e-004	1.9964e+001	1.9927e-002	
495000.000000	5.3417e-004	1.9957e+001	1.9955e-002	
500000.000000	5.2939e-004	1.9953e+001	1.9927e-002	
505000.000000	5.1140e-004	1.9957e+001	1.9908e-002	
510000.000000	5.6057e-004	1.9949e+001	1.9955e-002	
515000.000000	5.6076e-004	1.9961e+001	1.9908e-002	
520000.000000	5.6593e-004	1.9957e+001	1.9937e-002	
525000.000000	5.2594e-004	1.9961e+001	1.9899e-002	
530000.000000	5.7339e-004	1.9961e+001	1.9927e-002	
535000.000000	5.5541e-004	1.9957e+001	1.9890e-002	
540000.000000	5.9157e-004	1.9953e+001	1.9908e-002	
545000.000000	5.8181e-004	1.9957e+001	1.9862e-002	
550000.000000	5.9271e-004	1.9964e+001	1.9890e-002	
555000.000000	6.1663e-004	1.9953e+001	1.9871e-002	
560000.000000	6.1644e-004	1.9961e+001	1.9862e-002	
565000.000000	5.8410e-004	1.9964e+001	1.9871e-002	
570000.000000	5.7932e-004	1.9957e+001	1.9805e-002	
575000.000000	6.0362e-004	1.9957e+001	1.9843e-002	
580000.000000	5.9099e-004	1.9949e+001	1.9833e-002	
585000.000000	5.9023e-004	1.9953e+001	1.9786e-002	
590000.000000	6.1529e-004	1.9957e+001	1.9843e-002	
595000.000000	6.1739e-004	1.9964e+001	1.9824e-002	
600000.000000	6.1280e-004	1.9953e+001	1.9777e-002	
605000.000000	6.4284e-004	1.9946e+001	1.9796e-002	
610000.000000	6.5489e-004	1.9964e+001	1.9796e-002	
615000.000000	6.6216e-004	1.9949e+001	1.9796e-002	
620000.000000	6.4418e-004	1.9964e+001	1.9758e-002	
625000.000000	6.5872e-004	1.9953e+001	1.9777e-002	
630000.000000	6.3959e-004	1.9953e+001	1.9749e-002	
635000.000000	6.5222e-004	1.9961e+001	1.9749e-002	
640000.000000	6.9163e-004	1.9953e+001	1.9777e-002	
645000.000000	6.4915e-004	1.9953e+001	1.9702e-002	
650000.000000	6.6465e-004	1.9949e+001	1.9730e-002	
655000.000000	7.1153e-004	1.9957e+001	1.9740e-002	
660000.000000	6.7230e-004	1.9957e+001	1.9730e-002	
665000.000000	7.0081e-004	1.9949e+001	1.9730e-002	
670000.000000	7.0425e-004	1.9953e+001	1.9693e-002	
675000.000000	7.0196e-004	1.9953e+001	1.9683e-002	
680000.000000	6.8531e-004	1.9957e+001	1.9702e-002	
685000.000000	6.8627e-004	1.9964e+001	1.9683e-002	
690000.000000	7.1669e-004	1.9957e+001	1.9711e-002	
695000.000000	7.0406e-004	1.9972e+001	1.9655e-002	
700000.000000	7.1650e-004	1.9946e+001	1.9674e-002	
705000.000000	7.2052e-004	1.9953e+001	1.9655e-002	
710000.000000	7.1899e-004	1.9964e+001	1.9674e-002	
715000.000000	7.2836e-004	1.9957e+001	1.9655e-002	
720000.000000	7.6988e-004	1.9949e+001	1.9655e-002	
725000.000000	7.4290e-004	1.9961e+001	1.9646e-002	
730000.000000	7.3984e-004	1.9953e+001	1.9646e-002	
735000.000000	7.4348e-004	1.9961e+001	1.9636e-002	
740000.000000	7.3984e-004	1.9957e+001	1.9636e-002	
745000.000000	7.6701e-004	1.9946e+001	1.9655e-002	
750000.000000	7.8614e-004	1.9957e+001	1.9665e-002	
755000.000000	8.0106e-004	1.9961e+001	1.9683e-002	
760000.000000	7.6643e-004	1.9953e+001	1.9618e-002	
765000.000000	7.8136e-004	1.9953e+001	1.9646e-002	
770000.000000	7.8078e-004	1.9953e+001	1.9571e-002	
775000.000000	7.9705e-004	1.9961e+001	1.9618e-002	
780000.000000	7.9513e-004	1.9949e+001	1.9580e-002	
785000.000000	8.3952e-004	1.9953e+001	1.9608e-002	
790000.000000	8.0298e-004	1.9957e+001	1.9580e-002	
795000.000000	8.0259e-004	1.9953e+001	1.9580e-002	
800000.000000	8.3990e-004	1.9957e+001	1.9599e-002	
805000.000000	8.4641e-004	1.9946e+001	1.9589e-002	
810000.000000	8.3206e-004	1.9957e+001	1.9589e-002	
815000.000000	8.5023e-004	1.9949e+001	1.9571e-002	
820000.000000	8.6152e-004	1.9957e+001	1.9589e-002	
825000.000000	8.5808e-004	1.9961e+001	1.9571e-002	
830000.000000	8.6630e-004	1.9953e+001	1.9599e-002	
835000.000000	8.7185e-004	1.9957e+001	1.9571e-002	
840000.000000	8.7912e-004	1.9964e+001	1.9599e-002	
845000.000000	8.9271e-004	1.9949e+001	1.9580e-002	
850000.000000	8.5750e-004	1.9957e+001	1.9561e-002	
855000.000000	8.7319e-004	1.9949e+001	1.9552e-002	
860000.000000	8.5502e-004	1.9957e+001	1.9533e-002	
865000.000000	8.6343e-004	1.9961e+001	1.9524e-002	
870000.000000	9.0457e-004	1.9961e+001	1.9561e-002	
875000.000000	8.7434e-004	1.9957e+001	1.9505e-002	
880000.000000	9.2332e-004	1.9949e+001	1.9561e-002	
885000.000000	9.2427e-004	1.9946e+001	1.9533e-002	
890000.000000	8.8563e-004	1.9957e+001	1.9505e-002	
895000.000000	9.4302e-004	1.9964e+001	1.9524e-002	
900000.000000	9.3097e-004	1.9961e+001	1.9514e-002	
905000.000000	9.0572e-004	1.9957e+001	1.9467e-002	
910000.000000	9.0266e-004	1.9953e+001	1.9477e-002	
915000.000000	9.4896e-004	1.9942e+001	1.9486e-002	
920000.000000	9.4609e-004	1.9957e+001	1.9496e-002	
925000.000000	9.5374e-004	1.9949e+001	1.9505e-002	
930000.000000	9.6522e-004	1.9957e+001	1.9486e-002	
935000.000000	9.6503e-004	1.9949e+001	1.9496e-002	
940000.000000	9.6522e-004	1.9949e+001	1.9496e-002	
945000.000000	9.6503e-004	1.9957e+001	1.9449e-002	
950000.000000	9.3097e-004	1.9949e+001	1.9449e-002	
955000.000000	9.5297e-004	1.9957e+001	1.9477e-002	
960000.000000	9.7364e-004	1.9957e+001	1.9477e-002	
965000.000000	9.6522e-004	1.9953e+001	1.9430e-002	
970000.000000	9.8645e-004	1.9957e+001	1.9458e-002	
975000.000000	9.6541e-004	1.9949e+001	1.9421e-002	
980000.000000	9.9793e-004	1.9957e+001	1.9467e-002	
985000.000000	9.6904e-004	1.9953e+001	1.9411e-002	
990000.000000	9.8052e-004	1.9961e+001	1.9402e-002	
995000.000000	9.7804e-004	1.9957e+001	1.9421e-002	
1000000.000000	9.7708e-004	1.9957e+001	1.9392e-002	
1005000.000000	1.0337e-003	1.9961e+001	1.9402e-002	
1010000.000000	1.0358e-003	1.9953e+001	1.9449e-002	
1015000.000000	1.0027e-003	1.9964e+001	1.9392e-002	
1020000.000000	1.0052e-003	1.9961e+001	1.9402e-002	
1025000.000000	1.0450e-003	1.9961e+001	1.9439e-002	
1030000.000000	1.0496e-003	1.9961e+001	1.9421e-002	
1035000.000000	1.0479e-003	1.9957e+001	1.9392e-002	
1040000.000000	1.0555e-003	1.9964e+001	1.9411e-002	
1045000.000000	1.0220e-003	1.9953e+001	1.9346e-002	
1050000.000000	1.0259e-003	1.9961e+001	1.9392e-002	
1055000.000000	1.0241e-003	1.9957e+001	1.9364e-002	
1060000.000000	1.0563e-003	1.9961e+001	1.9383e-002	
1065000.000000	1.0542e-003	1.9961e+001	1.9364e-002	
1070000.000000	1.0735e-003	1.9957e+001	1.9374e-002	
1075000.000000	1.0641e-003	1.9968e+001	1.9355e-002	
1080000.000000	1.0915e-003	1.9957e+001	1.9392e-002	
1085000.000000	1.0928e-003	1.9949e+001	1.9392e-002	
1090000.000000	1.0980e-003	1.9957e+001	1.9374e-002	
1095000.000000	1.0930e-003	1.9964e+001	1.9336e-002	
1100000.000000	1.0800e-003	1.9957e+001	1.9346e-002	
1105000.000000	1.1016e-003	1.9961e+001	1.9355e-002	
1110000.000000	1.1081e-003	1.9953e+001	1.9374e-002	
1115000.000000	1.1202e-003	1.9961e+001	1.9374e-002	
1120000.000000	1.1269e-003	1.9961e+001	1.9355e-002	
1125000.000000	1.1051e-003	1.9949e+001	1.9327e-002	
1130000.000000	1.0898e-003	1.9953e+001	1.9327e-002	
1135000.000000	1.1110e-003	1.9964e+001	1.9327e-002	
1140000.000000	1.0953e-003	1.9957e+001	1.9317e-002	
1145000.000000	1.1125e-003	1.9957e+001	1.9346e-002	
1150000.000000	1.1120e-003	1.9953e+001	1.9308e-002	
1155000.000000	1.1278e-003	1.9953e+001	1.9317e-002	
1160000.000000	1.1179e-003	1.9957e+001	1.9317e-002	
1165000.000000	1.1550e-003	1.9961e+001	1.9308e-002	
1170000.000000	1.1753e-003	1.9968e+001	1.9299e-002	
1175000.000000	1.1648e-003	1.9953e+001	1.9308e-002	
1180000.000000	1.1393e-003	1.9957e+001	1.9317e-002	
1185000.000000	1.1365e-003	1.9957e+001	1.9317e-002	
1190000.000000	1.1845e-003	1.9961e+001	1.9346e-002	
1195000.000000	1.1889e-003	1.9961e+001	1.9336e-002	
1200000.000000	1.1342e-003	1.9957e+001	1.9308e-002	
1205000.000000	1.1826e-003	1.9953e+001	1.9317e-002	
1210000.000000	1.1948e-003	1.9953e+001	1.9327e-002	
1215000.000000	1.2101e-003	1.9957e+001	1.9299e-002	
1220000.000000	1.1868e-003	1.9957e+001	1.9299e-002	
1225000.000000	1.1829e-003	1.9961e+001	1.9289e-002	
1230000.000000	1.1961e-003	1.9957e+001	1.9299e-002	
1235000.000000	1.1875e-003	1.9949e+001	1.9308e-002	
1240000.000000	1.1695e-003	1.9964e+001	1.9299e-002	
1245000.000000	1.1812e-003	1.9964e+001	1.9270e-002	
1250000.000000	1.1785e-003	1.9957e+001	1.9261e-002	
1255000.000000	1.1805e-003	1.9961e+001	1.9261e-002	
1260000.000000	1.2294e-003	1.9949e+001	1.9289e-002	
1265000.000000	1.2340e-003	1.9957e+001	1.9280e-002	
1270000.000000	1.2426e-003	1.9957e+001	1.9280e-002	
1275000.000000	1.2088e-003	1.9949e+001	1.9252e-002	
1280000.000000	1.2530e-003	1.9957e+001	1.9280e-002	
1285000.000000	1.2168e-003	1.9949e+001	1.9252e-002	
1290000.000000	1.2157e-003	1.9957e+001	1.9224e-002	
1295000.000000	1.2489e-003	1.9961e+001	1.9270e-002	
1300000.000000	1.2503e-003	1.9964e+001	1.9242e-002	
1305000.000000	1.2501e-003	1.9961e+001	1.9280e-002	
1310000.000000	1.2252e-003	1.9957e+001	1.9252e-002	
1315000.000000	1.2704e-003	1.9953e+001	1.9242e-002	
1320000.000000	1.2453e-003	1.9953e+001	1.9242e-002	
1325000.000000	1.2478e-003	1.9957e+001	1.9224e-002	
1330000.000000	1.2796e-003	1.9957e+001	1.9261e-002	
1335000.000000	1.2476e-003	1.9946e+001	1.9214e-002	
1340000.000000	1.2533e-003	1.9957e+001	1.9205e-002	
1345000.000000	1.2956e-003	1.9957e+001	1.9252e-002	
1350000.000000	1.2897e-003	1.9957e+001	1.9242e-002	
1355000.000000	1.2903e-003	1.9957e+001	1.9224e-002	
1360000.000000	1.2981e-003	1.9957e+001	1.9270e-002	
1365000.000000	1.2975e-003	1.9953e+001	1.9214e-002	
1370000.000000	1.2671e-003	1.9961e+001	1.9214e-002	
1375000.000000	1.2893e-003	1.9957e+001	1.9224e-002	
1380000.000000	1.3123e-003	1.9957e+001	1.9242e-002	
1385000.000000	1.3086e-003	1.9964e+001	1.9233e-002	
1390000.000000	1.3314e-003	1.9953e+001	1.9233e-002	
1395000.000000	1.2870e-003	1.9957e+001	1.9205e-002	
1400000.000000	1.2939e-003	1.9961e+001	1.9177e-002	
1405000.000000	1.2922e-003	1.9957e+001	1.9177e-002	
1410000.000000	1.2895e-003	1.9957e+001	1.9186e-002	
1415000.000000	1.3033e-003	1.9972e+001	1.9195e-002	
1420000.000000	1.3186e-003	1.9961e+001	1.9224e-002	
1425000.000000	1.3488e-003	1.9953e+001	1.9224e-002	
1430000.000000	1.3027e-003	1.9957e+001	1.9167e-002	
1435000.000000	1.3593e-003	1.9957e+001	1.9233e-002	
1440000.000000	1.3469e-003	1.9957e+001	1.9205e-002	
1445000.000000	1.3178e-003	1.9968e+001	1.9177e-002	
1450000.000000	1.3546e-003	1.9957e+001	1.9177e-002	
1455000.000000	1.3438e-003	1.9949e+001	1.9186e-002	
1460000.000000	1.3306e-003	1.9953e+001	1.9167e-002	
1465000.000000	1.3639e-003	1.9961e+001	1.9195e-002	
1470000.000000	1.3444e-003	1.9957e+001	1.9167e-002	
1475000.000000	1.3467e-003	1.9961e+001	1.9148e-002	
1480000.000000	1.3834e-003	1.9961e+001	1.9195e-002	
1485000.000000	1.3909e-003	1.9961e+001	1.9158e-002	
1490000.000000	1.3565e-003	1.9964e+001	1.9148e-002	
1495000.000000	1.3812e-003	1.9949e+001	1.9158e-002	
1500000.000000	1.4026e-003	1.9964e+001	1.9158e-002	
1505000.000000	1.3618e-003	1.9961e+001	1.9111e-002	
1510000.000000	1.3559e-003	1.9961e+001	1.9120e-002	
1515000.000000	1.3651e-003	1.9961e+001	1.9120e-002	
1520000.000000	1.4141e-003	1.9953e+001	1.9167e-002	
1525000.000000	1.4173e-003	1.9964e+001	1.9120e-002	
1530000.000000	1.4012e-003	1.9957e+001	1.9130e-002	
1535000.000000	1.3802e-003	1.9968e+001	1.9092e-002	
1540000.000000	1.4087e-003	1.9961e+001	1.9120e-002	
1545000.000000	1.4154e-003	1.9961e+001	1.9111e-002	
1550000.000000	1.3913e-003	1.9957e+001	1.9083e-002	
1555000.000000	1.4255e-003	1.9949e+001	1.9148e-002	
