sys1_isoFin_0002.rec ( 4591 Echant/voies ) Période acquisition :100ms
Date :28/07/2023 14:32:22
Temps	y_back[V]	u[V]	phi[V]	y_front[V]	
0,000000	-5,3187e-005	-3,4043e-002	-1,0623e-004	-2,4107e-005	
100,000000	-5,3187e-005	-2,6478e-002	-1,2520e-004	-3,4821e-005	
200,000000	-1,9132e-006	-3,4043e-002	-8,3469e-005	-3,3864e-005	
300,000000	-4,1325e-005	-2,6478e-002	-9,4851e-005	-1,6071e-005	
400,000000	-1,9132e-006	-2,2695e-002	-1,1003e-004	-3,5395e-005	
500,000000	7,4615e-006	-4,1608e-002	-1,0244e-004	-1,2627e-005	
600,000000	-4,1134e-005	-2,6478e-002	-1,1003e-004	-1,1479e-005	
700,000000	-7,4615e-006	-3,0261e-002	-1,2900e-004	-3,4821e-005	
800,000000	5,5483e-006	-3,4043e-002	-9,1057e-005	-2,2193e-005	
900,000000	-4,4195e-005	-2,2695e-002	-1,2900e-004	-1,7602e-005	
1000,000000	-5,1657e-006	-3,7826e-002	-1,3279e-004	-3,7499e-005	
1100,000000	-5,0318e-005	-3,0261e-002	-8,7263e-005	-2,2767e-005	
1200,000000	-5,6249e-005	-3,0261e-002	-1,2520e-004	-3,4821e-005	
1300,000000	-6,1223e-006	-3,0261e-002	-1,0244e-004	-3,7308e-005	
1400,000000	-5,1083e-005	-3,7826e-002	-9,8646e-005	-3,8838e-005	
1500,000000	-4,9170e-005	-3,4043e-002	-1,2520e-004	-2,0663e-005	
1600,000000	-1,3201e-005	-3,4043e-002	-7,9675e-005	-1,3966e-005	
1700,000000	-3,8647e-005	-3,4043e-002	-1,0244e-004	-4,6109e-005	
1800,000000	-8,9921e-006	-3,7826e-002	-1,2900e-004	-8,8008e-006	
1900,000000	-3,3481e-005	-3,7826e-002	-1,0244e-004	-4,2282e-005	
2000,000000	-1,7793e-005	-3,7826e-002	-1,1003e-004	-4,8022e-005	
2100,000000	-3,7308e-005	-2,6478e-002	-1,2141e-004	-6,6963e-006	
2200,000000	-4,9170e-005	-3,0261e-002	-1,1762e-004	-4,5535e-005	
2300,000000	-3,6351e-006	-3,7826e-002	-9,4851e-005	-4,5917e-005	
2400,000000	-5,2039e-005	-3,4043e-002	-1,0623e-004	-1,5880e-005	
2500,000000	4,0178e-006	-2,6478e-002	-1,3279e-004	-3,9412e-005	
2600,000000	-8,6095e-006	-3,4043e-002	-9,8646e-005	-1,9323e-005	
2700,000000	-5,0318e-005	-3,4043e-002	-1,2900e-004	-4,1134e-005	
2800,000000	-1,1862e-005	-3,4043e-002	-1,4038e-004	-1,9323e-005	
2900,000000	-1,6836e-005	-3,4043e-002	-9,8646e-005	-5,1848e-005	
3000,000000	-3,6351e-005	-3,7826e-002	-1,3279e-004	-5,2231e-005	
3100,000000	-3,7882e-005	-2,6478e-002	-1,2520e-004	-7,8442e-006	
3200,000000	-1,7602e-005	-4,1608e-002	-1,1003e-004	-5,6057e-005	
3300,000000	-2,6785e-006	-3,7826e-002	-1,1762e-004	-1,2819e-005	
3400,000000	-5,5292e-005	-3,7826e-002	-1,5935e-004	-2,2002e-005	
3500,000000	-1,5880e-005	-2,6478e-002	-1,2141e-004	-2,3724e-005	
3600,000000	-2,1045e-006	-3,7826e-002	-9,4851e-005	-5,4335e-005	
3700,000000	-2,7742e-005	-3,0261e-002	-1,2141e-004	-3,9221e-005	
3800,000000	-3,1377e-005	-3,0261e-002	-1,0244e-004	2,4872e-006	
3900,000000	-1,4732e-005	-3,0261e-002	-9,4851e-005	-4,4195e-005	
4000,000000	4,4387e-005	-3,7826e-002	-9,1057e-005	-1,0523e-005	
4100,000000	-4,8213e-005	-4,1608e-002	-1,1382e-004	-2,6402e-005	
4200,000000	-7,4615e-006	-3,7826e-002	-1,4038e-004	-1,7410e-005	
4300,000000	-1,6071e-005	-3,7826e-002	-8,3469e-005	-5,0700e-005	
4400,000000	-3,1185e-005	-3,4043e-002	-1,4797e-004	-5,2613e-005	
4500,000000	-3,5012e-005	-3,7826e-002	-1,2141e-004	-8,8008e-006	
4600,000000	-1,9897e-005	-3,4043e-002	-1,0244e-004	-5,6631e-005	
4700,000000	-2,6785e-006	-3,7826e-002	-1,0244e-004	-1,5688e-005	
4800,000000	-4,2665e-005	-3,7826e-002	-9,1057e-005	7,6529e-007	
4900,000000	-1,4158e-005	-2,6478e-002	-1,0244e-004	-3,9795e-005	
5000,000000	-4,4004e-006	-2,6478e-002	-1,0244e-004	-2,1045e-005	
5100,000000	-4,5726e-005	-3,0261e-002	-1,2900e-004	-2,7168e-005	
5200,000000	-8,2268e-006	-2,6478e-002	-1,4038e-004	-2,0471e-005	
5300,000000	-4,4387e-005	-4,1608e-002	-9,1057e-005	-4,4578e-005	
5400,000000	-3,1759e-005	-3,7826e-002	-1,4797e-004	-1,2436e-005	
5500,000000	-2,4107e-005	-2,6478e-002	-1,1003e-004	-5,7396e-007	
5600,000000	-2,8890e-005	-3,0261e-002	-9,1057e-005	-4,8022e-005	
5700,000000	-4,5917e-006	-3,7826e-002	-8,3469e-005	-1,5497e-005	
5800,000000	-5,1083e-005	-3,0261e-002	-1,1003e-004	-2,0854e-005	
5900,000000	-4,4004e-006	-2,2695e-002	-1,3659e-004	-2,8890e-005	
6000,000000	-4,4961e-005	-3,0261e-002	-1,0244e-004	-3,5395e-005	
6100,000000	-3,1377e-005	-2,6478e-002	-1,4038e-004	-2,4298e-005	
6200,000000	-1,8750e-005	-3,4043e-002	-8,7263e-005	2,8698e-006	
6300,000000	-2,1428e-005	-3,0261e-002	-9,4851e-005	-4,8213e-005	
6400,000000	-9,9487e-006	-2,2695e-002	-1,0623e-004	-8,6095e-006	
6500,000000	-4,8787e-005	-3,0261e-002	-1,1762e-004	-1,8750e-005	
6600,000000	-8,6095e-006	-3,4043e-002	-1,1762e-004	-2,8507e-005	
6700,000000	-4,8404e-005	-3,7826e-002	-7,9675e-005	-4,3621e-005	
6800,000000	-1,7793e-005	-3,0261e-002	-1,1003e-004	-9,3748e-006	
6900,000000	-3,1759e-005	-4,1608e-002	-9,4851e-005	-2,2959e-006	
7000,000000	-5,1657e-006	-2,2695e-002	-1,1762e-004	-4,6491e-005	
7100,000000	5,9310e-006	-4,1608e-002	-1,0244e-004	-3,1568e-005	
7200,000000	-3,1185e-005	-3,0261e-002	-1,2141e-004	-3,8838e-005	
7300,000000	-2,3533e-005	-3,4043e-002	-1,2520e-004	7,6529e-007	
7400,000000	-1,3393e-006	-4,1608e-002	-1,1382e-004	-4,2856e-005	
7500,000000	-3,8264e-006	-4,1608e-002	-9,8646e-005	-2,4107e-005	
7600,000000	-4,4578e-005	-3,7826e-002	-1,3659e-004	-3,4438e-005	
7700,000000	-2,2385e-005	-3,0261e-002	-9,4851e-005	-4,7830e-006	
7800,000000	-4,5152e-005	-2,6478e-002	-1,0244e-004	-3,8838e-005	
7900,000000	-5,3570e-006	-3,7826e-002	-9,1057e-005	-3,1759e-005	
8000,000000	-5,2613e-005	-3,7826e-002	-6,0705e-005	-4,6491e-005	
8100,000000	-2,2002e-005	-2,2695e-002	-1,2520e-004	-2,6785e-006	
8200,000000	-4,6874e-005	-3,0261e-002	-1,1382e-004	-3,1759e-005	
8300,000000	2,1045e-006	-3,0261e-002	-8,3469e-005	-2,7168e-005	
8400,000000	-4,6300e-005	-3,4043e-002	-7,2087e-005	-4,0178e-005	
8500,000000	-8,9921e-006	-2,2695e-002	-7,9675e-005	-2,8698e-006	
8600,000000	-5,1466e-005	-3,4043e-002	-1,0623e-004	-1,4923e-005	
8700,000000	-6,5049e-006	-3,0261e-002	-1,4038e-004	-3,1377e-005	
8800,000000	-4,4387e-005	-3,4043e-002	-6,8293e-005	-5,0892e-005	
