sys1_polBas_0006.rec ( 4791 Echant/voies ) Période acquisition :100ms
Date :11/07/2023 14:47:33
Temps	y[V]	u[V]	phi[V]	
0,000000	4,7830e-006	4,9949e+001	1,5049e-002	
100,000000	8,8008e-006	4,9949e+001	2,0274e-002	
200,000000	-4,5917e-005	4,9949e+001	2,5068e-002	
300,000000	-6,6963e-006	4,9938e+001	2,9384e-002	
400,000000	1,3584e-005	4,9930e+001	3,3353e-002	
500,000000	-3,1185e-005	4,9949e+001	3,6993e-002	
600,000000	-1,5497e-005	4,9938e+001	4,0370e-002	
700,000000	2,7742e-005	4,9934e+001	4,3495e-002	
800,000000	5,1657e-006	4,9938e+001	4,6394e-002	
900,000000	-2,8124e-005	4,9945e+001	4,9067e-002	
1000,000000	4,5917e-006	4,9941e+001	5,1601e-002	
1100,000000	2,6976e-005	4,9941e+001	5,3927e-002	
1200,000000	-1,8367e-005	4,9941e+001	5,6076e-002	
1300,000000	-3,0420e-005	4,9938e+001	5,8083e-002	
1400,000000	5,7396e-006	4,9941e+001	6,0016e-002	
1500,000000	5,9310e-006	4,9945e+001	6,1817e-002	
1600,000000	-2,9846e-005	4,9941e+001	6,3431e-002	
1700,000000	-2,7550e-005	4,9945e+001	6,5035e-002	
1800,000000	1,4732e-005	4,9953e+001	6,6555e-002	
1900,000000	1,1288e-005	4,9941e+001	6,7934e-002	
2000,000000	-6,8876e-006	4,9953e+001	6,9220e-002	
2100,000000	-3,3290e-005	4,9941e+001	7,0458e-002	
2200,000000	-2,2959e-006	4,9941e+001	7,1706e-002	
2300,000000	2,9464e-005	4,9941e+001	7,2822e-002	
2400,000000	3,4438e-006	4,9941e+001	7,3901e-002	
2500,000000	-2,4489e-005	4,9953e+001	7,4905e-002	
2600,000000	-2,1045e-006	4,9953e+001	7,5928e-002	
2700,000000	2,8890e-005	4,9934e+001	7,6838e-002	
2800,000000	1,7410e-005	4,9953e+001	7,7757e-002	
2900,000000	-1,1479e-005	4,9945e+001	7,8602e-002	
3000,000000	-1,8176e-005	4,9949e+001	7,9418e-002	
3100,000000	1,6836e-005	4,9949e+001	8,0253e-002	
3200,000000	2,8890e-005	4,9941e+001	8,1013e-002	
3300,000000	1,2053e-005	4,9938e+001	8,1735e-002	
3400,000000	-1,5688e-005	4,9945e+001	8,2411e-002	
3500,000000	-1,2436e-005	4,9945e+001	8,3124e-002	
3600,000000	2,8124e-005	4,9941e+001	8,3818e-002	
3700,000000	2,5828e-005	4,9949e+001	8,4428e-002	
3800,000000	-7,4615e-006	4,9941e+001	8,5028e-002	
3900,000000	-4,9744e-006	4,9941e+001	8,5629e-002	
4000,000000	3,1568e-005	4,9945e+001	8,6192e-002	
4100,000000	4,5917e-005	4,9941e+001	8,6764e-002	
4200,000000	1,7410e-005	4,9938e+001	8,7280e-002	
4300,000000	-1,3393e-006	4,9953e+001	8,7796e-002	
4400,000000	2,1811e-005	4,9941e+001	8,8293e-002	
4500,000000	5,6249e-005	4,9941e+001	8,8781e-002	
4600,000000	3,7690e-005	4,9945e+001	8,9231e-002	
4700,000000	6,5049e-006	4,9956e+001	8,9654e-002	
4800,000000	4,9744e-006	4,9938e+001	9,0076e-002	
4900,000000	2,4680e-005	4,9953e+001	9,0517e-002	
5000,000000	4,8596e-005	4,9945e+001	9,0958e-002	
5100,000000	4,7256e-005	4,9941e+001	9,1314e-002	
5200,000000	2,9655e-005	4,9938e+001	9,1699e-002	
5300,000000	1,4732e-005	4,9949e+001	9,2074e-002	
5400,000000	3,3290e-005	4,9949e+001	9,2449e-002	
5500,000000	6,4667e-005	4,9949e+001	9,2806e-002	
5600,000000	5,9310e-005	4,9945e+001	9,3125e-002	
5700,000000	3,2525e-005	4,9938e+001	9,3425e-002	
5800,000000	4,2091e-006	4,9941e+001	9,3744e-002	
5900,000000	1,0140e-005	4,9945e+001	9,4063e-002	
6000,000000	3,7116e-005	4,9938e+001	9,4382e-002	
6100,000000	6,1988e-005	4,9945e+001	9,4701e-002	
6200,000000	5,9118e-005	4,9934e+001	9,4954e-002	
6300,000000	3,0229e-005	4,9941e+001	9,5217e-002	
6400,000000	1,5306e-005	4,9938e+001	9,5442e-002	
6500,000000	3,1185e-005	4,9945e+001	9,5771e-002	
6600,000000	6,3136e-005	4,9938e+001	9,6033e-002	
6700,000000	7,7677e-005	4,9945e+001	9,6277e-002	
6800,000000	6,7537e-005	4,9949e+001	9,6531e-002	
6900,000000	4,1708e-005	4,9956e+001	9,6728e-002	
7000,000000	3,0229e-005	4,9949e+001	9,6972e-002	
7100,000000	6,1797e-005	4,9949e+001	9,7215e-002	
7200,000000	8,7434e-005	4,9945e+001	9,7422e-002	
7300,000000	8,5521e-005	4,9949e+001	9,7638e-002	
7400,000000	6,7919e-005	4,9938e+001	9,7835e-002	
7500,000000	4,2473e-005	4,9941e+001	9,8050e-002	
7600,000000	4,7448e-005	4,9945e+001	9,8266e-002	
7700,000000	6,5815e-005	4,9930e+001	9,8444e-002	
7800,000000	7,8059e-005	4,9938e+001	9,8623e-002	
7900,000000	7,5572e-005	4,9945e+001	9,8829e-002	
8000,000000	4,1134e-005	4,9945e+001	9,9007e-002	
8100,000000	4,2282e-005	4,9941e+001	9,9176e-002	
8200,000000	6,3710e-005	4,9941e+001	9,9336e-002	
8300,000000	9,6235e-005	4,9953e+001	9,9542e-002	
8400,000000	8,8582e-005	4,9941e+001	9,9692e-002	
8500,000000	4,7256e-005	4,9949e+001	9,9861e-002	
8600,000000	4,2473e-005	4,9945e+001	1,0002e-001	
8700,000000	8,8008e-005	4,9938e+001	1,0021e-001	
8800,000000	1,0064e-004	4,9945e+001	1,0033e-001	
8900,000000	7,7677e-005	4,9941e+001	1,0048e-001	
9000,000000	6,0840e-005	4,9949e+001	1,0064e-001	
9100,000000	5,4144e-005	4,9953e+001	1,0075e-001	
9200,000000	7,6720e-005	4,9945e+001	1,0094e-001	
9300,000000	1,1345e-004	4,9941e+001	1,0109e-001	
9400,000000	9,6043e-005	4,9945e+001	1,0120e-001	
9500,000000	7,6911e-005	4,9949e+001	1,0133e-001	
9600,000000	6,8876e-005	4,9945e+001	1,0146e-001	
9700,000000	7,0024e-005	4,9949e+001	1,0158e-001	
9800,000000	1,0542e-004	4,9938e+001	1,0173e-001	
9900,000000	1,1192e-004	4,9930e+001	1,0184e-001	
10000,000000	9,0686e-005	4,9945e+001	1,0194e-001	
10100,000000	7,2320e-005	4,9938e+001	1,0208e-001	
10200,000000	7,1937e-005	4,9941e+001	1,0217e-001	
10300,000000	1,1039e-004	4,9945e+001	1,0232e-001	
10400,000000	1,1900e-004	4,9945e+001	1,0244e-001	
10500,000000	9,2791e-005	4,9945e+001	1,0253e-001	
10600,000000	7,7294e-005	4,9945e+001	1,0265e-001	
10700,000000	7,8825e-005	4,9945e+001	1,0277e-001	
10800,000000	1,2685e-004	4,9941e+001	1,0291e-001	
10900,000000	1,1403e-004	4,9941e+001	1,0297e-001	
11000,000000	9,1834e-005	4,9938e+001	1,0306e-001	
