t,   y,   u
0.000000,   -0.056656,   -0.023193,   -0.000085
242.000000,   -0.014160,   -0.015869,   -0.000048
442.000000,   -0.073898,   -0.026855,   -0.000085
540.000000,   -0.049789,   -0.019531,   -0.000106
658.000000,   -0.009582,   -0.019531,   -0.000057
915.000000,   -0.075806,   -0.019531,   -0.000085
1172.000000,   -0.025299,   -0.019531,   -0.000106
1463.000000,   -0.066269,   -0.023193,   -0.000115
1710.000000,   -0.021866,   -0.026855,   -0.000115
2002.000000,   -0.051849,   -0.037842,   -0.000057
2292.000000,   -0.066650,   -0.034180,   -0.000094
2579.000000,   -0.026977,   -0.026855,   -0.000057
2896.000000,   -0.052307,   -0.008545,   -0.000085
3150.000000,   -0.053223,   -0.019531,   -0.000076
3434.000000,   -0.088241,   -0.019531,   -0.000085
3694.000000,   -0.053451,   -0.023193,   -0.000106
4034.000000,   -0.015152,   -0.026855,   -0.000094
4294.000000,   -0.052307,   -0.023193,   -0.000076
4614.000000,   -0.056274,   -0.019531,   -0.000094
4934.000000,   -0.016907,   -0.019531,   -0.000134
5196.000000,   -0.043457,   -0.019531,   -0.000067
5489.000000,   -0.057266,   -0.026855,   -0.000106
5806.000000,   -0.022018,   -0.023193,   -0.000106
6078.000000,   -0.060470,   -0.023193,   -0.000115
6416.000000,   -0.047882,   -0.026855,   -0.000057
6732.000000,   -0.031402,   -0.023193,   -0.000106
6992.000000,   -0.066040,   -0.023193,   -0.000085
7332.000000,   -0.013397,   -0.026855,   -0.000085
7618.000000,   -0.070236,   -0.030518,   -0.000067
7880.000000,   -0.026214,   -0.019531,   -0.000115
8199.000000,   -0.018204,   -0.019531,   -0.000085
8536.000000,   -0.065277,   -0.030518,   -0.000057
8796.000000,   -0.031402,   -0.023193,   -0.000094
9119.000000,   -0.029114,   -0.030518,   -0.000094
9456.000000,   -0.043075,   -0.026855,   -0.000076
9750.000000,   -0.058792,   -0.023193,   -0.000076
10014.000000,   -0.018585,   -0.015869,   -0.000094
10304.000000,   -0.033310,   -0.023193,   -0.000048
10596.000000,   -0.072143,   -0.019531,   -0.000067
10914.000000,   -0.055359,   -0.019531,   -0.000106
11230.000000,   -0.033310,   -0.023193,   -0.000094
11492.000000,   -0.044830,   -0.019531,   -0.000067
11831.000000,   -0.054748,   -0.030518,   -0.000094
12114.000000,   -0.076187,   -0.012207,   -0.000094
12374.000000,   -0.054214,   -0.019531,   -0.000115
12692.000000,   -0.008819,   -0.019531,   -0.000106
12977.000000,   -0.025680,   -0.026855,   -0.000076
13239.000000,   -0.068329,   -0.026855,   -0.000067
13576.000000,   -0.052307,   -0.023193,   -0.000048
13869.000000,   -0.023773,   -0.030518,   -0.000048
14141.000000,   -0.024689,   -0.030518,   -0.000076
14456.000000,   -0.010193,   -0.026855,   -0.000067
14713.000000,   -0.007675,   -0.026855,   -0.000085
14976.000000,   -0.022247,   -0.023193,   -0.000076
15317.000000,   -0.018204,   -0.026855,   -0.000085
15578.000000,   -0.067795,   -0.026855,   -0.000076
15897.000000,   -0.057648,   -0.026855,   -0.000048
16215.000000,   -0.031784,   -0.030518,   -0.000067
16501.000000,   -0.065658,   -0.030518,   -0.000067
16800.000000,   -0.067032,   -0.037842,   -0.000057
17054.000000,   -0.069473,   -0.023193,   -0.000057
17315.000000,   -0.069855,   -0.019531,   -0.000057
17656.000000,   -0.020874,   -0.019531,   -0.000085
17978.000000,   -0.024536,   -0.023193,   -0.000076
18240.000000,   -0.026443,   -0.026855,   -0.000076
18564.000000,   -0.028351,   -0.030518,   -0.000067
18850.000000,   -0.030258,   -0.030518,   -0.000057
19142.000000,   -0.057266,   -0.023193,   -0.000076
19402.000000,   -0.018585,   -0.023193,   -0.000057
19698.000000,   -0.031784,   -0.030518,   -0.000039
19960.000000,   -0.054977,   59.934082,   0.016999
20285.000000,   -0.056885,   59.923096,   0.037461
20573.000000,   -0.023773,   59.941406,   0.053052
20860.000000,   -0.049026,   59.937744,   0.065558
21159.000000,   -0.059707,   59.930420,   0.075672
21472.000000,   -0.065887,   59.926758,   0.082523
21731.000000,   -0.023544,   59.926758,   0.088630
22014.000000,   -0.059326,   59.934082,   0.093510
22272.000000,   -0.035446,   59.930420,   0.098142
22554.000000,   -0.026214,   59.926758,   0.102570
22866.000000,   -0.044449,   59.926758,   0.105894
23130.000000,   -0.003097,   59.937744,   0.109006
23414.000000,   0.005676,   59.930420,   0.111906
23704.000000,   -0.039261,   59.934082,   0.114542
24014.000000,   -0.004242,   59.930420,   0.116917
24325.000000,   -0.021866,   59.919434,   0.118641
24590.000000,   -0.024155,   59.930420,   0.120304
24874.000000,   -0.011337,   59.930420,   0.122217
25225.000000,   0.016205,   59.930420,   0.123426
25490.000000,   -0.000580,   59.937744,   0.124570
25774.000000,   0.050308,   59.937744,   0.125809
26088.000000,   0.042069,   59.926758,   0.127799
26692.000000,   0.048020,   59.937744,   0.128513
26952.000000,   0.040161,   59.937744,   0.129319
27238.000000,   0.052597,   59.934082,   0.129871
27492.000000,   0.053131,   59.934082,   0.130521
27777.000000,   0.058090,   59.930420,   0.131092
28039.000000,   0.039551,   59.934082,   0.131693
28356.000000,   0.089142,   59.934082,   0.132181
28644.000000,   0.049545,   59.926758,   0.132725
28956.000000,   0.084488,   59.926758,   0.133137
29208.000000,   0.064423,   59.926758,   0.133570
