sys1_resFlu_0001.rec ( 16187 Echant/voies ) Période acquisition :100ms
Date :9/8/2023 10:30:40 AM
Temps	y[V]	u[V]	y_avant[V]	
0.000000	2.2002e-005	-3.0261e-002	3.5586e-005	
100.000000	3.7882e-005	-3.4043e-002	1.9515e-005	
200.000000	2.7742e-005	-2.6478e-002	1.1288e-005	
300.000000	2.0089e-005	-3.0261e-002	2.1045e-005	
400.000000	7.8442e-006	-2.2695e-002	2.7742e-005	
500.000000	2.7742e-005	-3.4043e-002	2.1045e-005	
600.000000	2.9846e-005	-2.6478e-002	9.5661e-006	
700.000000	1.5114e-005	-1.8913e-002	1.7984e-005	
800.000000	1.7219e-005	-3.0261e-002	3.0611e-005	
900.000000	4.2282e-005	-3.0261e-002	2.8698e-005	
1000.000000	3.6351e-005	-3.0261e-002	1.3584e-005	
1100.000000	1.9515e-005	-3.0261e-002	3.0420e-005	
1200.000000	2.6402e-005	-2.6478e-002	2.6594e-005	
1300.000000	3.1568e-005	-3.0261e-002	2.1428e-005	
1400.000000	2.5637e-005	-2.2695e-002	1.8750e-005	
1500.000000	2.0089e-005	-3.0261e-002	2.3724e-005	
1600.000000	2.1045e-005	-2.6478e-002	2.1619e-005	
1700.000000	3.7690e-005	-3.0261e-002	2.0089e-005	
1800.000000	3.0229e-005	-3.0261e-002	2.3150e-005	
1900.000000	1.5688e-005	-3.0261e-002	2.4107e-005	
2000.000000	2.8698e-005	-2.2695e-002	2.6594e-005	
2100.000000	2.8507e-005	-3.0261e-002	1.3966e-005	
2200.000000	2.4872e-005	-2.6478e-002	2.3533e-005	
2300.000000	2.6594e-005	-3.0261e-002	3.1185e-005	
2400.000000	2.6402e-005	-2.2695e-002	2.2193e-005	
2500.000000	3.3290e-005	-2.6478e-002	1.3966e-005	
2600.000000	1.4732e-005	-3.4043e-002	1.8176e-005	
2700.000000	2.3724e-005	-3.7826e-002	3.1759e-005	
2800.000000	3.8647e-005	-3.0261e-002	2.0663e-005	
2900.000000	2.6594e-005	-3.4043e-002	2.0089e-005	
3000.000000	1.5306e-005	-3.7826e-002	2.4680e-005	
3100.000000	2.0280e-005	-3.0261e-002	2.4872e-005	
3200.000000	3.0229e-005	-3.0261e-002	1.9515e-005	
3300.000000	2.7359e-005	-3.4043e-002	2.0854e-005	
3400.000000	2.5254e-005	-2.6478e-002	2.1428e-005	
3500.000000	3.0420e-005	-2.6478e-002	2.2385e-005	
3600.000000	3.3864e-005	-2.6478e-002	2.2767e-005	
3700.000000	2.1237e-005	-3.7826e-002	2.3724e-005	
3800.000000	1.4732e-005	-3.4043e-002	2.7359e-005	
3900.000000	3.3481e-005	-3.0261e-002	2.7168e-005	
4000.000000	2.9081e-005	-2.6478e-002	1.3010e-005	
4100.000000	1.9897e-005	-2.6478e-002	1.5114e-005	
4200.000000	1.6836e-005	-3.0261e-002	3.0037e-005	
4300.000000	3.3481e-005	-2.6478e-002	3.4247e-005	
4400.000000	3.3864e-005	-3.0261e-002	2.2002e-005	
4500.000000	3.0994e-005	-3.0261e-002	2.0089e-005	
4600.000000	2.0089e-005	-3.4043e-002	3.0611e-005	
4700.000000	2.6785e-005	-2.6478e-002	2.9464e-005	
4800.000000	2.3724e-005	-2.6478e-002	2.2767e-005	
4900.000000	1.8558e-005	-3.4043e-002	1.7410e-005	
5000.000000	2.7550e-005	-2.6478e-002	2.9081e-005	
5100.000000	2.6211e-005	-2.6478e-002	2.9464e-005	
5200.000000	2.6020e-005	-2.6478e-002	1.8558e-005	
5300.000000	2.3150e-005	-3.0261e-002	2.1619e-005	
5400.000000	1.6645e-005	-3.0261e-002	2.3533e-005	
5500.000000	2.7550e-005	-2.6478e-002	2.0280e-005	
5600.000000	3.4629e-005	-3.0261e-002	2.1619e-005	
5700.000000	2.3724e-005	-2.6478e-002	1.8941e-005	
5800.000000	1.8558e-005	-1.5130e-002	2.5254e-005	
5900.000000	2.8698e-005	-2.6478e-002	2.0854e-005	
6000.000000	2.6785e-005	-3.4043e-002	2.0663e-005	
6100.000000	2.0663e-005	-2.6478e-002	2.8698e-005	
6200.000000	1.8941e-005	-3.4043e-002	2.8698e-005	
6300.000000	3.0229e-005	-2.2695e-002	2.1237e-005	
6400.000000	2.5637e-005	-1.8913e-002	1.2053e-005	
6500.000000	1.9897e-005	-2.2695e-002	2.2385e-005	
6600.000000	2.8698e-005	-3.4043e-002	3.2716e-005	
6700.000000	2.6402e-005	-3.0261e-002	1.8558e-005	
6800.000000	2.4680e-005	-2.6478e-002	1.4349e-005	
6900.000000	2.4298e-005	-3.0261e-002	2.1619e-005	
7000.000000	1.2053e-005	-2.6478e-002	2.3533e-005	
7100.000000	2.9464e-005	-2.6478e-002	2.7933e-005	
7200.000000	3.3864e-005	-3.4043e-002	2.3150e-005	
7300.000000	2.1619e-005	-2.2695e-002	1.5497e-005	
7400.000000	1.7793e-005	-2.6478e-002	2.5254e-005	
7500.000000	2.2385e-005	-1.5130e-002	3.2333e-005	
7600.000000	2.9464e-005	-2.6478e-002	2.9272e-005	
7700.000000	3.6925e-005	-3.0261e-002	2.3150e-005	
7800.000000	2.5446e-005	-3.0261e-002	1.9323e-005	
7900.000000	2.1619e-005	-2.6478e-002	2.8890e-005	
8000.000000	2.6211e-005	-2.6478e-002	3.0037e-005	
8100.000000	3.3673e-005	-3.4043e-002	3.3481e-005	
8200.000000	3.2907e-005	-3.4043e-002	1.5688e-005	
8300.000000	2.1619e-005	-2.6478e-002	1.5497e-005	
8400.000000	2.4107e-005	-3.0261e-002	2.7933e-005	
8500.000000	2.2767e-005	-3.0261e-002	2.5063e-005	
8600.000000	3.5012e-005	-3.0261e-002	2.4872e-005	
8700.000000	2.8316e-005	-2.2695e-002	2.2767e-005	
8800.000000	3.5777e-005	-2.6478e-002	2.0280e-005	
8900.000000	2.1237e-005	-2.2695e-002	1.3966e-005	
