sys1_resRen_0002.rec ( 21776 Echant/voies ) Période acquisition :100ms
Date :9/13/2023 4:16:40 PM
Temps	y[V]	u[V]	y_avant[V]	
0.000000	-5.7396e-006	-3.4043e-002	-9.5075e-006	
100.000000	-9.3748e-006	-3.0261e-002	0.0000e+000	
200.000000	-1.3393e-006	-2.6478e-002	5.3242e-006	
300.000000	-1.9132e-006	-2.2695e-002	2.2818e-006	
400.000000	3.8264e-006	-2.6478e-002	-1.1409e-006	
500.000000	6.1223e-006	-3.4043e-002	-9.5075e-006	
600.000000	-1.2053e-005	-3.4043e-002	-7.6060e-006	
700.000000	-1.2819e-005	-3.0261e-002	-1.5212e-006	
800.000000	-1.2627e-005	-3.4043e-002	5.3242e-006	
900.000000	9.5661e-007	-3.0261e-002	0.0000e+000	
1000.000000	5.9310e-006	-3.0261e-002	-5.7045e-006	
1100.000000	4.2091e-006	-3.7826e-002	-6.0848e-006	
1200.000000	-6.3136e-006	-3.4043e-002	1.9015e-006	
1300.000000	-8.8008e-006	-3.4043e-002	-3.8030e-007	
1400.000000	-8.2268e-006	-3.0261e-002	-7.6060e-007	
1500.000000	4.5917e-006	-2.6478e-002	-1.5212e-006	
1600.000000	5.9310e-006	-3.4043e-002	-1.9015e-006	
1700.000000	-3.8264e-006	-2.6478e-002	-1.2170e-005	
1800.000000	-9.1834e-006	-3.7826e-002	-5.3242e-006	
1900.000000	-6.5049e-006	-3.4043e-002	6.8454e-006	
2000.000000	1.3393e-006	-3.7826e-002	7.6060e-007	
2100.000000	4.4004e-006	-3.0261e-002	-7.2257e-006	
2200.000000	9.7574e-006	-3.7826e-002	-3.8030e-006	
2300.000000	-7.2702e-006	-2.6478e-002	-1.4071e-005	
2400.000000	-5.1657e-006	-3.4043e-002	3.8030e-007	
2500.000000	-5.1657e-006	-3.4043e-002	7.2257e-006	
2600.000000	-4.5917e-006	-3.0261e-002	-3.0424e-006	
2700.000000	9.9487e-006	-3.0261e-002	-2.6621e-006	
2800.000000	-3.0611e-006	-3.4043e-002	-1.2550e-005	
2900.000000	1.9132e-006	-3.7826e-002	1.5212e-006	
3000.000000	-1.2819e-005	-2.2695e-002	-1.5212e-006	
3100.000000	3.6351e-006	-3.0261e-002	1.1409e-005	
3200.000000	1.7219e-006	-3.0261e-002	0.0000e+000	
3300.000000	5.7396e-007	-3.0261e-002	-7.9863e-006	
3400.000000	-1.9132e-006	-3.7826e-002	-3.4227e-006	
3500.000000	-1.2436e-005	-3.0261e-002	-1.1409e-006	
3600.000000	2.2959e-006	-3.7826e-002	6.4651e-006	
3700.000000	4.9744e-006	-3.7826e-002	-6.8454e-006	
3800.000000	-4.7830e-006	-3.7826e-002	-1.1789e-005	
3900.000000	-3.6351e-006	-1.8913e-002	1.9015e-006	
4000.000000	7.6529e-007	-3.4043e-002	6.8454e-006	
4100.000000	-3.8264e-007	-3.0261e-002	-9.1272e-006	
4200.000000	-9.5661e-007	-3.4043e-002	-9.1272e-006	
4300.000000	-3.6351e-006	-3.7826e-002	4.1833e-006	
4400.000000	-1.7219e-006	-3.0261e-002	7.6060e-007	
4500.000000	-1.9132e-006	-3.7826e-002	-1.4071e-005	
4600.000000	-3.0611e-006	-3.4043e-002	-5.3242e-006	
4700.000000	-3.0611e-006	-3.7826e-002	8.3666e-006	
4800.000000	5.7396e-006	-3.4043e-002	4.9439e-006	
4900.000000	6.3136e-006	-3.7826e-002	-7.6060e-006	
5000.000000	-8.4182e-006	-3.7826e-002	3.8030e-007	
5100.000000	-7.2702e-006	-2.6478e-002	-3.8030e-006	
5200.000000	-6.1223e-006	-2.2695e-002	-1.0648e-005	
5300.000000	-1.0523e-005	-3.4043e-002	-5.3242e-006	
5400.000000	-9.3748e-006	-3.4043e-002	-3.8030e-007	
5500.000000	-9.5661e-007	-3.7826e-002	-7.6060e-006	
5600.000000	-2.1045e-006	-3.4043e-002	-9.8878e-006	
5700.000000	-1.2245e-005	-3.7826e-002	1.9015e-006	
5800.000000	9.5661e-007	-3.7826e-002	-3.4227e-006	
5900.000000	3.4438e-006	-3.4043e-002	-1.2550e-005	
6000.000000	-8.8008e-006	-3.7826e-002	-5.7045e-006	
6100.000000	-5.1657e-006	-3.0261e-002	-3.8030e-007	
6200.000000	5.7396e-007	-2.6478e-002	-5.3242e-006	
6300.000000	-6.5049e-006	-3.0261e-002	-1.0268e-005	
6400.000000	-8.0355e-006	-3.0261e-002	4.5636e-006	
6500.000000	7.0789e-006	-3.7826e-002	5.3242e-006	
6600.000000	6.8876e-006	-3.4043e-002	0.0000e+000	
6700.000000	-8.6095e-006	-3.7826e-002	-3.8030e-007	
6800.000000	-4.9744e-006	-3.0261e-002	1.5212e-006	
6900.000000	1.1479e-006	-3.4043e-002	-9.1272e-006	
7000.000000	-3.2525e-006	-3.7826e-002	-1.1409e-006	
7100.000000	2.1045e-006	-3.0261e-002	7.2257e-006	
7200.000000	9.5661e-007	-3.4043e-002	-7.9863e-006	
7300.000000	-5.1657e-006	-3.0261e-002	-9.8878e-006	
7400.000000	-6.3136e-006	-2.6478e-002	8.3666e-006	
7500.000000	-5.7396e-007	-3.0261e-002	0.0000e+000	
7600.000000	-2.4872e-006	-3.0261e-002	-1.6353e-005	
7700.000000	-5.7396e-006	-3.0261e-002	6.0848e-006	
7800.000000	-7.4615e-006	-3.0261e-002	-1.1409e-006	
7900.000000	7.0789e-006	-3.0261e-002	-8.7469e-006	
8000.000000	-1.9132e-006	-3.7826e-002	-1.5212e-006	
8100.000000	-8.0355e-006	-3.0261e-002	4.1833e-006	
8200.000000	8.4182e-006	-3.4043e-002	-3.8030e-007	
8300.000000	-8.2268e-006	-3.4043e-002	-1.2930e-005	
8400.000000	-1.5306e-006	-2.6478e-002	4.9439e-006	
8500.000000	-5.7396e-007	-3.0261e-002	-4.9439e-006	
8600.000000	9.5661e-006	-3.4043e-002	-1.1409e-006	
8700.000000	-1.2245e-005	-3.0261e-002	-1.0268e-005	
8800.000000	-3.4438e-006	-3.0261e-002	1.0648e-005	
8900.000000	-1.9132e-007	-2.2695e-002	-5.7045e-006	
9000.000000	-2.1045e-006	-3.0261e-002	-1.1789e-005	
9100.000000	-4.9744e-006	-3.0261e-002	5.7045e-006	
9200.000000	-4.9744e-006	-3.4043e-002	-4.1833e-006	
9300.000000	4.0178e-006	-3.0261e-002	-6.0848e-006	
9400.000000	-4.0178e-006	-3.7826e-002	-1.1409e-006	
9500.000000	-8.8008e-006	-4.5391e-002	-1.9015e-006	
9600.000000	1.9132e-006	-3.4043e-002	-3.0424e-006	
9700.000000	-4.4004e-006	-3.7826e-002	-4.5636e-006	
9800.000000	-8.8008e-006	-3.4043e-002	7.6060e-007	
9900.000000	-1.9132e-007	-2.6478e-002	-1.0268e-005	
10000.000000	1.7219e-006	-3.7826e-002	-5.7045e-006	
10100.000000	-1.9132e-006	-3.4043e-002	9.5075e-006	
10200.000000	5.7396e-007	-3.4043e-002	6.0848e-006	
10300.000000	1.9132e-006	-2.6478e-002	-1.3691e-005	
10400.000000	-1.2819e-005	-3.0261e-002	-7.2257e-006	
10500.000000	-6.8876e-006	-3.4043e-002	0.0000e+000	
10600.000000	7.2702e-006	-3.4043e-002	-1.1409e-005	
10700.000000	-9.5661e-007	-3.4043e-002	3.8030e-007	
10800.000000	2.1045e-006	-3.4043e-002	5.3242e-006	
10900.000000	9.1834e-006	-2.6478e-002	3.8030e-007	
11000.000000	-4.9744e-006	-3.4043e-002	7.2257e-006	
11100.000000	2.2959e-006	5.4469e+000	-3.8030e-007	
11200.000000	-4.7830e-006	5.4431e+000	-1.6733e-005	
11300.000000	-1.0523e-005	5.4545e+000	3.8030e-006	
11400.000000	7.2702e-006	5.4734e+000	3.0424e-006	
11500.000000	-2.1045e-006	5.4658e+000	3.8030e-007	
11600.000000	-7.0789e-006	5.4961e+000	3.4227e-006	
11700.000000	-6.3136e-006	5.4810e+000	-9.1272e-006	
11800.000000	-1.7028e-005	5.5150e+000	1.5212e-006	
11900.000000	2.1045e-006	5.4923e+000	-2.2818e-006	
12000.000000	-2.6785e-006	5.5074e+000	-7.6060e-007	
12100.000000	-1.5306e-006	5.4961e+000	1.2550e-005	
12200.000000	1.0905e-005	5.5112e+000	1.1409e-006	
12300.000000	-1.9132e-006	5.5226e+000	4.1833e-006	
12400.000000	-7.6529e-007	5.5150e+000	1.4071e-005	
12500.000000	3.8264e-006	5.5301e+000	0.0000e+000	
12600.000000	-6.6963e-006	5.5377e+000	1.3691e-005	
12700.000000	8.2268e-006	5.5566e+000	1.5212e-005	
12800.000000	7.6529e-007	5.5453e+000	7.6060e-006	
12900.000000	-7.8442e-006	5.5490e+000	1.2930e-005	
13000.000000	6.8876e-006	5.5604e+000	1.6353e-005	
13100.000000	1.3393e-006	5.5642e+000	-3.8030e-007	
13200.000000	-1.2436e-005	5.5528e+000	7.6060e-006	
13300.000000	-3.6351e-006	5.5642e+000	7.6060e-007	
13400.000000	-5.3570e-006	5.5869e+000	4.5636e-006	
13500.000000	-6.6963e-006	5.5755e+000	1.6733e-005	
13600.000000	9.5661e-007	5.5906e+000	1.3311e-005	
13700.000000	1.3393e-006	5.6096e+000	1.1409e-006	
13800.000000	-1.0523e-005	5.6096e+000	6.4651e-006	
13900.000000	-5.7396e-006	5.6020e+000	1.1029e-005	
14000.000000	9.7574e-006	5.6133e+000	3.4227e-006	
14100.000000	-9.3748e-006	5.6020e+000	9.1272e-006	
14200.000000	-1.1479e-005	5.6323e+000	7.6060e-006	
14300.000000	7.0789e-006	5.6247e+000	8.7469e-006	
14400.000000	5.7396e-007	5.6285e+000	4.5636e-006	
14500.000000	-1.1671e-005	5.6436e+000	1.0648e-005	
14600.000000	1.9132e-006	5.6398e+000	1.7494e-005	
14700.000000	5.7396e-007	5.6739e+000	7.6060e-007	
14800.000000	-8.6095e-006	5.6398e+000	1.2170e-005	
14900.000000	2.2959e-006	5.6512e+000	2.0536e-005	
15000.000000	-4.9744e-006	5.6587e+000	-4.9439e-006	
15100.000000	-3.8264e-007	5.6663e+000	1.3691e-005	
15200.000000	-9.9487e-006	5.6739e+000	1.5973e-005	
15300.000000	3.8264e-006	5.7041e+000	8.3666e-006	
15400.000000	-1.3393e-005	5.6776e+000	7.6060e-007	
15500.000000	-9.7574e-006	5.7041e+000	1.2930e-005	
15600.000000	-6.5049e-006	5.7003e+000	4.9439e-006	
15700.000000	1.7219e-006	5.7155e+000	1.0648e-005	
15800.000000	-1.0905e-005	5.6966e+000	3.0424e-006	
15900.000000	-6.6963e-006	5.7155e+000	1.7874e-005	
16000.000000	-2.1045e-006	5.7155e+000	1.4451e-005	
16100.000000	-1.1479e-005	5.7193e+000	-1.1409e-006	
16200.000000	-6.1223e-006	5.7457e+000	1.7874e-005	
16300.000000	-1.3393e-006	5.7457e+000	1.2550e-005	
16400.000000	-3.8264e-007	5.7306e+000	-3.8030e-007	
16500.000000	-4.2091e-006	5.7533e+000	1.8635e-005	
16600.000000	-4.0178e-006	5.7646e+000	1.7114e-005	
16700.000000	-3.4438e-006	5.7533e+000	-1.5212e-006	
16800.000000	-5.3570e-006	5.7646e+000	7.2257e-006	
16900.000000	-7.6529e-007	5.7571e+000	2.3198e-005	
17000.000000	5.5483e-006	5.7987e+000	1.0268e-005	
17100.000000	-1.3584e-005	5.7722e+000	7.6060e-007	
17200.000000	-1.3201e-005	5.7949e+000	9.5075e-006	
17300.000000	5.7396e-007	5.7798e+000	1.1409e-005	
17400.000000	-3.8264e-006	5.7798e+000	1.0268e-005	
17500.000000	0.0000e+000	5.8025e+000	1.6733e-005	
17600.000000	5.5483e-006	5.8214e+000	1.2550e-005	
17700.000000	-9.5661e-007	5.8063e+000	1.3311e-005	
17800.000000	-4.7830e-006	5.8176e+000	1.7494e-005	
17900.000000	-3.2525e-006	5.8327e+000	4.1833e-006	
18000.000000	-1.0714e-005	5.8365e+000	4.5636e-006	
18100.000000	-8.9921e-006	5.8441e+000	1.2550e-005	
