sys1_resRen_0009.rec ( 3858 Echant/voies ) Période acquisition :5s
Date :9/18/2023 9:39:10 AM
Temps	y[V]	u[V]	y_avant[V]	
0.000000	-2.4298e-005	-3.7826e-002	-2.0156e-005	
5000.000000	-2.5828e-005	-2.6478e-002	-2.0917e-005	
10000.000000	-2.8124e-005	-3.4043e-002	-2.3579e-005	
15000.000000	-2.5828e-005	-3.7826e-002	-3.0804e-005	
20000.000000	-2.3533e-005	-3.4043e-002	-3.5748e-005	
25000.000000	-3.3290e-005	-3.7826e-002	-1.2930e-005	
30000.000000	-2.4872e-005	-4.1608e-002	-1.8254e-005	
35000.000000	-2.8124e-005	-2.2695e-002	-3.1565e-005	
40000.000000	-2.0854e-005	-3.7826e-002	-2.0917e-005	
45000.000000	-3.1568e-005	-3.4043e-002	-2.8142e-005	
50000.000000	-2.8890e-005	-4.1608e-002	-2.2818e-005	
55000.000000	-2.6976e-005	-4.5391e-002	-2.2057e-005	
60000.000000	-2.6976e-005	-3.0261e-002	-2.6621e-005	
65000.000000	-1.7602e-005	-3.7826e-002	-3.4607e-005	
70000.000000	-2.3341e-005	-3.7826e-002	-3.2326e-005	
75000.000000	-2.6020e-005	-4.1608e-002	-3.2326e-005	
80000.000000	-3.1568e-005	-3.7826e-002	-1.7114e-005	
85000.000000	-3.3290e-005	-3.4043e-002	-2.0536e-005	
90000.000000	-2.1428e-005	-3.4043e-002	-3.5748e-005	
95000.000000	-2.5446e-005	-3.4043e-002	-3.1565e-005	
100000.000000	-2.1619e-005	-3.4043e-002	-3.3847e-005	
105000.000000	-2.5446e-005	-3.7826e-002	-3.1565e-005	
110000.000000	-2.4107e-005	-4.1608e-002	-2.9663e-005	
115000.000000	-2.5063e-005	-3.4043e-002	-2.7762e-005	
120000.000000	-1.3393e-005	-3.7826e-002	-2.3579e-005	
125000.000000	-3.3864e-005	-3.0261e-002	-2.5860e-005	
130000.000000	-1.8558e-005	-4.1608e-002	-3.4607e-005	
135000.000000	-2.2002e-005	-4.1608e-002	-2.8903e-005	
140000.000000	-1.5880e-005	-4.5391e-002	-4.1453e-005	
145000.000000	-2.7168e-005	-3.4043e-002	-2.7001e-005	
150000.000000	-2.7742e-005	-4.1608e-002	-2.9663e-005	
155000.000000	-2.4680e-005	-3.0261e-002	-2.4339e-005	
160000.000000	-1.6645e-005	-3.4043e-002	-3.2706e-005	
165000.000000	-3.1568e-005	-3.7826e-002	-2.2438e-005	
170000.000000	-2.8698e-005	-4.5391e-002	-3.0044e-005	
175000.000000	-2.2002e-005	-3.4043e-002	-2.5860e-005	
180000.000000	-2.2767e-005	-4.1608e-002	-3.1565e-005	
185000.000000	-2.4872e-005	-4.1608e-002	-2.7762e-005	
190000.000000	-3.1185e-005	-3.7826e-002	-3.0804e-005	
195000.000000	-2.3533e-005	-3.7826e-002	-3.7269e-005	
200000.000000	-3.4821e-005	-3.4043e-002	-1.8635e-005	
205000.000000	-3.1377e-005	-4.5391e-002	-2.1297e-005	
210000.000000	-2.7359e-005	-4.1608e-002	-3.8410e-005	
215000.000000	-1.8750e-005	-3.7826e-002	-2.7001e-005	
220000.000000	-2.6976e-005	-4.1608e-002	-3.3466e-005	
225000.000000	-3.0229e-005	-3.4043e-002	-3.9171e-005	
230000.000000	-3.5203e-005	-3.4043e-002	-3.9551e-005	
235000.000000	-3.5203e-005	-3.0261e-002	-2.4339e-005	
240000.000000	-3.5586e-005	-4.1608e-002	-3.8030e-005	
245000.000000	-2.0280e-005	-3.7826e-002	-2.4339e-005	
250000.000000	-2.9464e-005	-3.4043e-002	-3.2326e-005	
255000.000000	-2.1428e-005	-3.7826e-002	-3.9932e-005	
260000.000000	-2.3341e-005	-4.1608e-002	-3.8030e-005	
265000.000000	-2.9846e-005	-3.4043e-002	-3.0044e-005	
270000.000000	-1.9132e-005	-3.7826e-002	-2.1677e-005	
275000.000000	-3.0420e-005	-3.7826e-002	-3.7650e-005	
280000.000000	-4.2665e-005	-4.1608e-002	-3.3466e-005	
285000.000000	-3.1377e-005	-3.0261e-002	-2.0917e-005	
290000.000000	-3.3290e-005	-3.7826e-002	-3.6509e-005	
295000.000000	-3.0420e-005	1.4960e+001	-2.2818e-005	
300000.000000	-2.8124e-005	1.4960e+001	6.1609e-005	
305000.000000	-2.2002e-005	1.4968e+001	8.0243e-005	
310000.000000	-2.4107e-005	1.4960e+001	7.7962e-005	
315000.000000	-6.3136e-006	1.4964e+001	7.9102e-005	
320000.000000	-6.3136e-006	1.4964e+001	8.1384e-005	
325000.000000	-1.5306e-006	1.4964e+001	8.1765e-005	
330000.000000	-6.5049e-006	1.4968e+001	1.0306e-004	
335000.000000	1.3775e-005	1.4960e+001	9.7737e-005	
340000.000000	9.5661e-007	1.4956e+001	9.8878e-005	
345000.000000	9.1834e-006	1.4964e+001	1.0763e-004	
350000.000000	6.3136e-006	1.4956e+001	1.0686e-004	
355000.000000	1.7793e-005	1.4949e+001	1.2208e-004	
360000.000000	2.1811e-005	1.4960e+001	1.2132e-004	
365000.000000	2.4489e-005	1.4960e+001	1.3501e-004	
370000.000000	3.8264e-005	1.4964e+001	1.2398e-004	
375000.000000	2.9464e-005	1.4964e+001	1.3957e-004	
380000.000000	3.4055e-005	1.4960e+001	1.3120e-004	
385000.000000	3.6351e-005	1.4956e+001	1.3767e-004	
390000.000000	5.1657e-005	1.4960e+001	1.3425e-004	
395000.000000	4.5726e-005	1.4960e+001	1.4908e-004	
400000.000000	5.4335e-005	1.4960e+001	1.5136e-004	
405000.000000	6.0649e-005	1.4953e+001	1.4680e-004	
410000.000000	5.8353e-005	1.4956e+001	1.5022e-004	
415000.000000	5.7588e-005	1.4956e+001	1.6619e-004	
420000.000000	6.4858e-005	1.4960e+001	1.7456e-004	
425000.000000	7.3850e-005	1.4960e+001	1.6961e-004	
430000.000000	8.5903e-005	1.4956e+001	1.5820e-004	
435000.000000	7.7677e-005	1.4956e+001	1.6999e-004	
440000.000000	7.6337e-005	1.4953e+001	1.8673e-004	
445000.000000	9.1260e-005	1.4968e+001	1.8559e-004	
450000.000000	8.5903e-005	1.4964e+001	1.9433e-004	
455000.000000	8.3990e-005	1.4960e+001	2.0460e-004	
460000.000000	1.0274e-004	1.4956e+001	1.9890e-004	
465000.000000	1.0312e-004	1.4953e+001	1.8749e-004	
470000.000000	1.0599e-004	1.4953e+001	1.9243e-004	
475000.000000	1.1824e-004	1.4956e+001	2.0384e-004	
480000.000000	1.0848e-004	1.4956e+001	2.0917e-004	
485000.000000	1.1862e-004	1.4956e+001	2.1373e-004	
490000.000000	1.2187e-004	1.4956e+001	2.1373e-004	
495000.000000	1.3316e-004	1.4956e+001	2.1905e-004	
500000.000000	1.2857e-004	1.4953e+001	2.1449e-004	
505000.000000	1.3679e-004	1.4964e+001	2.1449e-004	
510000.000000	1.3354e-004	1.4960e+001	2.2780e-004	
515000.000000	1.4100e-004	1.4971e+001	2.4453e-004	
520000.000000	1.4751e-004	1.4953e+001	2.2742e-004	
525000.000000	1.5382e-004	1.4956e+001	2.4415e-004	
530000.000000	1.4942e-004	1.4956e+001	2.4453e-004	
535000.000000	1.5019e-004	1.4960e+001	2.4872e-004	
540000.000000	1.5248e-004	1.4953e+001	2.5784e-004	
545000.000000	1.4847e-004	1.4953e+001	2.5936e-004	
550000.000000	1.7104e-004	1.4960e+001	2.5100e-004	
555000.000000	1.6549e-004	1.4953e+001	2.7572e-004	
560000.000000	1.7372e-004	1.4960e+001	2.6887e-004	
565000.000000	1.7429e-004	1.4956e+001	2.6887e-004	
570000.000000	1.8271e-004	1.4953e+001	2.6811e-004	
