sys1_resRen_0004.rec ( 6703 Echant/voies ) Période acquisition :100ms
Date :9/14/2023 10:45:56 AM
Temps	y[V]	u[V]	y_avant[V]	
0.000000	-2.5446e-005	-4.9174e-002	-3.5368e-005	
100.000000	-2.2576e-005	-3.4043e-002	-3.6889e-005	
200.000000	-2.6785e-005	-4.1608e-002	-3.0044e-005	
300.000000	-2.5063e-005	-3.0261e-002	-2.1677e-005	
400.000000	-2.5828e-005	-4.1608e-002	-2.6241e-005	
500.000000	-3.2525e-005	-3.4043e-002	-2.6621e-005	
600.000000	-3.3481e-005	-3.7826e-002	-2.1297e-005	
700.000000	-2.6594e-005	-3.7826e-002	-3.1945e-005	
800.000000	-3.2142e-005	-3.4043e-002	-2.9283e-005	
900.000000	-2.7359e-005	-4.1608e-002	-3.0044e-005	
1000.000000	-2.0280e-005	-4.5391e-002	-3.5368e-005	
1100.000000	-1.5688e-005	-3.7826e-002	-2.8523e-005	
1200.000000	-1.4732e-005	-3.7826e-002	-2.7001e-005	
1300.000000	-1.7410e-005	-4.1608e-002	-2.1297e-005	
1400.000000	-2.6020e-005	-3.7826e-002	-3.1565e-005	
1500.000000	-1.9897e-005	-3.7826e-002	-2.1677e-005	
1600.000000	-3.3290e-005	-3.4043e-002	-1.5212e-005	
1700.000000	-2.2767e-005	-4.5391e-002	-2.6241e-005	
1800.000000	-2.6402e-005	-3.7826e-002	-2.5860e-005	
1900.000000	-3.0611e-005	-3.4043e-002	-1.8635e-005	
2000.000000	-3.1377e-005	-3.7826e-002	-2.6621e-005	
2100.000000	-2.6976e-005	-3.4043e-002	-3.4607e-005	
2200.000000	-2.4107e-005	-3.0261e-002	-2.3959e-005	
2300.000000	-3.3673e-005	-3.7826e-002	-1.9395e-005	
2400.000000	-3.6160e-005	-4.5391e-002	-2.1677e-005	
2500.000000	-3.0611e-005	-4.1608e-002	-2.8523e-005	
2600.000000	-2.8698e-005	-3.7826e-002	-2.4720e-005	
2700.000000	-2.6785e-005	-3.7826e-002	-3.4607e-005	
2800.000000	-2.6594e-005	-3.4043e-002	-2.8142e-005	
2900.000000	-2.4489e-005	-3.4043e-002	-2.3198e-005	
