sys1_resFlu_0006.rec ( 3572 Echant/voies ) Période acquisition :100ms
Date :9/12/2023 12:59:07 PM
Temps	y[V]	u[V]	y_avant[V]	
0.000000	5.7588e-005	-2.2695e-002	6.3136e-005	
100.000000	7.5572e-005	-2.6478e-002	6.2180e-005	
200.000000	5.0700e-005	-2.2695e-002	8.2077e-005	
300.000000	6.1797e-005	-2.2695e-002	6.0649e-005	
400.000000	7.6529e-005	-2.6478e-002	6.2945e-005	
500.000000	5.8353e-005	-3.0261e-002	7.4998e-005	
600.000000	6.0458e-005	-1.8913e-002	6.8684e-005	
700.000000	6.6389e-005	-2.6478e-002	6.7728e-005	
800.000000	5.3761e-005	-3.0261e-002	6.9450e-005	
900.000000	6.5623e-005	-2.2695e-002	6.1988e-005	
1000.000000	6.6580e-005	-1.8913e-002	6.6963e-005	
1100.000000	5.3570e-005	-1.5130e-002	7.4041e-005	
1200.000000	6.6580e-005	-3.0261e-002	6.3710e-005	
1300.000000	6.7345e-005	-2.2695e-002	7.7677e-005	
1400.000000	6.2371e-005	-2.6478e-002	7.3276e-005	
1500.000000	7.1172e-005	-2.2695e-002	6.2180e-005	
1600.000000	6.1606e-005	-3.0261e-002	7.6911e-005	
1700.000000	6.4093e-005	-3.0261e-002	6.2945e-005	
1800.000000	6.5241e-005	-2.2695e-002	6.3901e-005	
1900.000000	6.1606e-005	-2.6478e-002	7.7677e-005	
2000.000000	5.7588e-005	-2.2695e-002	6.6963e-005	
2100.000000	7.4998e-005	-1.1348e-002	6.9641e-005	
2200.000000	5.6249e-005	-2.6478e-002	7.8633e-005	
2300.000000	5.8353e-005	-1.8913e-002	5.8353e-005	
2400.000000	6.9258e-005	-2.6478e-002	6.9832e-005	
2500.000000	6.7919e-005	-2.2695e-002	7.4615e-005	
2600.000000	6.9450e-005	-3.0261e-002	6.7919e-005	
2700.000000	6.0840e-005	-1.8913e-002	8.2460e-005	
2800.000000	6.0075e-005	-2.6478e-002	6.7345e-005	
2900.000000	6.9641e-005	-1.8913e-002	7.7294e-005	
3000.000000	5.5675e-005	-1.8913e-002	7.4233e-005	
3100.000000	6.9641e-005	-3.4043e-002	6.5241e-005	
3200.000000	6.3710e-005	-3.0261e-002	7.6720e-005	
3300.000000	6.4284e-005	-2.6478e-002	5.7970e-005	
3400.000000	6.8111e-005	-3.0261e-002	7.0215e-005	
3500.000000	5.7205e-005	-2.2695e-002	7.4424e-005	
3600.000000	7.4424e-005	-3.0261e-002	5.9310e-005	
3700.000000	5.4718e-005	-3.0261e-002	7.4041e-005	
3800.000000	6.6963e-005	-2.6478e-002	7.0215e-005	
3900.000000	6.6197e-005	-1.8913e-002	7.0215e-005	
4000.000000	6.3136e-005	-3.0261e-002	6.4667e-005	
4100.000000	6.1797e-005	-3.0261e-002	6.8493e-005	
4200.000000	6.2371e-005	-3.0261e-002	7.4615e-005	
4300.000000	6.4093e-005	-1.8913e-002	6.7345e-005	
4400.000000	7.3659e-005	-1.8913e-002	6.4858e-005	
4500.000000	6.0649e-005	-3.0261e-002	7.9398e-005	
