sys1_resRen_0008.rec ( 50454 Echant/voies ) Période acquisition :5ms
Date :9/15/2023 2:58:39 PM
Temps	y[V]	u[V]	y_avant[V]	
0.000000	-1.5497e-005	-3.7826e-002	-2.3198e-005	
5.000000	-2.6211e-005	-3.7826e-002	-1.6733e-005	
10.000000	-9.3748e-006	-3.7826e-002	-2.4339e-005	
15.000000	-3.0803e-005	-3.7826e-002	-1.8635e-005	
20.000000	-1.9897e-005	-4.1608e-002	-1.8635e-005	
25.000000	-1.3393e-005	-3.7826e-002	-1.7114e-005	
30.000000	-1.3393e-005	-4.1608e-002	-2.8142e-005	
35.000000	-2.9464e-005	-3.7826e-002	-9.8878e-006	
40.000000	-1.1479e-005	-3.0261e-002	-1.9776e-005	
45.000000	-2.7933e-005	-3.0261e-002	-2.8142e-005	
50.000000	-2.0663e-005	-3.4043e-002	-2.8142e-005	
55.000000	-1.3584e-005	-3.7826e-002	-9.8878e-006	
60.000000	-1.3584e-005	-3.7826e-002	-3.2326e-005	
65.000000	-2.6020e-005	-3.7826e-002	-1.2170e-005	
70.000000	-1.8750e-005	-3.0261e-002	-1.7494e-005	
75.000000	-2.0280e-005	-3.0261e-002	-3.0424e-005	
80.000000	-2.4872e-005	-3.7826e-002	-3.0424e-005	
85.000000	-2.0471e-005	-4.5391e-002	-9.1272e-006	
90.000000	-2.0471e-005	-3.7826e-002	-3.0804e-005	
95.000000	-1.3775e-005	-3.4043e-002	-1.5212e-005	
100.000000	-2.3341e-005	-3.4043e-002	-2.0156e-005	
105.000000	-1.8941e-005	-3.4043e-002	-2.9283e-005	
110.000000	-1.8750e-005	-3.4043e-002	-2.9283e-005	
115.000000	-2.4489e-005	-4.1608e-002	-1.9395e-005	
120.000000	-2.4489e-005	-3.4043e-002	-2.1297e-005	
125.000000	-1.3393e-005	-4.1608e-002	-1.7494e-005	
130.000000	-2.6402e-005	-4.9174e-002	-1.8635e-005	
135.000000	-1.6645e-005	-4.9174e-002	-2.0917e-005	
140.000000	-1.7984e-005	-3.0261e-002	-2.0917e-005	
145.000000	-2.4680e-005	-3.7826e-002	-2.1677e-005	
150.000000	-2.4680e-005	-3.0261e-002	-1.2550e-005	
