sys2_polBas_0001.rec ( 4194 Echant/voies ) Période acquisition :100ms
Date :07/07/2023 16:57:43
Temps	y[V]	u[V]	phi[V]	
0,000000	1,3584e-005	3,4887e+001	6,0701e-003	
100,000000	1,7602e-005	3,4898e+001	1,0986e-002	
200,000000	2,7933e-005	3,4894e+001	1,5443e-002	
300,000000	1,3010e-005	3,4894e+001	1,8670e-002	
400,000000	-6,1223e-006	3,4887e+001	2,1147e-002	
500,000000	4,7830e-006	3,4887e+001	2,4243e-002	
600,000000	1,8750e-005	3,4890e+001	2,7320e-002	
700,000000	3,0803e-005	3,4894e+001	3,0397e-002	
800,000000	4,0943e-005	3,4887e+001	3,3475e-002	
900,000000	2,8507e-005	3,4894e+001	3,6205e-002	
1000,000000	3,1951e-005	3,4894e+001	3,8785e-002	
1100,000000	4,9935e-005	3,4890e+001	4,1055e-002	
1200,000000	6,4858e-005	3,4890e+001	4,3119e-002	
1300,000000	8,7051e-005	3,4887e+001	4,4968e-002	
1400,000000	9,0878e-005	3,4894e+001	4,6609e-002	
1500,000000	8,0355e-005	3,4887e+001	4,8176e-002	
1600,000000	9,4322e-005	3,4890e+001	4,9583e-002	
1700,000000	9,7574e-005	3,4890e+001	5,0784e-002	
1800,000000	1,2455e-004	3,4879e+001	5,1910e-002	
1900,000000	1,5248e-004	3,4890e+001	5,2952e-002	
2000,000000	1,5057e-004	3,4887e+001	5,3899e-002	
2100,000000	1,6454e-004	3,4887e+001	5,4800e-002	
2200,000000	1,6626e-004	3,4887e+001	5,5588e-002	
2300,000000	1,6109e-004	3,4898e+001	5,6329e-002	
2400,000000	1,8290e-004	3,4898e+001	5,6995e-002	
2500,000000	1,8998e-004	3,4906e+001	5,7586e-002	
2600,000000	2,1179e-004	3,4887e+001	5,8243e-002	
2700,000000	2,3647e-004	3,4894e+001	5,8712e-002	
2800,000000	2,3207e-004	3,4887e+001	5,9219e-002	
2900,000000	2,3992e-004	3,4890e+001	5,9819e-002	
3000,000000	2,2939e-004	3,4887e+001	6,0307e-002	
3100,000000	2,5216e-004	3,4890e+001	6,0767e-002	
3200,000000	2,7914e-004	3,4894e+001	6,1133e-002	
3300,000000	2,8737e-004	3,4890e+001	6,1423e-002	
3400,000000	3,0133e-004	3,4894e+001	6,1752e-002	
3500,000000	2,9387e-004	3,4887e+001	6,2136e-002	
3600,000000	2,9464e-004	3,4890e+001	6,2521e-002	
3700,000000	3,2085e-004	3,4883e+001	6,2962e-002	
3800,000000	3,3768e-004	3,4887e+001	6,3281e-002	
3900,000000	3,5452e-004	3,4890e+001	6,3497e-002	
4000,000000	3,4380e-004	3,4890e+001	6,3675e-002	
4100,000000	3,4514e-004	3,4875e+001	6,3835e-002	
4200,000000	3,6657e-004	3,4887e+001	6,3900e-002	
