t,   y,   u
0.000000,   0.004379,   34.901123,   0.007795
367.000000,   0.007813,   34.882812,   0.014832
484.000000,   -0.009048,   34.890137,   0.016059
517.000000,   0.021774,   34.882812,   0.019147
618.000000,   0.028107,   34.893799,   0.028080
926.000000,   0.050079,   34.893799,   0.036747
1218.000000,   0.053513,   34.890137,   0.043879
1540.000000,   0.094483,   34.893799,   0.048221
1805.000000,   0.124542,   34.877930,   0.051908
2100.000000,   0.149796,   34.897461,   0.054713
2392.000000,   0.199310,   34.886475,   0.057087
2714.000000,   0.208084,   34.882812,   0.058777
3012.000000,   0.239899,   34.886475,   0.060157
3266.000000,   0.266678,   34.877930,   0.061301
3558.000000,   0.316956,   34.893799,   0.062333
3847.000000,   0.325958,   34.886475,   0.063486
4170.000000,   0.352966,   34.877930,   0.063898
4466.000000,   0.396607,   34.890137,   0.063926
4732.000000,   0.402710,   34.890137,   0.063627
5071.000000,   0.455124,   34.882812,   0.063437
5372.000000,   0.449402,   34.893799,   0.063364
5636.000000,   0.480530,   34.886475,   0.063532
5958.000000,   0.492966,   34.882812,   0.063120
6303.000000,   0.529892,   34.890137,   0.063306
6624.000000,   0.548126,   34.882812,   0.063682
6884.000000,   0.564377,   34.901123,   0.064057
7176.000000,   0.580246,   34.882812,   0.065522
7466.000000,   0.597107,   34.897461,   0.069236
7790.000000,   0.620606,   34.886475,   0.070280
8084.000000,   0.634949,   34.897461,   0.070908
8348.000000,   0.650818,   34.882812,   0.071741
8693.000000,   0.661194,   34.890137,   0.072672
9018.000000,   0.692169,   34.886475,   0.072388
9304.000000,   0.679733,   34.877930,   0.072324
9572.000000,   0.718338,   34.893799,   0.073392
9900.000000,   0.708801,   34.890137,   0.071882
10197.000000,   0.728867,   34.890137,   0.071781
10522.000000,   0.754120,   34.882812,   0.072501
10812.000000,   0.759689,   34.886475,   0.072990
11074.000000,   0.760452,   34.893799,   0.075175
11403.000000,   0.766174,   34.893799,   0.075712
11734.000000,   0.783798,   34.882812,   0.075767
11984.000000,   0.819428,   34.897461,   0.074885
12276.000000,   0.819199,   34.893799,   0.074070
12563.000000,   0.833771,   34.886475,   0.073243
12857.000000,   0.853226,   34.886475,   0.072953
13377.000000,   0.840408,   34.874268,   0.072465
13426.000000,   0.857117,   34.877930,   0.075681
13716.000000,   0.874664,   34.890137,   0.076789
14036.000000,   0.867951,   34.874268,   0.077100
14328.000000,   0.890534,   34.882812,   0.077729
14651.000000,   0.905487,   34.890137,   0.077625
14917.000000,   0.902817,   34.897461,   0.078440
15237.000000,   0.907013,   34.877930,   0.079362
15522.000000,   0.907242,   34.886475,   0.078733
15814.000000,   0.934555,   34.893799,   0.079182
16138.000000,   0.921356,   34.890137,   0.078751
16460.000000,   0.930969,   34.886475,   0.077802
