sys2_isoBas_0001.rec ( 6091 Echant/voies ) Période acquisition :100ms
Date :31/08/2023 10:38:11
Temps	y[V]	u[V]	phi[V]	y_avant[V]	
0,000000	-9,3748e-006	-7,5652e-003	-7,9675e-005	-7,8442e-006	
100,000000	-2,1619e-005	-2,2695e-002	-1,0623e-004	-2,4872e-006	
200,000000	7,7485e-005	-1,5130e-002	-1,2520e-004	-1,8750e-005	
300,000000	4,3047e-005	-1,1348e-002	-1,2520e-004	3,9604e-005	
400,000000	3,3481e-005	-1,1348e-002	-1,0623e-004	3,0994e-005	
500,000000	3,3099e-005	-2,2695e-002	-1,0244e-004	2,6594e-005	
600,000000	-2,5637e-005	-2,6478e-002	-1,0244e-004	2,5063e-005	
700,000000	-4,2091e-006	-1,8913e-002	-8,7263e-005	-2,3915e-005	
800,000000	-2,4872e-006	-1,1348e-002	-1,4417e-004	-6,6963e-006	
900,000000	3,9412e-005	-3,7826e-003	-9,8646e-005	4,5917e-006	
1000,000000	2,0471e-005	-1,8913e-002	-1,4038e-004	3,2525e-005	
1100,000000	4,4961e-005	-1,5130e-002	-9,1057e-005	2,4680e-005	
1200,000000	-1,0331e-005	-1,1348e-002	-8,7263e-005	3,2716e-005	
1300,000000	-2,6785e-006	-1,5130e-002	-9,8646e-005	-1,5880e-005	
1400,000000	-1,3966e-005	-1,8913e-002	-1,1382e-004	4,4004e-006	
1500,000000	1,3775e-005	-1,1348e-002	-1,1762e-004	-1,7984e-005	
1600,000000	5,0318e-005	-1,8913e-002	-1,3279e-004	2,3150e-005	
1700,000000	-1,9323e-005	-7,5652e-003	-9,4851e-005	3,9030e-005	
1800,000000	-6,8876e-006	0,0000e+000	-8,3469e-005	-2,3915e-005	
1900,000000	-5,7396e-007	-1,8913e-002	-1,4417e-004	-7,2702e-006	
2000,000000	3,3864e-005	-1,8913e-002	-1,0244e-004	-6,8876e-006	
2100,000000	5,1657e-006	-1,5130e-002	-1,3659e-004	3,1377e-005	
2200,000000	5,1083e-005	-1,8913e-002	-9,1057e-005	1,0905e-005	
