sys2_resFlu_0001.REC ( 9817 Echant/voies ) Période acquisition :100ms
Date :9/5/2023 11:00:17 AM
Temps	y[V]	u[V]	y_avant[V]	
0.000000	-7.2702e-006	-3.0261e-002	-2.1237e-005	
100.000000	-2.4872e-006	-3.0261e-002	-2.0854e-005	
200.000000	-2.0089e-005	-1.8913e-002	-2.6211e-005	
300.000000	-3.0420e-005	-1.8913e-002	-1.3393e-005	
400.000000	-2.8316e-005	-3.0261e-002	-1.0905e-005	
500.000000	-1.7219e-005	-1.8913e-002	-4.0178e-006	
600.000000	-2.5063e-005	-1.8913e-002	-8.8008e-006	
700.000000	-1.8367e-005	-1.5130e-002	-7.0789e-006	
800.000000	-2.6020e-005	-2.6478e-002	-8.6095e-006	
900.000000	-1.9706e-005	-7.5652e-003	1.9132e-006	
1000.000000	-1.6836e-005	-1.5130e-002	8.9921e-006	
1100.000000	-3.2525e-006	-1.8913e-002	1.3393e-006	
1200.000000	-3.8264e-006	-2.2695e-002	-1.6454e-005	
1300.000000	-6.8876e-006	-2.6478e-002	-2.9272e-005	
1400.000000	-7.8442e-006	-2.6478e-002	-3.0994e-005	
1500.000000	-2.2767e-005	-2.6478e-002	-1.3201e-005	
1600.000000	-2.4107e-005	-2.2695e-002	-1.0140e-005	
1700.000000	-1.4540e-005	-1.8913e-002	-5.9310e-006	
1800.000000	-1.9706e-005	-2.2695e-002	-6.1223e-006	
1900.000000	-2.2002e-005	-2.2695e-002	-4.5917e-006	
2000.000000	-2.2385e-005	-1.8913e-002	1.3393e-006	
2100.000000	-1.7984e-005	-7.5652e-003	1.3393e-006	
2200.000000	-9.5661e-007	-3.4043e-002	-2.8698e-006	
2300.000000	-2.4872e-006	-2.6478e-002	-1.6454e-005	
2400.000000	-2.6785e-006	-2.6478e-002	-1.5880e-005	
2500.000000	-1.6262e-005	-2.2695e-002	-2.0663e-005	
2600.000000	-1.7602e-005	-1.8913e-002	-1.5306e-005	
2700.000000	-2.5637e-005	-2.6478e-002	-9.7574e-006	
2800.000000	-1.9515e-005	-1.8913e-002	-8.8008e-006	
2900.000000	-1.8750e-005	-2.6478e-002	-7.8442e-006	
3000.000000	-1.6836e-005	-2.2695e-002	-9.7574e-006	
3100.000000	-1.6071e-005	-2.6478e-002	2.1045e-006	
3200.000000	-2.1045e-005	-1.1348e-002	-1.5306e-006	
3300.000000	-8.4182e-006	-3.0261e-002	-2.6785e-006	
