sys2_resFlu_0003.REC ( 6053 Echant/voies ) Période acquisition :100ms
Date :9/5/2023 5:26:05 PM
Temps	y[V]	u[V]	y_avant[V]	
0.000000	-2.9655e-005	-3.4043e-002	-5.2039e-005	
100.000000	-3.2716e-005	-3.0261e-002	-3.9412e-005	
200.000000	-2.7742e-005	-2.6478e-002	-4.7639e-005	
300.000000	-2.7933e-005	-2.6478e-002	-5.0509e-005	
400.000000	-3.6351e-005	-3.7826e-002	-5.7205e-005	
500.000000	-3.2716e-005	-3.7826e-002	-4.7448e-005	
600.000000	-3.7882e-005	-3.0261e-002	-4.4578e-005	
700.000000	-2.3150e-005	-2.6478e-002	-5.4144e-005	
800.000000	-3.8264e-005	-2.2695e-002	-5.7588e-005	
900.000000	-2.9655e-005	-3.4043e-002	-4.7830e-005	
1000.000000	-3.4821e-005	-3.4043e-002	-4.8404e-005	
1100.000000	-2.4872e-005	-2.2695e-002	-5.5292e-005	
1200.000000	-4.2282e-005	-1.8913e-002	-4.8787e-005	
1300.000000	-2.1045e-005	-3.0261e-002	-5.0700e-005	
1400.000000	-3.6351e-005	-3.4043e-002	-4.7065e-005	
1500.000000	-3.0037e-005	-2.6478e-002	-5.2231e-005	
1600.000000	-3.2525e-005	-3.0261e-002	-4.4195e-005	
1700.000000	-2.4298e-005	-1.8913e-002	-5.6057e-005	
1800.000000	-3.5777e-005	-3.4043e-002	-2.8890e-005	
1900.000000	-2.7550e-005	-2.6478e-002	-6.1988e-005	
2000.000000	-3.3673e-005	-3.4043e-002	-5.0700e-005	
2100.000000	-3.3673e-005	-3.0261e-002	-4.6874e-005	
2200.000000	-2.3915e-005	-2.6478e-002	-5.3187e-005	
2300.000000	-3.2716e-005	-3.4043e-002	-4.6682e-005	
2400.000000	-2.1237e-005	-2.6478e-002	-5.6057e-005	
2500.000000	-3.8456e-005	-3.4043e-002	-4.2665e-005	
2600.000000	-2.0280e-005	-3.0261e-002	-5.7588e-005	
2700.000000	-4.3047e-005	-2.6478e-002	-4.8787e-005	
2800.000000	-2.6976e-005	-2.6478e-002	-5.7588e-005	
2900.000000	-3.7690e-005	-3.4043e-002	-4.8978e-005	
3000.000000	-2.5254e-005	-2.6478e-002	-5.7970e-005	
3100.000000	-3.8073e-005	-3.0261e-002	-4.4578e-005	
3200.000000	-2.8124e-005	-2.2695e-002	-5.5292e-005	
3300.000000	-3.1759e-005	-4.1608e-002	-4.4961e-005	
3400.000000	-3.2333e-005	-3.0261e-002	-5.3761e-005	
3500.000000	-2.6211e-005	-1.8913e-002	-4.6874e-005	
3600.000000	-3.3099e-005	-1.8913e-002	-5.5675e-005	
3700.000000	-2.3724e-005	-2.2695e-002	-5.5101e-005	
3800.000000	-4.6491e-005	-3.0261e-002	-4.9552e-005	
3900.000000	-1.9515e-005	-3.0261e-002	-6.0840e-005	
4000.000000	-3.6351e-005	-2.6478e-002	-3.8264e-005	
4100.000000	-3.2716e-005	-3.4043e-002	-6.0840e-005	
4200.000000	-2.4489e-005	-3.4043e-002	-5.1466e-005	
4300.000000	-3.5203e-005	-2.6478e-002	-5.1083e-005	
4400.000000	-3.1185e-005	-3.0261e-002	-5.4144e-005	
4500.000000	-2.8507e-005	-2.6478e-002	-5.6249e-005	
4600.000000	-3.0803e-005	-2.2695e-002	-4.5726e-005	
4700.000000	-3.9030e-005	-2.2695e-002	-5.5292e-005	
4800.000000	-1.9323e-005	-2.6478e-002	-5.6631e-005	
4900.000000	-3.6542e-005	-2.6478e-002	-4.5917e-005	
5000.000000	-2.7742e-005	-2.6478e-002	-5.2613e-005	
5100.000000	-3.5777e-005	-3.4043e-002	-5.2422e-005	
5200.000000	-2.1237e-005	-2.6478e-002	-5.7970e-005	
5300.000000	-3.0803e-005	-2.2695e-002	-3.5012e-005	
5400.000000	-3.0037e-005	-3.4043e-002	-5.6249e-005	
5500.000000	-3.4821e-005	-3.7826e-002	-3.9221e-005	
5600.000000	-2.8890e-005	-3.0261e-002	-5.7014e-005	
5700.000000	-2.7550e-005	-3.4043e-002	-4.4578e-005	
5800.000000	-2.8890e-005	-3.0261e-002	-5.7588e-005	
5900.000000	-3.1951e-005	-3.0261e-002	-3.8838e-005	
