sys2_resFlu_0009.rec ( 9670 Echant/voies ) Période acquisition :100ms
Date :9/29/2023 5:51:18 PM
Temps	y[V]	u[V]	y_avant[V]	
0.000000	-3.2333e-005	-3.4043e-002	-2.7762e-005	
100.000000	-2.4298e-005	-2.6478e-002	-2.1677e-005	
200.000000	-1.6645e-005	-3.7826e-002	-2.4339e-005	
300.000000	-2.0471e-005	-3.7826e-002	-2.7001e-005	
400.000000	-1.8367e-005	-3.7826e-002	-2.5480e-005	
500.000000	-1.4540e-005	-2.6478e-002	-1.4451e-005	
600.000000	-1.9515e-005	-3.4043e-002	-2.0917e-005	
700.000000	-2.4872e-005	-3.4043e-002	-2.0156e-005	
800.000000	-1.7219e-005	-3.4043e-002	-1.6733e-005	
900.000000	-2.8316e-005	-3.4043e-002	-1.7874e-005	
1000.000000	-3.0037e-005	-3.7826e-002	-1.7494e-005	
1100.000000	-2.4680e-005	-3.7826e-002	-1.8254e-005	
1200.000000	-2.7933e-005	-3.0261e-002	-3.5368e-005	
1300.000000	-1.1288e-005	-3.4043e-002	-2.6241e-005	
1400.000000	-2.3724e-005	-3.4043e-002	-2.7382e-005	
1500.000000	-1.7410e-005	-2.6478e-002	-1.7874e-005	
1600.000000	-2.3724e-005	-3.7826e-002	-1.9395e-005	
1700.000000	-1.8941e-005	-3.7826e-002	-1.2930e-005	
1800.000000	-2.5063e-005	-3.0261e-002	-1.9015e-005	
1900.000000	-2.5254e-005	-3.7826e-002	-1.1029e-005	
2000.000000	-3.1759e-005	-2.6478e-002	-2.2438e-005	
2100.000000	-2.4107e-005	-3.4043e-002	-1.7494e-005	
2200.000000	-2.9272e-005	-3.4043e-002	-3.3466e-005	
2300.000000	-1.7219e-005	-2.6478e-002	-2.4720e-005	
2400.000000	-2.1428e-005	-3.7826e-002	-3.3847e-005	
2500.000000	-1.0905e-005	-3.4043e-002	-2.5480e-005	
2600.000000	-1.5497e-005	-3.4043e-002	-2.9283e-005	
2700.000000	-1.5688e-005	-3.4043e-002	-2.5860e-005	
2800.000000	-1.6262e-005	-2.6478e-002	-1.4832e-005	
2900.000000	-2.3150e-005	-4.1608e-002	-1.8635e-005	
3000.000000	-2.0854e-005	-3.4043e-002	-1.6353e-005	
3100.000000	-2.7742e-005	-3.0261e-002	-1.3691e-005	
3200.000000	-3.0611e-005	-3.0261e-002	-3.0804e-005	
3300.000000	-2.2959e-005	-4.1608e-002	-2.7001e-005	
3400.000000	-1.9323e-005	-3.7826e-002	-2.1297e-005	
3500.000000	-1.9132e-005	-4.1608e-002	-3.5748e-005	
3600.000000	-1.8176e-005	-1.8913e-002	-3.1565e-005	
3700.000000	-1.3201e-005	-3.4043e-002	-1.9015e-005	
3800.000000	-1.6645e-005	-3.7826e-002	-1.3691e-005	
3900.000000	-3.2907e-005	-3.0261e-002	-2.2057e-005	
4000.000000	-3.1568e-005	-3.0261e-002	-2.0917e-005	
4100.000000	-2.8124e-005	-3.4043e-002	-1.7494e-005	
4200.000000	-2.2193e-005	-3.0261e-002	-1.9395e-005	
4300.000000	-1.8176e-005	-2.2695e-002	-2.9663e-005	
4400.000000	-1.6836e-005	-4.1608e-002	-3.4607e-005	
4500.000000	-2.1237e-005	-3.4043e-002	-2.4339e-005	
4600.000000	-2.2576e-005	-3.7826e-002	-1.6733e-005	
4700.000000	-2.3724e-005	-3.4043e-002	-7.6060e-006	
4800.000000	-3.1759e-005	-3.4043e-002	-1.8635e-005	
4900.000000	-1.8750e-005	-3.0261e-002	-2.0917e-005	
5000.000000	-1.6454e-005	-3.7826e-002	-2.9663e-005	
5100.000000	-1.9706e-005	-3.7826e-002	-2.8903e-005	
5200.000000	-2.1428e-005	-3.0261e-002	-2.3579e-005	
5300.000000	-2.4489e-005	-4.5391e-002	-2.2818e-005	
5400.000000	-3.3099e-005	-3.0261e-002	-2.5860e-005	
5500.000000	-3.0994e-005	-3.4043e-002	-2.7762e-005	
5600.000000	-2.7550e-005	-4.1608e-002	-2.9663e-005	
5700.000000	-1.6454e-005	-3.4043e-002	-3.3086e-005	
5800.000000	-2.1811e-005	-3.7826e-002	-3.5748e-005	
5900.000000	-2.5828e-005	-2.6478e-002	-2.0156e-005	
6000.000000	-3.0229e-005	-3.7826e-002	-1.9395e-005	
6100.000000	-3.5203e-005	-2.6478e-002	-1.9395e-005	
6200.000000	-3.2716e-005	-4.1608e-002	-2.7382e-005	
6300.000000	-2.9081e-005	-3.7826e-002	-3.2326e-005	
6400.000000	-1.8750e-005	-3.7826e-002	-2.6241e-005	
6500.000000	-1.6071e-005	-3.0261e-002	-2.6621e-005	
6600.000000	-1.7028e-005	-3.0261e-002	-2.2818e-005	
6700.000000	-1.4158e-005	-3.7826e-002	-1.2170e-005	
6800.000000	-1.8941e-005	-2.6478e-002	-1.5592e-005	
6900.000000	-2.5254e-005	-3.4043e-002	-1.5973e-005	
7000.000000	-3.0994e-005	-3.0261e-002	-1.9395e-005	
7100.000000	-2.6785e-005	-3.4043e-002	-2.5480e-005	
7200.000000	-2.3915e-005	-3.0261e-002	-1.7874e-005	
7300.000000	-1.4349e-005	-3.0261e-002	-2.2818e-005	
7400.000000	-2.0471e-005	-4.1608e-002	-2.7762e-005	
7500.000000	-2.2385e-005	-3.7826e-002	-3.2706e-005	
7600.000000	-1.7028e-005	-3.0261e-002	-1.7874e-005	
7700.000000	-1.2819e-005	-3.4043e-002	-1.2930e-005	
7800.000000	-2.1237e-005	-3.0261e-002	-1.6733e-005	
7900.000000	-3.0420e-005	-2.6478e-002	-1.7874e-005	
8000.000000	-2.3915e-005	-2.6478e-002	-1.9395e-005	
8100.000000	-2.1045e-005	-3.0261e-002	-1.9395e-005	
8200.000000	-3.2142e-005	-3.4043e-002	-3.3086e-005	
8300.000000	-1.6454e-005	-4.5391e-002	-2.8142e-005	
8400.000000	-9.1834e-006	-3.0261e-002	-2.4720e-005	
8500.000000	-2.3724e-005	-3.4043e-002	-3.5368e-005	
8600.000000	-1.0905e-005	-3.7826e-002	-2.0156e-005	
8700.000000	-1.7410e-005	-3.0261e-002	-2.1297e-005	
8800.000000	-1.8941e-005	-4.1608e-002	-1.1029e-005	
8900.000000	-2.6020e-005	-3.0261e-002	-6.0848e-006	
9000.000000	-3.2525e-005	-2.6478e-002	-2.0917e-005	
9100.000000	-2.6976e-005	-4.1608e-002	-1.2930e-005	
9200.000000	-2.9272e-005	-3.0261e-002	-3.1945e-005	
9300.000000	-1.7410e-005	-3.4043e-002	-2.4339e-005	
9400.000000	-2.1045e-005	-3.4043e-002	-3.4227e-005	
9500.000000	-1.3010e-005	-3.4043e-002	-2.7001e-005	
9600.000000	-1.8558e-005	-3.4043e-002	-2.3198e-005	
9700.000000	-1.6262e-005	-3.4043e-002	-1.0648e-005	
9800.000000	-3.2525e-005	-3.7826e-002	-1.7494e-005	
9900.000000	-2.8890e-005	-3.4043e-002	-1.1789e-005	
10000.000000	-3.2333e-005	-3.4043e-002	-2.6241e-005	
10100.000000	-1.8558e-005	-3.0261e-002	-2.4339e-005	
10200.000000	-1.9132e-005	-3.4043e-002	-3.2326e-005	
10300.000000	-1.6262e-005	-3.4043e-002	-2.7762e-005	
10400.000000	-1.4158e-005	-1.8913e-002	-1.8254e-005	
10500.000000	-2.4872e-005	-3.7826e-002	-1.9776e-005	
10600.000000	-2.3341e-005	-3.4043e-002	-1.4071e-005	
10700.000000	-2.2767e-005	-3.4043e-002	-2.3579e-005	
10800.000000	-2.5446e-005	4.9953e+001	-1.1789e-005	
10900.000000	-2.5063e-005	4.9949e+001	1.3311e-005	
11000.000000	-1.2627e-005	4.9945e+001	3.8410e-005	
11100.000000	-2.0663e-005	4.9953e+001	4.9059e-005	
11200.000000	-2.2576e-005	4.9945e+001	8.4046e-005	
11300.000000	-2.6976e-005	4.9953e+001	1.0344e-004	
11400.000000	-1.7602e-005	4.9953e+001	1.1789e-004	
11500.000000	-1.2819e-005	4.9949e+001	1.2284e-004	
11600.000000	-9.1834e-006	4.9945e+001	1.3767e-004	
11700.000000	-1.6071e-005	4.9934e+001	1.5402e-004	
11800.000000	-1.0140e-005	4.9949e+001	1.8140e-004	
11900.000000	-5.5483e-006	4.9945e+001	1.8292e-004	
12000.000000	8.0355e-006	4.9941e+001	1.8330e-004	
12100.000000	-9.5661e-007	4.9941e+001	1.8597e-004	
12200.000000	4.7830e-006	4.9938e+001	2.1183e-004	
12300.000000	3.4438e-006	4.9934e+001	2.1563e-004	
12400.000000	2.1619e-005	4.9945e+001	2.2324e-004	
12500.000000	2.2576e-005	4.9949e+001	2.2590e-004	
12600.000000	2.1811e-005	4.9949e+001	2.2057e-004	
12700.000000	2.5446e-005	4.9941e+001	2.4377e-004	
12800.000000	1.9897e-005	4.9945e+001	2.4643e-004	
12900.000000	3.2525e-005	4.9949e+001	2.4986e-004	
13000.000000	5.0318e-005	4.9949e+001	2.5480e-004	
13100.000000	4.5917e-005	4.9953e+001	2.4910e-004	
13200.000000	4.3239e-005	4.9949e+001	2.5480e-004	
13300.000000	4.7065e-005	4.9949e+001	2.7115e-004	
13400.000000	4.8213e-005	4.9953e+001	2.7382e-004	
13500.000000	4.4961e-005	4.9949e+001	2.7458e-004	
13600.000000	5.8927e-005	4.9949e+001	2.7838e-004	
13700.000000	7.0406e-005	4.9949e+001	2.8675e-004	
13800.000000	6.6963e-005	4.9949e+001	2.7762e-004	
13900.000000	6.1988e-005	4.9949e+001	2.8180e-004	
14000.000000	5.8353e-005	4.9941e+001	2.8751e-004	
14100.000000	7.2511e-005	4.9949e+001	3.0196e-004	
14200.000000	8.0355e-005	4.9941e+001	3.0614e-004	
14300.000000	8.6860e-005	4.9945e+001	3.0158e-004	
14400.000000	8.3608e-005	4.9945e+001	2.9739e-004	
14500.000000	8.1120e-005	4.9941e+001	2.9169e-004	
14600.000000	8.1312e-005	4.9945e+001	2.9739e-004	
14700.000000	8.9156e-005	4.9945e+001	3.0348e-004	
14800.000000	8.8773e-005	4.9949e+001	3.1565e-004	
14900.000000	9.1834e-005	4.9949e+001	3.2554e-004	
15000.000000	1.0159e-004	4.9945e+001	3.2972e-004	
15100.000000	1.1365e-004	4.9949e+001	3.2059e-004	
15200.000000	1.1613e-004	4.9949e+001	3.2249e-004	
