sys1_polBas_0003.rec ( 1332 Echant/voies ) Période acquisition :100ms
Date :7/7/2023 12:36:46 PM
Temps	y[V]	
0.000000	1.6158e-004	
100.000000	1.9381e-004	
200.000000	1.5565e-004	
300.000000	1.9238e-004	
400.000000	1.5203e-004	
500.000000	1.7064e-004	
600.000000	1.7815e-004	
700.000000	1.5539e-004	
800.000000	1.9441e-004	
900.000000	1.5758e-004	
1000.000000	1.9664e-004	
1100.000000	1.6052e-004	
1200.000000	1.6958e-004	
1300.000000	1.7366e-004	
1400.000000	1.5769e-004	
1500.000000	1.8879e-004	
1600.000000	1.6158e-004	
1700.000000	1.9925e-004	
1800.000000	1.5554e-004	
1900.000000	1.9041e-004	
2000.000000	1.5999e-004	
2100.000000	1.6675e-004	
2200.000000	1.7184e-004	
2300.000000	1.6211e-004	
2400.000000	1.8664e-004	
2500.000000	1.5980e-004	
2600.000000	1.9679e-004	
2700.000000	1.6320e-004	
2800.000000	1.7147e-004	
2900.000000	1.8871e-004	
3000.000000	1.4735e-004	
3100.000000	1.8547e-004	
3200.000000	1.6052e-004	
3300.000000	1.6920e-004	
3400.000000	1.8339e-004	
3500.000000	1.5271e-004	
3600.000000	1.9045e-004	
3700.000000	1.8853e-004	
3800.000000	1.5637e-004	
3900.000000	1.8860e-004	
4000.000000	1.7135e-004	
4100.000000	1.5361e-004	
4200.000000	1.8400e-004	
4300.000000	1.5901e-004	
4400.000000	1.6996e-004	
4500.000000	1.8052e-004	
4600.000000	1.4999e-004	
4700.000000	1.9113e-004	
4800.000000	1.7962e-004	
4900.000000	1.6362e-004	
5000.000000	1.9490e-004	
5100.000000	1.6550e-004	
5200.000000	1.6777e-004	
5300.000000	1.8347e-004	
5400.000000	1.4916e-004	
5500.000000	1.7086e-004	
5600.000000	1.8158e-004	
5700.000000	1.5135e-004	
5800.000000	1.7939e-004	
5900.000000	1.8453e-004	
6000.000000	1.6207e-004	
6100.000000	1.9053e-004	
6200.000000	1.8237e-004	
6300.000000	1.5697e-004	
6400.000000	1.8151e-004	
6500.000000	1.8845e-004	
6600.000000	1.5207e-004	
6700.000000	1.7030e-004	
6800.000000	1.8128e-004	
6900.000000	1.5218e-004	
7000.000000	1.6180e-004	
7100.000000	1.9219e-004	
7200.000000	1.6112e-004	
7300.000000	1.5259e-004	
7400.000000	1.8822e-004	
7500.000000	1.7720e-004	
7600.000000	1.5867e-004	
7700.000000	1.9019e-004	
7800.000000	1.8890e-004	
7900.000000	1.6305e-004	
8000.000000	1.8173e-004	
8100.000000	1.9441e-004	
