sys1_polBas_0002.rec ( 621 Echant/voies ) Période acquisition :100ms
Date :7/7/2023 12:35:40 PM
Temps	y[V]	
0.000000	1.7260e-004	
100.000000	1.7607e-004	
200.000000	1.7618e-004	
300.000000	1.7758e-004	
400.000000	1.6618e-004	
500.000000	1.7860e-004	
600.000000	1.7260e-004	
700.000000	1.7747e-004	
800.000000	1.7184e-004	
900.000000	1.7252e-004	
1000.000000	1.7834e-004	
1100.000000	1.6860e-004	
1200.000000	1.7800e-004	
1300.000000	1.6841e-004	
1400.000000	1.7909e-004	
1500.000000	1.7173e-004	
1600.000000	1.6988e-004	
1700.000000	1.7781e-004	
1800.000000	1.7147e-004	
1900.000000	1.7641e-004	
2000.000000	1.6781e-004	
2100.000000	1.7275e-004	
2200.000000	1.8098e-004	
2300.000000	1.7313e-004	
2400.000000	1.7886e-004	
2500.000000	1.6973e-004	
2600.000000	1.7607e-004	
2700.000000	1.7154e-004	
2800.000000	1.7132e-004	
2900.000000	1.7762e-004	
3000.000000	1.7449e-004	
3100.000000	1.7324e-004	
3200.000000	1.6916e-004	
3300.000000	1.7486e-004	
3400.000000	1.7667e-004	
3500.000000	1.7181e-004	
3600.000000	1.7758e-004	
3700.000000	1.6988e-004	
3800.000000	1.7992e-004	
3900.000000	1.7320e-004	
4000.000000	1.7535e-004	
4100.000000	1.7739e-004	
4200.000000	1.7030e-004	
4300.000000	1.7939e-004	
4400.000000	1.7022e-004	
4500.000000	1.7275e-004	
4600.000000	1.7494e-004	
4700.000000	1.6452e-004	
4800.000000	1.8075e-004	
4900.000000	1.7479e-004	
5000.000000	1.7192e-004	
5100.000000	1.6882e-004	
5200.000000	1.6992e-004	
5300.000000	1.7501e-004	
5400.000000	1.8003e-004	
5500.000000	1.7003e-004	
5600.000000	1.7566e-004	
5700.000000	1.7109e-004	
5800.000000	1.7177e-004	
5900.000000	1.7539e-004	
6000.000000	1.6690e-004	
6100.000000	1.8098e-004	
6200.000000	1.7437e-004	
6300.000000	1.7222e-004	
6400.000000	1.7558e-004	
6500.000000	1.6690e-004	
6600.000000	1.7958e-004	
6700.000000	1.6924e-004	
6800.000000	1.7290e-004	
6900.000000	1.7860e-004	
7000.000000	1.6981e-004	
7100.000000	1.6773e-004	
7200.000000	1.7592e-004	
7300.000000	1.6939e-004	
7400.000000	1.7528e-004	
7500.000000	1.7400e-004	
7600.000000	1.7403e-004	
7700.000000	1.7388e-004	
7800.000000	1.6460e-004	
7900.000000	1.7377e-004	
8000.000000	1.7483e-004	
8100.000000	1.6769e-004	
8200.000000	1.8045e-004	
8300.000000	1.7762e-004	
8400.000000	1.7215e-004	
8500.000000	1.7728e-004	
8600.000000	1.7275e-004	
8700.000000	1.6758e-004	
8800.000000	1.7105e-004	
8900.000000	1.6962e-004	
9000.000000	1.7532e-004	
9100.000000	1.7554e-004	
9200.000000	1.7433e-004	
9300.000000	1.7717e-004	
9400.000000	1.7090e-004	
9500.000000	1.7162e-004	
9600.000000	1.7452e-004	
9700.000000	1.6241e-004	
9800.000000	1.6928e-004	
9900.000000	1.7505e-004	
10000.000000	1.6309e-004	
10100.000000	1.7800e-004	
10200.000000	1.7977e-004	
10300.000000	1.6713e-004	
10400.000000	1.7637e-004	
10500.000000	1.7660e-004	
10600.000000	1.7056e-004	
10700.000000	1.7513e-004	
10800.000000	1.7705e-004	
10900.000000	1.7060e-004	
11000.000000	1.7898e-004	
11100.000000	1.7773e-004	
11200.000000	1.7226e-004	
11300.000000	1.7430e-004	
11400.000000	1.7411e-004	
11500.000000	1.7339e-004	
11600.000000	1.7335e-004	
11700.000000	1.6860e-004	
11800.000000	1.7566e-004	
11900.000000	1.7490e-004	
12000.000000	1.6637e-004	
12100.000000	1.6747e-004	
12200.000000	1.7607e-004	
12300.000000	1.6373e-004	
12400.000000	1.6890e-004	
12500.000000	1.7656e-004	
12600.000000	1.6814e-004	
12700.000000	1.7135e-004	
12800.000000	1.7535e-004	
12900.000000	1.6324e-004	
13000.000000	1.7249e-004	
13100.000000	1.7584e-004	
13200.000000	1.6637e-004	
