steady_state0004.rec ( 5077 Echant/voies ) Période acquisition :5s
Date :7/17/2023 9:43:54 AM
Temps	y[V]	u[V]	phi[V]	
0.000000	-2.8698e-005	1.9968e+001	4.3251e-003	
5000.000000	1.5880e-005	1.9968e+001	1.5020e-002	
10000.000000	-1.4923e-005	1.9972e+001	1.7000e-002	
15000.000000	1.7219e-006	1.9964e+001	1.7816e-002	
20000.000000	4.4004e-005	1.9968e+001	1.8276e-002	
25000.000000	4.0369e-005	1.9968e+001	1.8576e-002	
30000.000000	1.9323e-005	1.9976e+001	1.8839e-002	
35000.000000	4.8978e-005	1.9961e+001	1.8951e-002	
40000.000000	3.8456e-005	1.9976e+001	1.9073e-002	
45000.000000	7.4041e-005	1.9972e+001	1.9177e-002	
50000.000000	8.1120e-005	1.9976e+001	1.9205e-002	
55000.000000	4.2091e-005	1.9976e+001	1.9308e-002	
60000.000000	6.7919e-005	1.9968e+001	1.9364e-002	
65000.000000	5.5292e-005	1.9976e+001	1.9449e-002	
70000.000000	6.0075e-005	1.9964e+001	1.9430e-002	
75000.000000	9.8722e-005	1.9964e+001	1.9430e-002	
80000.000000	8.0355e-005	1.9972e+001	1.9477e-002	
85000.000000	7.7103e-005	1.9961e+001	1.9514e-002	
90000.000000	1.2742e-004	1.9964e+001	1.9486e-002	
95000.000000	1.4043e-004	1.9968e+001	1.9514e-002	
100000.000000	1.1709e-004	1.9961e+001	1.9533e-002	
105000.000000	1.1365e-004	1.9964e+001	1.9543e-002	
110000.000000	1.4540e-004	1.9968e+001	1.9552e-002	
115000.000000	1.2570e-004	1.9968e+001	1.9543e-002	
120000.000000	1.6454e-004	1.9968e+001	1.9571e-002	
125000.000000	1.7640e-004	1.9972e+001	1.9543e-002	
130000.000000	1.4387e-004	1.9957e+001	1.9561e-002	
135000.000000	1.8022e-004	1.9961e+001	1.9543e-002	
140000.000000	1.4942e-004	1.9964e+001	1.9533e-002	
145000.000000	1.5880e-004	1.9961e+001	1.9552e-002	
150000.000000	1.9955e-004	1.9972e+001	1.9561e-002	
155000.000000	1.9477e-004	1.9957e+001	1.9561e-002	
160000.000000	1.7142e-004	1.9964e+001	1.9533e-002	
165000.000000	2.0911e-004	1.9964e+001	1.9552e-002	
170000.000000	1.8616e-004	1.9961e+001	1.9552e-002	
175000.000000	1.9917e-004	1.9953e+001	1.9533e-002	
180000.000000	2.0911e-004	1.9961e+001	1.9524e-002	
185000.000000	2.4872e-004	1.9961e+001	1.9543e-002	
190000.000000	2.2212e-004	1.9961e+001	1.9505e-002	
195000.000000	2.3628e-004	1.9968e+001	1.9533e-002	
200000.000000	2.2270e-004	1.9957e+001	1.9533e-002	
205000.000000	2.5599e-004	1.9957e+001	1.9514e-002	
210000.000000	2.6249e-004	1.9961e+001	1.9533e-002	
215000.000000	2.4642e-004	1.9964e+001	1.9486e-002	
220000.000000	2.6785e-004	1.9957e+001	1.9505e-002	
225000.000000	2.8603e-004	1.9968e+001	1.9486e-002	
230000.000000	2.5465e-004	1.9964e+001	1.9496e-002	
235000.000000	2.7914e-004	1.9961e+001	1.9505e-002	
240000.000000	2.9425e-004	1.9961e+001	1.9467e-002	
245000.000000	2.8182e-004	1.9968e+001	1.9430e-002	
250000.000000	3.1377e-004	1.9961e+001	1.9430e-002	
255000.000000	2.9157e-004	1.9957e+001	1.9439e-002	
260000.000000	2.9483e-004	1.9964e+001	1.9449e-002	
265000.000000	2.8966e-004	1.9964e+001	1.9392e-002	
270000.000000	3.3099e-004	1.9957e+001	1.9449e-002	
275000.000000	3.2085e-004	1.9968e+001	1.9402e-002	
280000.000000	3.1434e-004	1.9964e+001	1.9402e-002	
285000.000000	3.4897e-004	1.9964e+001	1.9421e-002	
290000.000000	3.5701e-004	1.9968e+001	1.9402e-002	
295000.000000	3.3137e-004	1.9949e+001	1.9392e-002	
300000.000000	3.3902e-004	1.9961e+001	1.9374e-002	
305000.000000	3.5605e-004	1.9964e+001	1.9364e-002	
310000.000000	3.5414e-004	1.9964e+001	1.9336e-002	
315000.000000	3.8169e-004	1.9964e+001	1.9355e-002	
320000.000000	3.7920e-004	1.9953e+001	1.9327e-002	
325000.000000	3.6102e-004	1.9964e+001	1.9327e-002	
330000.000000	3.6504e-004	1.9953e+001	1.9317e-002	
335000.000000	3.6255e-004	1.9961e+001	1.9299e-002	
340000.000000	4.2148e-004	1.9964e+001	1.9346e-002	
345000.000000	4.1249e-004	1.9964e+001	1.9346e-002	
350000.000000	4.2913e-004	1.9964e+001	1.9308e-002	
355000.000000	4.2531e-004	1.9968e+001	1.9289e-002	
360000.000000	4.3392e-004	1.9957e+001	1.9289e-002	
365000.000000	4.3162e-004	1.9953e+001	1.9270e-002	
370000.000000	4.3889e-004	1.9957e+001	1.9270e-002	
375000.000000	4.0790e-004	1.9972e+001	1.9224e-002	
380000.000000	4.1230e-004	1.9961e+001	1.9224e-002	
385000.000000	4.7103e-004	1.9961e+001	1.9252e-002	
390000.000000	4.4597e-004	1.9961e+001	1.9224e-002	
395000.000000	4.3621e-004	1.9964e+001	1.9186e-002	
400000.000000	4.5688e-004	1.9964e+001	1.9214e-002	
405000.000000	4.8710e-004	1.9957e+001	1.9205e-002	
410000.000000	4.4444e-004	1.9953e+001	1.9186e-002	
415000.000000	4.7945e-004	1.9953e+001	1.9195e-002	
420000.000000	4.6702e-004	1.9957e+001	1.9158e-002	
425000.000000	4.6319e-004	1.9957e+001	1.9130e-002	
430000.000000	4.7543e-004	1.9961e+001	1.9158e-002	
435000.000000	4.9724e-004	1.9964e+001	1.9158e-002	
440000.000000	5.2805e-004	1.9953e+001	1.9148e-002	
445000.000000	4.9667e-004	1.9953e+001	1.9130e-002	
450000.000000	4.8844e-004	1.9961e+001	1.9148e-002	
455000.000000	5.4221e-004	1.9953e+001	1.9111e-002	
460000.000000	5.3647e-004	1.9957e+001	1.9092e-002	
465000.000000	5.3073e-004	1.9964e+001	1.9139e-002	
470000.000000	5.5254e-004	1.9961e+001	1.9120e-002	
475000.000000	5.1714e-004	1.9957e+001	1.9083e-002	
480000.000000	5.7167e-004	1.9961e+001	1.9111e-002	
485000.000000	5.3207e-004	1.9957e+001	1.9073e-002	
490000.000000	5.3589e-004	1.9957e+001	1.9064e-002	
495000.000000	5.8430e-004	1.9957e+001	1.9064e-002	
500000.000000	5.7760e-004	1.9957e+001	1.9073e-002	
505000.000000	5.8162e-004	1.9964e+001	1.9036e-002	
510000.000000	5.8162e-004	1.9968e+001	1.9055e-002	
515000.000000	5.9903e-004	1.9964e+001	1.9045e-002	
520000.000000	5.6880e-004	1.9957e+001	1.9017e-002	
525000.000000	5.7511e-004	1.9953e+001	1.8998e-002	
530000.000000	6.1204e-004	1.9953e+001	1.8998e-002	
535000.000000	6.2065e-004	1.9961e+001	1.9036e-002	
540000.000000	6.1625e-004	1.9949e+001	1.9017e-002	
545000.000000	5.9463e-004	1.9957e+001	1.8989e-002	
550000.000000	6.1739e-004	1.9953e+001	1.9017e-002	
555000.000000	5.9348e-004	1.9949e+001	1.8970e-002	
560000.000000	6.0171e-004	1.9964e+001	1.8970e-002	
565000.000000	5.9692e-004	1.9961e+001	1.8961e-002	
570000.000000	6.2620e-004	1.9957e+001	1.8942e-002	
575000.000000	6.7192e-004	1.9961e+001	1.8970e-002	
580000.000000	6.3423e-004	1.9961e+001	1.8961e-002	
585000.000000	6.2275e-004	1.9953e+001	1.8933e-002	
590000.000000	6.5815e-004	1.9957e+001	1.8970e-002	
595000.000000	6.3251e-004	1.9961e+001	1.8933e-002	
600000.000000	6.5642e-004	1.9957e+001	1.8961e-002	
605000.000000	6.7077e-004	1.9953e+001	1.8951e-002	
610000.000000	6.7613e-004	1.9961e+001	1.8895e-002	
615000.000000	6.5872e-004	1.9949e+001	1.8886e-002	
620000.000000	6.6714e-004	1.9968e+001	1.8905e-002	
625000.000000	6.7479e-004	1.9946e+001	1.8905e-002	
630000.000000	6.6025e-004	1.9957e+001	1.8886e-002	
635000.000000	7.0961e-004	1.9953e+001	1.8886e-002	
640000.000000	6.9182e-004	1.9953e+001	1.8895e-002	
645000.000000	7.2186e-004	1.9957e+001	1.8895e-002	
650000.000000	7.2109e-004	1.9953e+001	1.8895e-002	
655000.000000	7.3869e-004	1.9957e+001	1.8876e-002	
660000.000000	7.3716e-004	1.9961e+001	1.8876e-002	
665000.000000	7.4214e-004	1.9949e+001	1.8876e-002	
670000.000000	7.5342e-004	1.9957e+001	1.8867e-002	
675000.000000	7.4596e-004	1.9961e+001	1.8839e-002	
680000.000000	7.1306e-004	1.9957e+001	1.8830e-002	
685000.000000	7.5687e-004	1.9953e+001	1.8858e-002	
690000.000000	7.6911e-004	1.9949e+001	1.8848e-002	
695000.000000	7.6299e-004	1.9949e+001	1.8867e-002	
700000.000000	7.6376e-004	1.9949e+001	1.8830e-002	
705000.000000	7.4233e-004	1.9957e+001	1.8820e-002	
710000.000000	7.8021e-004	1.9946e+001	1.8820e-002	
715000.000000	7.8423e-004	1.9957e+001	1.8820e-002	
720000.000000	7.8748e-004	1.9942e+001	1.8811e-002	
