sys1_resRen_0011.rec ( 31803 Echant/voies ) Période acquisition :5ms
Date :9/19/2023 9:38:07 AM
Temps	y[V]	u[V]	y_avant[V]	
0.000000	-4.6874e-005	-3.0261e-002	7.2257e-006	
5.000000	2.8316e-005	-3.7826e-002	-4.6397e-005	
10.000000	-4.9935e-005	-3.7826e-002	2.2057e-005	
15.000000	1.8367e-005	-3.0261e-002	2.2057e-005	
20.000000	-3.9604e-005	-2.6478e-002	-6.0087e-005	
25.000000	-3.9604e-005	-3.4043e-002	1.9776e-005	
30.000000	3.4629e-005	-4.1608e-002	-4.6397e-005	
35.000000	-5.4335e-005	-3.0261e-002	1.7874e-005	
40.000000	9.3748e-006	-3.0261e-002	-4.9059e-005	
45.000000	-3.2142e-005	-3.0261e-002	-4.9059e-005	
50.000000	1.5880e-005	-3.4043e-002	7.6060e-006	
55.000000	1.5880e-005	-3.7826e-002	-3.1185e-005	
60.000000	-3.6542e-005	-3.7826e-002	-7.6060e-007	
65.000000	1.3393e-006	-3.7826e-002	-2.4339e-005	
70.000000	-1.2245e-005	-3.7826e-002	-1.8635e-005	
75.000000	-7.0789e-006	-3.0261e-002	-1.8635e-005	
80.000000	-2.4872e-006	-3.0261e-002	-1.7494e-005	
85.000000	-2.4872e-006	-3.7826e-002	-1.6733e-005	
90.000000	-2.7168e-005	-3.4043e-002	-4.1833e-006	
95.000000	6.5049e-006	-3.4043e-002	-4.6397e-005	
100.000000	-3.0420e-005	-3.4043e-002	9.8878e-006	
105.000000	1.9706e-005	-3.4043e-002	9.8878e-006	
110.000000	-5.0318e-005	-2.6478e-002	-3.7650e-005	
115.000000	-5.0318e-005	-3.4043e-002	1.6353e-005	
120.000000	1.3775e-005	-4.1608e-002	-5.9327e-005	
125.000000	-3.5203e-005	-3.7826e-002	2.1677e-005	
130.000000	2.2959e-005	-3.7826e-002	-4.7538e-005	
135.000000	-4.8596e-005	-3.7826e-002	-4.7538e-005	
140.000000	1.9897e-005	-3.4043e-002	1.4451e-005	
145.000000	1.9897e-005	-4.1608e-002	-4.7918e-005	
150.000000	-3.2716e-005	-3.7826e-002	1.4071e-005	
155.000000	1.8367e-005	-3.7826e-002	-3.9171e-005	
160.000000	-4.0560e-005	-3.7826e-002	1.5212e-005	
165.000000	4.2091e-006	-3.4043e-002	1.5212e-005	
170.000000	-2.5063e-005	-4.5391e-002	-3.1945e-005	
175.000000	-2.5063e-005	-2.6478e-002	-4.1833e-006	
180.000000	-5.7396e-006	-3.7826e-002	-1.4071e-005	
185.000000	-1.1097e-005	-3.4043e-002	-1.1789e-005	
190.000000	-2.3150e-005	-3.4043e-002	-1.7114e-005	
195.000000	1.7219e-006	-2.6478e-002	-1.7114e-005	
200.000000	-2.0663e-005	-3.4043e-002	-3.4607e-005	
205.000000	-2.0663e-005	-3.0261e-002	1.2170e-005	
210.000000	8.0355e-006	-3.7826e-002	-3.5368e-005	
215.000000	-4.1708e-005	-3.7826e-002	2.6621e-006	
220.000000	1.8176e-005	-3.7826e-002	-4.9819e-005	
225.000000	-3.7116e-005	-3.4043e-002	-4.9819e-005	
230.000000	1.2819e-005	-3.4043e-002	2.5100e-005	
235.000000	1.2819e-005	-4.5391e-002	-4.9059e-005	
240.000000	-5.3187e-005	-3.4043e-002	1.4832e-005	
245.000000	2.9655e-005	-3.0261e-002	-6.1228e-005	
250.000000	-3.9986e-005	-3.0261e-002	2.1297e-005	
255.000000	1.0523e-005	-3.0261e-002	2.1297e-005	
260.000000	-4.0752e-005	-4.1608e-002	-4.3354e-005	
265.000000	-4.0752e-005	-2.2695e-002	1.1789e-005	
270.000000	1.1862e-005	-4.1608e-002	-5.0200e-005	
275.000000	-2.9272e-005	-3.7826e-002	-2.6621e-006	
280.000000	-7.6529e-007	-3.7826e-002	-2.3198e-005	
285.000000	-3.1759e-005	-3.7826e-002	-2.3198e-005	
290.000000	-6.5049e-006	-4.1608e-002	-8.7469e-006	
295.000000	-6.5049e-006	-3.4043e-002	-2.5480e-005	
300.000000	-6.1223e-006	-3.0261e-002	-2.1677e-005	
305.000000	-2.0663e-005	-4.5391e-002	-3.0424e-006	
310.000000	5.7396e-007	-4.5391e-002	-3.7650e-005	
315.000000	-3.0037e-005	-3.4043e-002	-3.7650e-005	
320.000000	1.6454e-005	-3.7826e-002	-1.5212e-006	
325.000000	1.6454e-005	-3.4043e-002	-4.0312e-005	
330.000000	-4.1325e-005	-3.0261e-002	1.7494e-005	
335.000000	1.1479e-005	-3.7826e-002	-4.6397e-005	
340.000000	-4.6109e-005	-3.7826e-002	1.8635e-005	
345.000000	1.5880e-005	-4.1608e-002	1.8635e-005	
350.000000	-5.0700e-005	-3.7826e-002	-4.7918e-005	
355.000000	-5.0700e-005	-4.1608e-002	2.5860e-005	
360.000000	8.9921e-006	-4.1608e-002	-5.2481e-005	
365.000000	-3.7308e-005	-4.1608e-002	-4.9439e-006	
370.000000	1.9897e-005	-4.1608e-002	-4.7157e-005	
375.000000	-3.4629e-005	-3.0261e-002	-4.7157e-005	
380.000000	-5.7396e-007	-2.6478e-002	7.2257e-006	
385.000000	-5.7396e-007	-3.0261e-002	-3.4607e-005	
390.000000	-2.0854e-005	-3.4043e-002	-1.4451e-005	
395.000000	1.1479e-006	-3.0261e-002	-2.3198e-005	
400.000000	-1.5688e-005	-3.0261e-002	-1.3691e-005	
405.000000	-3.5777e-005	-3.4043e-002	-1.3691e-005	
410.000000	-9.5661e-007	-3.0261e-002	-3.8030e-006	
415.000000	-9.5661e-007	-3.4043e-002	-3.2706e-005	
420.000000	-2.6402e-005	-3.0261e-002	3.8030e-006	
425.000000	9.7574e-006	-4.1608e-002	-4.5256e-005	
430.000000	-4.2665e-005	-4.1608e-002	1.1029e-005	
435.000000	1.3201e-005	-3.0261e-002	1.1029e-005	
440.000000	-3.7116e-005	-3.7826e-002	-5.2481e-005	
445.000000	-3.7116e-005	-3.0261e-002	2.1297e-005	
450.000000	2.3533e-005	-3.7826e-002	-4.7918e-005	
455.000000	-5.5675e-005	-3.7826e-002	1.3691e-005	
460.000000	2.1811e-005	-3.7826e-002	-5.9327e-005	
465.000000	-4.4387e-005	-3.4043e-002	-5.9327e-005	
470.000000	1.8558e-005	-3.7826e-002	1.4071e-005	
475.000000	1.8558e-005	-4.1608e-002	-3.9171e-005	
480.000000	-4.4961e-005	-3.4043e-002	7.6060e-006	
485.000000	1.3201e-005	-2.6478e-002	-4.8678e-005	
490.000000	-2.2767e-005	-2.6478e-002	-3.4227e-006	
495.000000	-2.1045e-006	-2.2695e-002	-3.4227e-006	
500.000000	-1.6071e-005	-3.7826e-002	-1.8254e-005	
505.000000	-1.6071e-005	-3.4043e-002	-1.0268e-005	
510.000000	-1.5306e-005	-3.4043e-002	-1.4071e-005	
515.000000	1.1479e-006	-3.0261e-002	-2.7762e-005	
520.000000	-3.1377e-005	-3.0261e-002	5.3242e-006	
525.000000	-9.3748e-006	-3.7826e-002	5.3242e-006	
530.000000	-3.7116e-005	-4.1608e-002	-3.3466e-005	
535.000000	-3.7116e-005	-3.4043e-002	2.2818e-006	
540.000000	1.5497e-005	-3.0261e-002	-5.0200e-005	
545.000000	-3.6542e-005	-3.4043e-002	1.1409e-005	
550.000000	1.4349e-005	-3.4043e-002	-5.2862e-005	
555.000000	-4.1517e-005	-4.5391e-002	-5.2862e-005	
560.000000	2.3915e-005	-2.6478e-002	1.4832e-005	
565.000000	2.3915e-005	-3.7826e-002	-5.2101e-005	
570.000000	-3.9030e-005	-3.4043e-002	2.1297e-005	
575.000000	1.7984e-005	-3.7826e-002	-4.5256e-005	
580.000000	-3.8647e-005	-3.7826e-002	1.2550e-005	
585.000000	5.9310e-006	-3.7826e-002	1.2550e-005	
590.000000	-3.0994e-005	-3.7826e-002	-3.9551e-005	
595.000000	-3.0994e-005	-4.1608e-002	5.3242e-006	
600.000000	-4.5917e-006	-4.1608e-002	-3.0044e-005	
605.000000	-1.5114e-005	-4.1608e-002	-2.2057e-005	
610.000000	-8.6095e-006	-4.1608e-002	-8.3666e-006	
615.000000	-5.1657e-006	-3.4043e-002	-8.3666e-006	
620.000000	-3.0420e-005	-2.6478e-002	-2.0536e-005	
625.000000	-3.0420e-005	-3.4043e-002	9.5075e-006	
630.000000	8.9921e-006	-3.4043e-002	-4.2213e-005	
635.000000	-3.2716e-005	-3.4043e-002	6.4651e-006	
640.000000	1.1097e-005	-3.4043e-002	-3.8030e-005	
645.000000	-4.8978e-005	-3.0261e-002	-3.8030e-005	
650.000000	2.1237e-005	-3.4043e-002	1.4451e-005	
655.000000	2.1237e-005	-3.0261e-002	-5.5524e-005	
660.000000	-4.6109e-005	-3.4043e-002	1.9395e-005	
665.000000	2.9846e-005	-3.0261e-002	-4.7157e-005	
670.000000	-5.1466e-005	-3.0261e-002	1.6733e-005	
675.000000	1.4732e-005	-4.1608e-002	1.6733e-005	
680.000000	-3.2716e-005	-4.9174e-002	-5.2862e-005	
685.000000	-3.2716e-005	-3.4043e-002	1.4071e-005	
690.000000	1.5114e-005	-4.1608e-002	-3.6889e-005	
695.000000	-3.7308e-005	-3.7826e-002	3.4227e-006	
700.000000	2.6785e-006	-3.7826e-002	-3.7269e-005	
705.000000	-1.9323e-005	-2.6478e-002	-3.7269e-005	
710.000000	-1.0523e-005	-3.4043e-002	-9.5075e-006	
715.000000	-1.0523e-005	-3.7826e-002	-1.1409e-005	
720.000000	-1.5880e-005	-4.1608e-002	-2.0536e-005	
725.000000	-1.9132e-005	-3.4043e-002	-1.2170e-005	
730.000000	9.3748e-006	-3.4043e-002	-3.6889e-005	
735.000000	-3.0994e-005	-3.7826e-002	-3.6889e-005	
740.000000	1.0905e-005	-3.4043e-002	7.9863e-006	
745.000000	1.0905e-005	-3.7826e-002	-3.9551e-005	
750.000000	-3.6160e-005	-2.6478e-002	8.3666e-006	
755.000000	2.4872e-005	-3.4043e-002	-4.5636e-005	
760.000000	-4.2665e-005	-3.4043e-002	2.8523e-005	
765.000000	6.1223e-006	-3.7826e-002	2.8523e-005	
770.000000	-4.6682e-005	-3.7826e-002	-5.3622e-005	
775.000000	-4.6682e-005	-3.4043e-002	1.5973e-005	
780.000000	1.9706e-005	-3.0261e-002	-4.9059e-005	
785.000000	-3.3099e-005	-4.5391e-002	1.1789e-005	
790.000000	6.1223e-006	-4.5391e-002	-4.5636e-005	
795.000000	-3.2333e-005	-3.7826e-002	-4.5636e-005	
800.000000	6.3136e-006	-3.4043e-002	-4.9439e-006	
805.000000	6.3136e-006	-3.4043e-002	-2.8142e-005	
810.000000	-2.0280e-005	-3.7826e-002	-7.9863e-006	
815.000000	-2.3150e-005	-4.5391e-002	-2.0156e-005	
