sys1_resRen_0012.rec ( 27982 Echant/voies ) Période acquisition :5ms
Date :9/19/2023 9:40:53 AM
Temps	y[V]	u[V]	y_avant[V]	
0.000000	-5.7396e-006	-3.4043e-002	-1.4451e-005	
5.000000	-2.5254e-005	-3.4043e-002	7.6060e-006	
10.000000	-2.6594e-005	-3.4043e-002	3.3466e-005	
15.000000	-5.9310e-006	-3.7826e-002	3.3466e-005	
20.000000	3.3099e-005	-3.4043e-002	3.0804e-005	
25.000000	3.3099e-005	-3.0261e-002	-7.6060e-007	
30.000000	4.1325e-005	-3.7826e-002	-2.7001e-005	
35.000000	2.6211e-005	-2.2695e-002	-3.8030e-005	
40.000000	5.1657e-006	-2.2695e-002	-2.0536e-005	
45.000000	-3.5203e-005	-3.4043e-002	-2.0536e-005	
50.000000	-3.1951e-005	-3.4043e-002	6.0848e-006	
55.000000	-3.1951e-005	-3.4043e-002	2.6621e-005	
60.000000	-4.5917e-006	-3.0261e-002	2.9283e-005	
65.000000	1.7219e-005	-3.0261e-002	1.5212e-006	
70.000000	3.7690e-005	-3.0261e-002	-1.4832e-005	
75.000000	3.3481e-005	-4.1608e-002	-1.4832e-005	
80.000000	2.0854e-005	-3.7826e-002	-3.3847e-005	
85.000000	2.0854e-005	-3.0261e-002	-2.8523e-005	
90.000000	-1.5497e-005	-3.4043e-002	-2.2818e-006	
95.000000	-2.5828e-005	-2.2695e-002	2.2438e-005	
100.000000	-1.8367e-005	-2.2695e-002	3.6509e-005	
105.000000	-5.7396e-007	-3.0261e-002	3.6509e-005	
110.000000	3.0611e-005	-2.6478e-002	2.0156e-005	
115.000000	3.0611e-005	-3.0261e-002	-7.9863e-006	
120.000000	3.7690e-005	-3.4043e-002	-3.8791e-005	
125.000000	1.5688e-005	-3.7826e-002	-4.9439e-005	
130.000000	-1.4732e-005	-3.7826e-002	-1.5212e-005	
135.000000	-3.5203e-005	-3.4043e-002	-1.5212e-005	
140.000000	-2.3533e-005	-3.4043e-002	1.4832e-005	
145.000000	-2.3533e-005	-2.6478e-002	2.8903e-005	
150.000000	-9.5661e-006	-3.4043e-002	2.5480e-005	
155.000000	1.9132e-005	-3.7826e-002	-4.5636e-006	
160.000000	3.8073e-005	-3.7826e-002	-2.5860e-005	
165.000000	1.1862e-005	-3.7826e-002	-2.5860e-005	
170.000000	-6.3136e-006	-3.4043e-002	-3.9932e-005	
175.000000	-6.3136e-006	-3.0261e-002	-2.5100e-005	
180.000000	-3.0803e-005	-3.7826e-002	4.5636e-006	
185.000000	-3.2716e-005	-3.0261e-002	2.0917e-005	
190.000000	-1.8941e-005	-3.0261e-002	3.2326e-005	
195.000000	7.6529e-006	-3.7826e-002	3.2326e-005	
200.000000	4.0943e-005	-3.4043e-002	1.1789e-005	
205.000000	4.0943e-005	-3.0261e-002	-1.6733e-005	
210.000000	2.9846e-005	-3.0261e-002	-3.9932e-005	
215.000000	6.5049e-006	-4.1608e-002	-3.7269e-005	
220.000000	-2.1045e-005	-4.1608e-002	3.8030e-007	
225.000000	-4.4387e-005	-3.0261e-002	3.8030e-007	
230.000000	-2.9655e-005	-3.0261e-002	2.7762e-005	
235.000000	-2.9655e-005	-2.6478e-002	3.2706e-005	
240.000000	-9.5661e-007	-2.6478e-002	2.5480e-005	
245.000000	1.9132e-005	-3.0261e-002	-8.3666e-006	
250.000000	2.8698e-005	-3.0261e-002	-2.2818e-005	
255.000000	9.1834e-006	-3.0261e-002	-2.2818e-005	
260.000000	-1.3966e-005	-3.7826e-002	-3.0424e-005	
265.000000	-1.3966e-005	-3.4043e-002	-1.0268e-005	
270.000000	-3.5968e-005	-3.0261e-002	2.2057e-005	
275.000000	-2.9655e-005	-3.7826e-002	3.8791e-005	
280.000000	-1.2245e-005	-3.7826e-002	3.8030e-005	
285.000000	2.2959e-006	-3.7826e-002	3.8030e-005	
290.000000	1.7602e-005	-2.6478e-002	8.3666e-006	
295.000000	1.7602e-005	-3.4043e-002	-1.6733e-005	
300.000000	1.8176e-005	-3.0261e-002	-2.8523e-005	
305.000000	-1.3393e-005	-3.4043e-002	-1.5973e-005	
310.000000	-3.5968e-005	-3.4043e-002	1.1409e-005	
315.000000	-4.1134e-005	-2.6478e-002	1.1409e-005	
320.000000	-2.2576e-005	-3.4043e-002	3.7269e-005	
325.000000	-2.2576e-005	-2.6478e-002	3.6129e-005	
330.000000	3.0611e-006	-2.2695e-002	2.3959e-005	
335.000000	1.1288e-005	-3.7826e-002	3.8030e-007	
340.000000	1.5497e-005	-3.7826e-002	-2.0917e-005	
345.000000	-9.5661e-007	-3.7826e-002	-2.0917e-005	
350.000000	-2.4489e-005	-2.6478e-002	-1.4071e-005	
355.000000	-2.4489e-005	-3.4043e-002	1.9015e-006	
360.000000	-4.1325e-005	-3.0261e-002	3.1945e-005	
365.000000	-3.2333e-005	-3.0261e-002	4.2594e-005	
370.000000	-1.0714e-005	-3.0261e-002	3.0044e-005	
375.000000	-5.9310e-006	-3.0261e-002	3.0044e-005	
380.000000	3.4629e-005	-3.0261e-002	1.4071e-005	
385.000000	3.4629e-005	-3.0261e-002	-2.2818e-005	
390.000000	1.4349e-005	-3.4043e-002	-2.7382e-005	
395.000000	-4.2091e-006	-3.4043e-002	-1.2550e-005	
400.000000	-3.1951e-005	-3.4043e-002	2.3579e-005	
405.000000	-3.7882e-005	-3.7826e-002	2.3579e-005	
410.000000	-1.6262e-005	-2.6478e-002	4.5636e-005	
415.000000	-1.6262e-005	-3.7826e-002	3.6509e-005	
420.000000	2.3533e-005	-2.6478e-002	1.7874e-005	
425.000000	2.9464e-005	-3.4043e-002	-1.9395e-005	
430.000000	3.2525e-005	-3.4043e-002	-2.7382e-005	
435.000000	2.6785e-006	-3.4043e-002	-2.7382e-005	
440.000000	-1.7793e-005	-3.7826e-002	-1.0648e-005	
445.000000	-1.7793e-005	-3.0261e-002	6.8454e-006	
450.000000	-3.3290e-005	-3.4043e-002	3.2326e-005	
455.000000	-1.7793e-005	-3.0261e-002	4.3354e-005	
460.000000	7.4615e-006	-3.0261e-002	2.7001e-005	
465.000000	3.2525e-005	-3.4043e-002	2.7001e-005	
470.000000	3.4821e-005	-2.6478e-002	-3.4227e-006	
475.000000	3.4821e-005	-2.6478e-002	-2.8142e-005	
480.000000	2.9464e-005	-3.0261e-002	-3.0044e-005	
485.000000	-6.5049e-006	-3.4043e-002	-1.3691e-005	
490.000000	-3.0420e-005	-3.4043e-002	2.0156e-005	
495.000000	-2.6211e-005	-3.0261e-002	2.0156e-005	
500.000000	1.3393e-006	-2.6478e-002	3.9171e-005	
505.000000	1.3393e-006	-3.4043e-002	3.6129e-005	
510.000000	2.3915e-005	-3.4043e-002	2.2818e-006	
515.000000	2.5063e-005	-3.7826e-002	-2.6241e-005	
520.000000	3.5395e-005	-3.7826e-002	-3.3086e-005	
525.000000	2.1045e-006	-3.4043e-002	-3.3086e-005	
530.000000	-2.0663e-005	-2.6478e-002	-2.0536e-005	
535.000000	-2.0663e-005	-2.6478e-002	-7.9863e-006	
540.000000	-2.4680e-005	-4.1608e-002	3.3086e-005	
545.000000	5.7396e-006	-2.6478e-002	3.3847e-005	
550.000000	1.8750e-005	-2.6478e-002	1.3311e-005	
555.000000	3.3099e-005	-3.4043e-002	1.3311e-005	
560.000000	3.9604e-005	-3.0261e-002	-1.0648e-005	
565.000000	3.9604e-005	-2.6478e-002	-2.2438e-005	
570.000000	1.7410e-005	-3.0261e-002	-3.4227e-005	
575.000000	-3.2907e-005	-2.2695e-002	-1.0648e-005	
580.000000	-2.6020e-005	-2.2695e-002	2.5860e-005	
585.000000	-2.0854e-005	-3.4043e-002	2.5860e-005	
590.000000	7.0789e-006	-3.4043e-002	3.8791e-005	
595.000000	7.0789e-006	-3.0261e-002	6.0848e-006	
600.000000	3.4055e-005	-3.4043e-002	-3.8030e-007	
605.000000	4.9744e-005	-2.6478e-002	-3.7650e-005	
610.000000	2.2002e-005	-2.6478e-002	-4.2213e-005	
615.000000	-1.1479e-005	-3.4043e-002	-4.2213e-005	
620.000000	-3.0229e-005	-3.7826e-002	-1.8635e-005	
625.000000	-3.0229e-005	-3.7826e-002	2.2818e-005	
